Topic,Data,TimeStamp
actions,steering(0.001610387992034395),2021-01-20 13:37:43.455000
actions,setSpeed(8),2021-01-20 13:37:43.564000
actions,steering(0.0030097077676455087),2021-01-20 13:37:43.642000
actions,steering(0.005213169238089953),2021-01-20 13:37:43.762000
actions,steering(0.012132295571182854),2021-01-20 13:37:43.899000
actions,steering(0.01596531195265229),2021-01-20 13:37:44.022000
actions,steering(0.0028418880375084467),2021-01-20 13:37:44.149000
actions,steering(0.006096883912286227),2021-01-20 13:37:44.270000
actions,steering(0.00869884873323067),2021-01-20 13:37:44.407000
actions,steering(0.006388848893470536),2021-01-20 13:37:44.529000
actions,steering(0.005575593082556354),2021-01-20 13:37:44.648000
actions,steering(0.0059990267481920745),2021-01-20 13:37:44.775000
actions,steering(-2.2169687328770472E-4),2021-01-20 13:37:44.895000
actions,steering(-7.508179349867768E-4),2021-01-20 13:37:45.034000
actions,steering(0.007921797684728076),2021-01-20 13:37:45.154000
actions,steering(2.007331822113508E-4),2021-01-20 13:37:45.277000
actions,steering(-0.004323102998464022),2021-01-20 13:37:45.413000
actions,steering(0.008071899699498737),2021-01-20 13:37:45.557000
actions,steering(0.016738185521432757),2021-01-20 13:37:45.678000
actions,steering(0.0018350311122842663),2021-01-20 13:37:45.813000
actions,steering(0.0074467582013083445),2021-01-20 13:37:45.937000
actions,steering(4.5444327803269383E-4),2021-01-20 13:37:46.073000
actions,steering(3.039242483297776E-4),2021-01-20 13:37:46.198000
actions,steering(-0.012100268467839199),2021-01-20 13:37:46.321000
actions,steering(0.005458823622915837),2021-01-20 13:37:46.443000
actions,steering(0.002118946032146961),2021-01-20 13:37:46.580000
actions,steering(0.0011520168540110041),2021-01-20 13:37:46.707000
actions,steering(-5.01267945414035E-4),2021-01-20 13:37:46.828000
actions,steering(-0.009089330885364334),2021-01-20 13:37:46.964000
actions,steering(0.002403572521735923),2021-01-20 13:37:47.088000
actions,steering(-0.0048248011884016555),2021-01-20 13:37:47.210000
actions,steering(-0.005459247371714479),2021-01-20 13:37:47.344000
actions,steering(0.012592745543732638),2021-01-20 13:37:47.470000
actions,steering(0.0026728393465677482),2021-01-20 13:37:47.606000
actions,steering(0.0052114088009808475),2021-01-20 13:37:47.729000
actions,steering(0.00678289921925943),2021-01-20 13:37:47.849000
actions,steering(0.007951149232038043),2021-01-20 13:37:47.987000
actions,steering(-0.0015049842779155961),2021-01-20 13:37:48.111000
actions,steering(-0.007027075859789949),2021-01-20 13:37:48.247000
actions,steering(-0.006383656424785168),2021-01-20 13:37:48.370000
actions,steering(2.3916063385498454E-4),2021-01-20 13:37:48.506000
actions,steering(-0.011078219291022531),2021-01-20 13:37:48.629000
actions,steering(-0.004219005572732614),2021-01-20 13:37:48.764000
actions,steering(-0.003112318520665664),2021-01-20 13:37:48.888000
actions,steering(0.009848877300174546),2021-01-20 13:37:49.011000
actions,steering(0.003132497893541365),2021-01-20 13:37:49.148000
actions,steering(-0.0071555345869349545),2021-01-20 13:37:49.271000
actions,steering(-0.009622407000528656),2021-01-20 13:37:49.391000
actions,steering(-0.009168680007576658),2021-01-20 13:37:49.531000
actions,steering(0.012637976006821382),2021-01-20 13:37:49.654000
actions,steering(-4.259775496009372E-4),2021-01-20 13:37:49.774000
actions,steering(-0.008292290853428863),2021-01-20 13:37:49.914000
