Topic,Data,TimeStamp
reasoningPerformance,74,2021-01-20 11:45:54.184000
reasoningPerformance,2,2021-01-20 11:45:54.185000
reasoningPerformance,4,2021-01-20 11:45:54.187000
reasoningPerformance,15,2021-01-20 11:45:54.203000
reasoningPerformance,32,2021-01-20 11:45:54.234000
reasoningPerformance,11,2021-01-20 11:45:54.246000
reasoningPerformance,31,2021-01-20 11:45:54.276000
reasoningPerformance,32,2021-01-20 11:45:54.309000
reasoningPerformance,15,2021-01-20 11:45:54.324000
reasoningPerformance,14,2021-01-20 11:45:54.337000
reasoningPerformance,19,2021-01-20 11:45:54.357000
reasoningPerformance,13,2021-01-20 11:45:54.369000
reasoningPerformance,29,2021-01-20 11:45:54.399000
reasoningPerformance,15,2021-01-20 11:45:54.415000
reasoningPerformance,16,2021-01-20 11:45:54.431000
reasoningPerformance,30,2021-01-20 11:45:54.461000
reasoningPerformance,13,2021-01-20 11:45:54.474000
reasoningPerformance,19,2021-01-20 11:45:54.493000
reasoningPerformance,16,2021-01-20 11:45:54.509000
reasoningPerformance,17,2021-01-20 11:45:54.526000
reasoningPerformance,14,2021-01-20 11:45:54.540000
reasoningPerformance,16,2021-01-20 11:45:54.556000
reasoningPerformance,14,2021-01-20 11:45:54.569000
reasoningPerformance,31,2021-01-20 11:45:54.600000
reasoningPerformance,14,2021-01-20 11:45:54.615000
reasoningPerformance,16,2021-01-20 11:45:54.631000
reasoningPerformance,15,2021-01-20 11:45:54.645000
reasoningPerformance,31,2021-01-20 11:45:54.677000
reasoningPerformance,33,2021-01-20 11:45:54.709000
reasoningPerformance,15,2021-01-20 11:45:54.724000
reasoningPerformance,13,2021-01-20 11:45:54.738000
reasoningPerformance,18,2021-01-20 11:45:54.755000
reasoningPerformance,13,2021-01-20 11:45:54.769000
reasoningPerformance,32,2021-01-20 11:45:54.800000
reasoningPerformance,12,2021-01-20 11:45:54.813000
reasoningPerformance,16,2021-01-20 11:45:54.829000
reasoningPerformance,30,2021-01-20 11:45:54.859000
reasoningPerformance,14,2021-01-20 11:45:54.874000
reasoningPerformance,20,2021-01-20 11:45:54.893000
reasoningPerformance,13,2021-01-20 11:45:54.907000
reasoningPerformance,14,2021-01-20 11:45:54.921000
reasoningPerformance,17,2021-01-20 11:45:54.938000
reasoningPerformance,14,2021-01-20 11:45:54.951000
reasoningPerformance,30,2021-01-20 11:45:54.982000
reasoningPerformance,33,2021-01-20 11:45:55.016000
reasoningPerformance,1,2021-01-20 11:45:55.016000
reasoningPerformance,25,2021-01-20 11:45:55.042000
reasoningPerformance,18,2021-01-20 11:45:55.059000
reasoningPerformance,17,2021-01-20 11:45:55.076000
reasoningPerformance,15,2021-01-20 11:45:55.091000
reasoningPerformance,16,2021-01-20 11:45:55.107000
reasoningPerformance,16,2021-01-20 11:45:55.123000
reasoningPerformance,18,2021-01-20 11:45:55.142000
reasoningPerformance,13,2021-01-20 11:45:55.155000
reasoningPerformance,14,2021-01-20 11:45:55.169000
reasoningPerformance,27,2021-01-20 11:45:55.196000
reasoningPerformance,17,2021-01-20 11:45:55.213000
reasoningPerformance,30,2021-01-20 11:45:55.243000
reasoningPerformance,14,2021-01-20 11:45:55.256000
reasoningPerformance,18,2021-01-20 11:45:55.274000
reasoningPerformance,16,2021-01-20 11:45:55.290000
reasoningPerformance,14,2021-01-20 11:45:55.305000
