Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post3),0.0949307305463114)>",2021-01-20 13:23:55.750000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-01-20 13:23:55.756000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2),op(drive,post3)],234.19332702012247),post3,0.0949307305463114)>",2021-01-20 13:23:55.819000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:55.880000
outbox,"<mid5,0,tell,BROADCAST,steer(steering(3.692338177604566E-4),bearing(0.35409197062688236))>",2021-01-20 13:23:55.937000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-01-20 13:23:55.983000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:56.063000
outbox,"<mid8,0,tell,BROADCAST,steer(steering(0.003647962403371569),bearing(0.35409197062688236))>",2021-01-20 13:23:56.119000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:56.154000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:56.198000
outbox,"<mid11,0,tell,BROADCAST,steer(steering(0.0067928321027049005),bearing(0.35409197062688236))>",2021-01-20 13:23:56.262000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:56.304000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:56.354000
outbox,"<mid14,0,tell,BROADCAST,steer(steering(9.492700104725631E-4),bearing(0.35409141328506166))>",2021-01-20 13:23:56.414000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:56.456000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:56.491000
outbox,"<mid17,0,tell,BROADCAST,steer(steering(0.01205527891733409),bearing(0.35409141371013675))>",2021-01-20 13:23:56.550000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:56.595000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:56.629000
outbox,"<mid20,0,tell,BROADCAST,steer(steering((-1.2724586687899257E-5)),bearing(0.3540914141361782))>",2021-01-20 13:23:56.689000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:56.733000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:56.765000
outbox,"<mid23,0,tell,BROADCAST,steer(steering(0.016197739420756543),bearing(0.3540914141361782))>",2021-01-20 13:23:56.823000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:56.856000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:56.901000
outbox,"<mid26,0,tell,BROADCAST,steer(steering((-0.001670489706079106)),bearing(0.35409103630576055))>",2021-01-20 13:23:56.961000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:57.004000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:57.040000
outbox,"<mid29,0,tell,BROADCAST,steer(steering(0.002693024108460302),bearing(0.3541977069728546))>",2021-01-20 13:23:57.098000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:57.143000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:57.192000
outbox,"<mid32,0,tell,BROADCAST,steer(steering(0.00351015642769053),bearing(0.3543196368142958))>",2021-01-20 13:23:57.239000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:57.282000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:57.330000
outbox,"<mid35,0,tell,BROADCAST,steer(steering(0.0040808014555187505),bearing(0.3545305434133752))>",2021-01-20 13:23:57.389000
outbox,"<mid36,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:57.420000
outbox,"<mid37,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:57.465000
outbox,"<mid38,0,tell,BROADCAST,steer(steering(0.008276571942101798),bearing(0.3550897509783226))>",2021-01-20 13:23:57.512000
outbox,"<mid39,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:57.556000
outbox,"<mid40,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:57.592000
outbox,"<mid41,0,tell,BROADCAST,steer(steering(0.013825167177227322),bearing(0.3555989948109186))>",2021-01-20 13:23:57.648000
outbox,"<mid42,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:57.692000
outbox,"<mid43,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:57.741000
outbox,"<mid44,0,tell,BROADCAST,steer(steering(0.0045638310169277664),bearing(0.3562511268769981))>",2021-01-20 13:23:57.788000
outbox,"<mid45,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:57.832000
outbox,"<mid46,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:57.868000
outbox,"<mid47,0,tell,BROADCAST,steer(steering((-0.004883983810425047)),bearing(0.35659473150349186))>",2021-01-20 13:23:57.921000
outbox,"<mid48,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:57.956000
outbox,"<mid49,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:57.987000
outbox,"<mid50,0,tell,BROADCAST,steer(steering(0.006363472774283974),bearing(0.3566757619311147))>",2021-01-20 13:23:58.051000
outbox,"<mid51,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:58.093000
outbox,"<mid52,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:58.139000
outbox,"<mid53,0,tell,BROADCAST,steer(steering(1.9481832534959942E-4),bearing(0.3563568930729275))>",2021-01-20 13:23:58.200000
outbox,"<mid54,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:58.245000
outbox,"<mid55,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:58.280000
outbox,"<mid56,0,tell,BROADCAST,steer(steering(0.004348741965030574),bearing(0.3563754327655033))>",2021-01-20 13:23:58.340000
outbox,"<mid57,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:58.383000
outbox,"<mid58,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:58.419000
outbox,"<mid59,0,tell,BROADCAST,steer(steering(0.01107141461177915),bearing(0.35647901481024746))>",2021-01-20 13:23:58.477000
outbox,"<mid60,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:58.523000
outbox,"<mid61,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:58.556000
outbox,"<mid62,0,tell,BROADCAST,steer(steering(0.004983766949582059),bearing(0.3563812487847713))>",2021-01-20 13:23:58.614000
outbox,"<mid63,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:58.659000
outbox,"<mid64,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:58.706000
outbox,"<mid65,0,tell,BROADCAST,steer(steering((-0.005152408440106996)),bearing(0.3560728823107411))>",2021-01-20 13:23:58.768000
outbox,"<mid66,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:58.800000
outbox,"<mid67,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:58.856000
outbox,"<mid68,0,tell,BROADCAST,steer(steering(0.0052569396396222896),bearing(0.3546848039520114))>",2021-01-20 13:23:58.902000
outbox,"<mid69,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:58.946000
outbox,"<mid70,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:58.981000
outbox,"<mid71,0,tell,BROADCAST,steer(steering(0.006262867374565396),bearing(0.3534052276717716))>",2021-01-20 13:23:59.027000
outbox,"<mid72,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:59.070000
outbox,"<mid73,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:59.105000
outbox,"<mid74,0,tell,BROADCAST,steer(steering(0.004339662799862356),bearing(0.35196201224522383))>",2021-01-20 13:23:59.166000
outbox,"<mid75,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:59.196000
outbox,"<mid76,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:59.255000
outbox,"<mid77,0,tell,BROADCAST,steer(steering(0.004432419401735061),bearing(0.3505230627723108))>",2021-01-20 13:23:59.318000
outbox,"<mid78,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:59.349000
outbox,"<mid79,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:59.394000
outbox,"<mid80,0,tell,BROADCAST,steer(steering((-0.005324171512417644)),bearing(0.34860850674482435))>",2021-01-20 13:23:59.439000
outbox,"<mid81,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:59.486000
outbox,"<mid82,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:59.518000
outbox,"<mid83,0,tell,BROADCAST,steer(steering(0.0084307542079028),bearing(0.34625344692250337))>",2021-01-20 13:23:59.579000
outbox,"<mid84,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:59.622000
outbox,"<mid85,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:59.657000
outbox,"<mid86,0,tell,BROADCAST,steer(steering((-0.004223398874097306)),bearing(0.3435654017824845))>",2021-01-20 13:23:59.715000
outbox,"<mid87,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:59.747000
outbox,"<mid88,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:59.779000
outbox,"<mid89,0,tell,BROADCAST,steer(steering((-0.004530993446202899)),bearing(0.3406063434334783))>",2021-01-20 13:23:59.837000
outbox,"<mid90,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:23:59.883000
outbox,"<mid91,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:23:59.930000
outbox,"<mid92,0,tell,BROADCAST,steer(steering((-0.004676344741391613)),bearing(0.3372506695295101))>",2021-01-20 13:23:59.988000
outbox,"<mid93,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:24:00.024000
outbox,"<mid94,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:24:00.066000
outbox,"<mid95,0,tell,BROADCAST,steer(steering((-0.002390509973427937)),bearing(0.3339296151929716))>",2021-01-20 13:24:00.130000
outbox,"<mid96,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:24:00.160000
outbox,"<mid97,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:24:00.206000
outbox,"<mid98,0,tell,BROADCAST,steer(steering((-0.005704328638771836)),bearing(0.33128583353106933))>",2021-01-20 13:24:00.253000
outbox,"<mid99,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:24:00.296000
outbox,"<mid100,0,tell,BROADCAST,driveToward(main,post2)>",2021-01-20 13:24:00.329000
outbox,"<mid101,0,tell,BROADCAST,steer(steering(0.014113139935662674),bearing(0.32896155662928095))>",2021-01-20 13:24:00.385000
outbox,"<mid102,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-01-20 13:24:00.433000
