Topic,Data,TimeStamp
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-7.69463734993) speed(0.0)",2021-01-20 13:27:32.416000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-7.76748495374) speed(0.0)",2021-01-20 13:27:32.446000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.09416245313) speed(0.0)",2021-01-20 13:27:32.461000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.09416245313) speed(0.0)",2021-01-20 13:27:32.477000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-5.58715916822) speed(0.0)",2021-01-20 13:27:32.492000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-5.58715916822) speed(0.0)",2021-01-20 13:27:32.508000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-7.68006449421) speed(0.0)",2021-01-20 13:27:32.524000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-7.68006449421) speed(0.0)",2021-01-20 13:27:32.539000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-6.68339598615) speed(0.0)",2021-01-20 13:27:32.568000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-6.68339598615) speed(0.0)",2021-01-20 13:27:32.570000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.5386985266) speed(0.0)",2021-01-20 13:27:32.602000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-7.59782265773) speed(0.0)",2021-01-20 13:27:32.615000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-7.59782265773) speed(0.0)",2021-01-20 13:27:32.632000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-6.82084399961) speed(0.0)",2021-01-20 13:27:32.647000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-6.82084399961) speed(0.0)",2021-01-20 13:27:32.661000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.08680201915) speed(0.0)",2021-01-20 13:27:32.678000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.08680201915) speed(0.0)",2021-01-20 13:27:32.694000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-5.39228945502) speed(0.0)",2021-01-20 13:27:32.708000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-5.39228945502) speed(0.0)",2021-01-20 13:27:32.726000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.46312273794) speed(0.0)",2021-01-20 13:27:32.741000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.46312273794) speed(0.0)",2021-01-20 13:27:32.756000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.0794184214) speed(0.0)",2021-01-20 13:27:32.786000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.0794184214) speed(0.0)",2021-01-20 13:27:32.800000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-6.84750477252) speed(0.0)",2021-01-20 13:27:32.815000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-6.84750477252) speed(0.0)",2021-01-20 13:27:32.832000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-9.34603082993) speed(0.0)",2021-01-20 13:27:32.862000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.08432176412) speed(0.0)",2021-01-20 13:27:32.878000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.08432176412) speed(0.0)",2021-01-20 13:27:32.894000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-4.88321922706) speed(0.0)",2021-01-20 13:27:32.908000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-4.88321922706) speed(0.0)",2021-01-20 13:27:32.924000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-7.24692484731) speed(0.0)",2021-01-20 13:27:32.941000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.58207999834) speed(0.0)",2021-01-20 13:27:32.972000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.58207999834) speed(0.0)",2021-01-20 13:27:32.974000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.27490341923) speed(0.0)",2021-01-20 13:27:33.004000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.27490341923) speed(0.0)",2021-01-20 13:27:33.006000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.6936767719) speed(0.0)",2021-01-20 13:27:33.033000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.6936767719) speed(0.0)",2021-01-20 13:27:33.064000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-6.43669338389) speed(0.0)",2021-01-20 13:27:33.079000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-6.43669338389) speed(0.0)",2021-01-20 13:27:33.093000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.29138108524) speed(0.0)",2021-01-20 13:27:33.109000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.29138108524) speed(0.0)",2021-01-20 13:27:33.125000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-7.41199155416) speed(0.0)",2021-01-20 13:27:33.140000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-7.41199155416) speed(0.0)",2021-01-20 13:27:33.169000
perceptions,"gps(47.641482371458196, -122.14036499102704) compass(-8.62388327386) speed(0.0)",2021-01-20 13:27:33.186000
