Topic,Data,TimeStamp
reasoningPerformance,104,2021-10-08 15:18:43.918000
reasoningPerformance,64,2021-10-08 15:18:44
reasoningPerformance,65,2021-10-08 15:18:44.072000
reasoningPerformance,72,2021-10-08 15:18:44.141000
reasoningPerformance,81,2021-10-08 15:18:44.229000
reasoningPerformance,71,2021-10-08 15:18:44.293000
reasoningPerformance,89,2021-10-08 15:18:44.386000
reasoningPerformance,57,2021-10-08 15:18:44.444000
reasoningPerformance,60,2021-10-08 15:18:44.509000
reasoningPerformance,72,2021-10-08 15:18:44.584000
reasoningPerformance,89,2021-10-08 15:18:44.674000
reasoningPerformance,67,2021-10-08 15:18:44.748000
reasoningPerformance,60,2021-10-08 15:18:44.808000
reasoningPerformance,83,2021-10-08 15:18:44.887000
reasoningPerformance,77,2021-10-08 15:18:44.964000
reasoningPerformance,79,2021-10-08 15:18:45.043000
reasoningPerformance,75,2021-10-08 15:18:45.121000
reasoningPerformance,76,2021-10-08 15:18:45.196000
reasoningPerformance,63,2021-10-08 15:18:45.264000
reasoningPerformance,76,2021-10-08 15:18:45.336000
reasoningPerformance,77,2021-10-08 15:18:45.425000
reasoningPerformance,66,2021-10-08 15:18:45.489000
reasoningPerformance,72,2021-10-08 15:18:45.561000
reasoningPerformance,69,2021-10-08 15:18:45.633000
reasoningPerformance,79,2021-10-08 15:18:45.719000
reasoningPerformance,74,2021-10-08 15:18:45.792000
reasoningPerformance,64,2021-10-08 15:18:45.863000
reasoningPerformance,84,2021-10-08 15:18:45.947000
reasoningPerformance,70,2021-10-08 15:18:46.033000
reasoningPerformance,78,2021-10-08 15:18:46.115000
reasoningPerformance,68,2021-10-08 15:18:46.194000
reasoningPerformance,55,2021-10-08 15:18:46.262000
reasoningPerformance,63,2021-10-08 15:18:46.326000
reasoningPerformance,71,2021-10-08 15:18:46.405000
reasoningPerformance,57,2021-10-08 15:18:46.473000
reasoningPerformance,59,2021-10-08 15:18:46.526000
reasoningPerformance,92,2021-10-08 15:18:46.625000
reasoningPerformance,84,2021-10-08 15:18:46.738000
reasoningPerformance,33,2021-10-08 15:18:46.760000
reasoningPerformance,68,2021-10-08 15:18:46.832000
reasoningPerformance,81,2021-10-08 15:18:46.922000
reasoningPerformance,48,2021-10-08 15:18:46.975000
reasoningPerformance,75,2021-10-08 15:18:47.043000
reasoningPerformance,87,2021-10-08 15:18:47.135000
reasoningPerformance,64,2021-10-08 15:18:47.207000
reasoningPerformance,64,2021-10-08 15:18:47.265000
reasoningPerformance,76,2021-10-08 15:18:47.346000
reasoningPerformance,74,2021-10-08 15:18:47.419000
reasoningPerformance,76,2021-10-08 15:18:47.496000
reasoningPerformance,77,2021-10-08 15:18:47.582000
reasoningPerformance,77,2021-10-08 15:18:47.658000
reasoningPerformance,71,2021-10-08 15:18:47.722000
reasoningPerformance,79,2021-10-08 15:18:47.801000
reasoningPerformance,77,2021-10-08 15:18:47.879000
reasoningPerformance,63,2021-10-08 15:18:47.954000
reasoningPerformance,79,2021-10-08 15:18:48.032000
reasoningPerformance,71,2021-10-08 15:18:48.102000
reasoningPerformance,65,2021-10-08 15:18:48.169000
reasoningPerformance,64,2021-10-08 15:18:48.233000
reasoningPerformance,86,2021-10-08 15:18:48.320000
reasoningPerformance,77,2021-10-08 15:18:48.398000
reasoningPerformance,70,2021-10-08 15:18:48.476000
reasoningPerformance,65,2021-10-08 15:18:48.549000
reasoningPerformance,65,2021-10-08 15:18:48.611000
reasoningPerformance,71,2021-10-08 15:18:48.688000
reasoningPerformance,79,2021-10-08 15:18:48.773000
reasoningPerformance,63,2021-10-08 15:18:48.836000
reasoningPerformance,74,2021-10-08 15:18:48.914000
reasoningPerformance,65,2021-10-08 15:18:48.980000
reasoningPerformance,66,2021-10-08 15:18:49.050000
reasoningPerformance,85,2021-10-08 15:18:49.131000
reasoningPerformance,64,2021-10-08 15:18:49.196000
reasoningPerformance,76,2021-10-08 15:18:49.272000
reasoningPerformance,71,2021-10-08 15:18:49.345000
reasoningPerformance,54,2021-10-08 15:18:49.398000
reasoningPerformance,74,2021-10-08 15:18:49.473000
reasoningPerformance,78,2021-10-08 15:18:49.554000
reasoningPerformance,76,2021-10-08 15:18:49.633000
reasoningPerformance,73,2021-10-08 15:18:49.720000
reasoningPerformance,57,2021-10-08 15:18:49.774000
reasoningPerformance,68,2021-10-08 15:18:49.848000
reasoningPerformance,66,2021-10-08 15:18:49.910000
reasoningPerformance,77,2021-10-08 15:18:49.991000
reasoningPerformance,61,2021-10-08 15:18:50.052000
reasoningPerformance,64,2021-10-08 15:18:50.116000
reasoningPerformance,92,2021-10-08 15:18:50.217000
reasoningPerformance,61,2021-10-08 15:18:50.276000
reasoningPerformance,80,2021-10-08 15:18:50.363000
reasoningPerformance,62,2021-10-08 15:18:50.425000
reasoningPerformance,66,2021-10-08 15:18:50.493000
reasoningPerformance,64,2021-10-08 15:18:50.557000
reasoningPerformance,73,2021-10-08 15:18:50.631000
reasoningPerformance,66,2021-10-08 15:18:50.705000
reasoningPerformance,90,2021-10-08 15:18:50.799000
reasoningPerformance,46,2021-10-08 15:18:50.845000
reasoningPerformance,86,2021-10-08 15:18:50.935000
reasoningPerformance,50,2021-10-08 15:18:50.985000
reasoningPerformance,75,2021-10-08 15:18:51.063000
reasoningPerformance,74,2021-10-08 15:18:51.136000
reasoningPerformance,63,2021-10-08 15:18:51.200000
