Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post3),0)>",2021-09-21 14:42:31.201000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-09-21 14:42:31.265000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2),op(drive,post5),op(drive,post3)],234.1973965273919),post3,0)>",2021-09-21 14:42:31.401000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:31.602000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering(0.004926739989769836),bearing(0.3540853514085711))>",2021-09-21 14:42:31.797000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-09-21 14:42:31.935000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:32.267000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.002675671649059493),bearing(0.3540908406407084))>",2021-09-21 14:42:32.461000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:32.597000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:32.733000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering(3.95979808505404E-4),bearing(0.35409194810097233))>",2021-09-21 14:42:32.935000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:33.071000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:33.210000
outbox,"<mid14,0,tell,BROADCAST,compassSteer(steering((-2.586617640690076E-4)),bearing(0.3543446951575788))>",2021-09-21 14:42:33.410000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:33.547000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:33.681000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.6215906941845057),bearing(0.3565411820839586))>",2021-09-21 14:42:33.876000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:34.015000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:34.157000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering(0.21354666303110573),bearing(0.3603593148215509))>",2021-09-21 14:42:34.363000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:34.505000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:34.643000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.1376212810813242)),bearing(0.18921149949045457))>",2021-09-21 14:42:34.854000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:34.995000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:35.134000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.3251111607041561)),bearing((-0.07262627652045239)))>",2021-09-21 14:42:35.343000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:35.473000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:35.608000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering((-0.3357254693285683)),bearing((-0.38333934600473185)))>",2021-09-21 14:42:35.801000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:35.932000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:36.061000
outbox,"<mid32,0,tell,BROADCAST,lkaSteer(steering((-0.051706415914439426)),bearing((-0.5134718730814711)))>",2021-09-21 14:42:36.254000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:36.376000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:36.506000
outbox,"<mid35,0,tell,BROADCAST,lkaSteer(steering(0.09459869210933804),bearing((-0.49171175305542647)))>",2021-09-21 14:42:36.700000
outbox,"<mid36,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:36.818000
outbox,"<mid37,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:36.955000
outbox,"<mid38,0,tell,BROADCAST,lkaSteer(steering(0.035807921351126856),bearing((-0.44826731888991844)))>",2021-09-21 14:42:37.137000
outbox,"<mid39,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:37.262000
outbox,"<mid40,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:37.393000
outbox,"<mid41,0,tell,BROADCAST,lkaSteer(steering(0.01608040174378012),bearing((-0.43689787137839176)))>",2021-09-21 14:42:37.574000
outbox,"<mid42,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:37.702000
outbox,"<mid43,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:37.830000
outbox,"<mid44,0,tell,BROADCAST,lkaSteer(steering((-1.8351352018802997E-5)),bearing((-0.45120411533247307)))>",2021-09-21 14:42:38.013000
outbox,"<mid45,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:38.135000
outbox,"<mid46,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:38.258000
outbox,"<mid47,0,tell,BROADCAST,lkaSteer(steering((-0.014400011459256446)),bearing((-0.47859625972773756)))>",2021-09-21 14:42:38.440000
outbox,"<mid48,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:38.566000
outbox,"<mid49,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:38.691000
outbox,"<mid50,0,tell,BROADCAST,lkaSteer(steering(0.004216707203008373),bearing((-0.5093995378254021)))>",2021-09-21 14:42:38.878000
outbox,"<mid51,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:39.005000
outbox,"<mid52,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:39.121000
outbox,"<mid53,0,tell,BROADCAST,lkaSteer(steering((-0.027732320534429176)),bearing((-0.5355653424069828)))>",2021-09-21 14:42:39.281000
outbox,"<mid54,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:39.403000
outbox,"<mid55,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:39.507000
outbox,"<mid56,0,tell,BROADCAST,lkaSteer(steering((-0.03689496123756722)),bearing((-0.5608173487297563)))>",2021-09-21 14:42:39.642000
outbox,"<mid57,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:39.759000
outbox,"<mid58,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:39.892000
outbox,"<mid59,0,tell,BROADCAST,lkaSteer(steering(0.01815444356591194),bearing((-0.5775242518268442)))>",2021-09-21 14:42:40.075000
outbox,"<mid60,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:40.184000
outbox,"<mid61,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:40.276000
outbox,"<mid62,0,tell,BROADCAST,lkaSteer(steering(0.04884232549250321),bearing((-0.5620875578141522)))>",2021-09-21 14:42:40.429000
outbox,"<mid63,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:40.537000
outbox,"<mid64,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:40.642000
outbox,"<mid65,0,tell,BROADCAST,lkaSteer(steering((-0.001553063297062336)),bearing((-0.5411548500584331)))>",2021-09-21 14:42:40.771000
outbox,"<mid66,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:42:40.867000
outbox,"<mid67,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:42:40.992000
outbox,"<mid68,0,tell,BROADCAST,lkaSteer(steering((-0.018096829735133078)),bearing((-0.5518913991510885)))>",2021-09-21 14:42:41.180000
outbox,"<mid69,0,tell,BROADCAST,controlSpeed(speedSetting(0),oldSpeedSetting(8))>",2021-09-21 14:42:41.341000
outbox,"<mid70,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:42:41.522000
outbox,"<mid71,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:42:41.617000
outbox,"<mid72,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:42:41.651000
outbox,"<mid73,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:42:41.744000
outbox,"<mid74,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:42:41.785000
outbox,"<mid75,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:42:41.876000
outbox,"<mid76,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:42:41.930000
outbox,"<mid77,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:42:42.028000
outbox,"<mid78,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:42:42.079000
outbox,"<mid79,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:42:42.179000
outbox,"<mid80,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:42:42.234000
