Topic,Data,TimeStamp
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-8.76061640298) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.6919536591)",2021-09-21 14:42:22.187000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-7.93081624916) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.2034077644)",2021-09-21 14:42:22.250000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-8.10304914557) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.2034077644)",2021-09-21 14:42:22.327000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-6.62731235315) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(43.626124382)",2021-09-21 14:42:22.399000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-8.81081224266) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(43.626124382)",2021-09-21 14:42:22.466000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-7.08638218324) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.8364801407)",2021-09-21 14:42:22.528000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-8.70039671101) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.8766736984)",2021-09-21 14:42:22.600000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-10.3639410913) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.8766736984)",2021-09-21 14:42:22.676000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-7.58132321569) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.9977025986)",2021-09-21 14:42:22.740000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-8.77922555853) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.2684168816)",2021-09-21 14:42:22.815000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-7.07296444268) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.2684168816)",2021-09-21 14:42:22.892000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-7.4223248512) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.8185462952)",2021-09-21 14:42:22.952000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-7.83467434285) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.8185462952)",2021-09-21 14:42:23.016000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-7.06839937117) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.5984210968)",2021-09-21 14:42:23.091000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-8.26178461629) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.7805643082)",2021-09-21 14:42:23.151000
perceptions,"gps(47.64148237132387, -122.1403649909945) compass(-5.87174684062) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.7805643082)",2021-09-21 14:42:23.214000
