Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post3),0)>",2021-09-21 14:44:48.966000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-09-21 14:44:49.028000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2),op(drive,post5),op(drive,post3)],234.1973965273919),post3,0)>",2021-09-21 14:44:49.163000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:49.368000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering(0.004433809567373547),bearing(0.354079855797238))>",2021-09-21 14:44:49.564000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-09-21 14:44:49.705000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:50.044000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.010710607467421666),bearing(0.3540946899559003))>",2021-09-21 14:44:50.240000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:50.373000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:50.507000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering(0.006943907352547443),bearing(0.3540957968785392))>",2021-09-21 14:44:50.707000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:50.843000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:50.983000
outbox,"<mid14,0,tell,BROADCAST,compassSteer(steering(0.008034223212220295),bearing(0.35414437145965394))>",2021-09-21 14:44:51.197000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:51.329000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:51.477000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.623801409096759),bearing(0.3548019658464341))>",2021-09-21 14:44:51.670000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:51.807000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:51.944000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering(0.26668309874209994),bearing(0.35416290070349987))>",2021-09-21 14:44:52.153000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:52.293000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:52.435000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.1511822330739465)),bearing(0.19775116270972148))>",2021-09-21 14:44:52.657000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:52.798000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:52.941000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.24011073603771993)),bearing((-0.09067909753315462)))>",2021-09-21 14:44:53.151000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:53.286000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:53.420000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering((-0.2074231240678669)),bearing((-0.41022167845159174)))>",2021-09-21 14:44:53.618000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:53.756000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:53.894000
outbox,"<mid32,0,tell,BROADCAST,lkaSteer(steering((-0.23972983023812022)),bearing((-0.5986124976041083)))>",2021-09-21 14:44:54.083000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:54.213000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:54.339000
outbox,"<mid35,0,tell,BROADCAST,lkaSteer(steering(0.026710272725654433),bearing((-0.676676171732538)))>",2021-09-21 14:44:54.527000
outbox,"<mid36,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:54.649000
outbox,"<mid37,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:54.766000
outbox,"<mid38,0,tell,BROADCAST,lkaSteer(steering(0.1961820478388123),bearing((-0.5857127834675566)))>",2021-09-21 14:44:54.958000
outbox,"<mid39,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:55.087000
outbox,"<mid40,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:55.202000
outbox,"<mid41,0,tell,BROADCAST,lkaSteer(steering(0.10819759370057459),bearing((-0.4648226273911291)))>",2021-09-21 14:44:55.365000
outbox,"<mid42,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:55.450000
outbox,"<mid43,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:55.558000
outbox,"<mid44,0,tell,BROADCAST,lkaSteer(steering((-0.1413072904980376)),bearing((-0.45024091129693034)))>",2021-09-21 14:44:55.738000
outbox,"<mid45,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:55.861000
outbox,"<mid46,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:55.984000
outbox,"<mid47,0,tell,BROADCAST,lkaSteer(steering((-0.03226852698213957)),bearing((-0.529725545950555)))>",2021-09-21 14:44:56.167000
outbox,"<mid48,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:56.286000
outbox,"<mid49,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:56.407000
outbox,"<mid50,0,tell,BROADCAST,lkaSteer(steering(0.036665000195078686),bearing((-0.5552634006461972)))>",2021-09-21 14:44:56.567000
outbox,"<mid51,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:56.679000
outbox,"<mid52,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:56.788000
outbox,"<mid53,0,tell,BROADCAST,lkaSteer(steering(0.027745409256137544),bearing((-0.5261782407122269)))>",2021-09-21 14:44:56.958000
outbox,"<mid54,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:57.072000
outbox,"<mid55,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:57.161000
outbox,"<mid56,0,tell,BROADCAST,lkaSteer(steering(0.045795067690496696),bearing((-0.5017550585678237)))>",2021-09-21 14:44:57.332000
outbox,"<mid57,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:57.449000
outbox,"<mid58,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:57.568000
outbox,"<mid59,0,tell,BROADCAST,lkaSteer(steering((-0.01334054699842324)),bearing((-0.5068651954387065)))>",2021-09-21 14:44:57.737000
outbox,"<mid60,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:57.857000
outbox,"<mid61,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:57.984000
outbox,"<mid62,0,tell,BROADCAST,lkaSteer(steering((-0.04427575289855085)),bearing((-0.5500386357458069)))>",2021-09-21 14:44:58.164000
outbox,"<mid63,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:58.285000
outbox,"<mid64,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:58.398000
outbox,"<mid65,0,tell,BROADCAST,lkaSteer(steering((-0.1014443448688859)),bearing((-0.6054008860493241)))>",2021-09-21 14:44:58.534000
outbox,"<mid66,0,tell,BROADCAST,controlSpeed(speedSetting(0),oldSpeedSetting(8))>",2021-09-21 14:44:58.691000
outbox,"<mid67,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:44:58.874000
outbox,"<mid68,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:44:58.973000
outbox,"<mid69,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:44:59.004000
outbox,"<mid70,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:44:59.078000
outbox,"<mid71,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:44:59.138000
outbox,"<mid72,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-09-21 14:44:59.186000
outbox,"<mid73,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:59.408000
outbox,"<mid74,0,tell,BROADCAST,compassSteer(steering(0.03667532430484454),bearing((-0.4764228147279823)))>",2021-09-21 14:44:59.545000
outbox,"<mid75,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:44:59.658000
outbox,"<mid76,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:44:59.780000
outbox,"<mid77,0,tell,BROADCAST,lkaSteer(steering(0.46828760012275666),bearing((-0.3620661725210539)))>",2021-09-21 14:44:59.939000
outbox,"<mid78,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:45:00.049000
outbox,"<mid79,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:45:00.158000
outbox,"<mid80,0,tell,BROADCAST,lkaSteer(steering(0.07084346900778386),bearing((-0.27586746116861605)))>",2021-09-21 14:45:00.314000
outbox,"<mid81,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:45:00.424000
outbox,"<mid82,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:45:00.531000
outbox,"<mid83,0,tell,BROADCAST,lkaSteer(steering(0.13099373893196103),bearing((-0.24554062980604385)))>",2021-09-21 14:45:00.692000
outbox,"<mid84,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:45:00.806000
outbox,"<mid85,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:45:00.919000
outbox,"<mid86,0,tell,BROADCAST,lkaSteer(steering(0.11205367198894298),bearing((-0.2336390397202308)))>",2021-09-21 14:45:01.079000
outbox,"<mid87,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:45:01.183000
outbox,"<mid88,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:45:01.298000
outbox,"<mid89,0,tell,BROADCAST,lkaSteer(steering(0.09498336377457796),bearing((-0.22241055292778356)))>",2021-09-21 14:45:01.448000
outbox,"<mid90,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:45:01.554000
outbox,"<mid91,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:45:01.670000
outbox,"<mid92,0,tell,BROADCAST,lkaSteer(steering(0.08992094321485669),bearing((-0.21383357266830672)))>",2021-09-21 14:45:01.826000
outbox,"<mid93,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:45:01.934000
outbox,"<mid94,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:45:02.045000
outbox,"<mid95,0,tell,BROADCAST,lkaSteer(steering(0.19622645067609126),bearing((-0.20567144850775776)))>",2021-09-21 14:45:02.209000
outbox,"<mid96,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:45:02.318000
