Topic,Data,TimeStamp
reasoningPerformance,77,2021-09-21 14:47:08.240000
reasoningPerformance,68,2021-09-21 14:47:08.308000
reasoningPerformance,71,2021-09-21 14:47:08.379000
reasoningPerformance,62,2021-09-21 14:47:08.441000
reasoningPerformance,65,2021-09-21 14:47:08.507000
reasoningPerformance,71,2021-09-21 14:47:08.578000
reasoningPerformance,63,2021-09-21 14:47:08.642000
reasoningPerformance,63,2021-09-21 14:47:08.705000
reasoningPerformance,65,2021-09-21 14:47:08.770000
reasoningPerformance,75,2021-09-21 14:47:08.844000
reasoningPerformance,77,2021-09-21 14:47:08.922000
reasoningPerformance,61,2021-09-21 14:47:08.984000
reasoningPerformance,67,2021-09-21 14:47:09.051000
reasoningPerformance,66,2021-09-21 14:47:09.117000
reasoningPerformance,69,2021-09-21 14:47:09.187000
reasoningPerformance,68,2021-09-21 14:47:09.255000
reasoningPerformance,64,2021-09-21 14:47:09.320000
reasoningPerformance,71,2021-09-21 14:47:09.391000
reasoningPerformance,64,2021-09-21 14:47:09.455000
reasoningPerformance,72,2021-09-21 14:47:09.527000
reasoningPerformance,63,2021-09-21 14:47:09.590000
reasoningPerformance,67,2021-09-21 14:47:09.656000
reasoningPerformance,71,2021-09-21 14:47:09.727000
reasoningPerformance,72,2021-09-21 14:47:09.800000
reasoningPerformance,62,2021-09-21 14:47:09.862000
reasoningPerformance,64,2021-09-21 14:47:09.926000
reasoningPerformance,73,2021-09-21 14:47:09.998000
reasoningPerformance,61,2021-09-21 14:47:10.060000
reasoningPerformance,62,2021-09-21 14:47:10.122000
reasoningPerformance,62,2021-09-21 14:47:10.184000
reasoningPerformance,75,2021-09-21 14:47:10.260000
reasoningPerformance,62,2021-09-21 14:47:10.321000
reasoningPerformance,74,2021-09-21 14:47:10.396000
reasoningPerformance,62,2021-09-21 14:47:10.458000
reasoningPerformance,63,2021-09-21 14:47:10.520000
reasoningPerformance,69,2021-09-21 14:47:10.590000
reasoningPerformance,66,2021-09-21 14:47:10.657000
reasoningPerformance,66,2021-09-21 14:47:10.723000
reasoningPerformance,68,2021-09-21 14:47:10.792000
reasoningPerformance,65,2021-09-21 14:47:10.856000
reasoningPerformance,67,2021-09-21 14:47:10.923000
reasoningPerformance,65,2021-09-21 14:47:10.989000
reasoningPerformance,63,2021-09-21 14:47:11.053000
reasoningPerformance,69,2021-09-21 14:47:11.122000
reasoningPerformance,65,2021-09-21 14:47:11.188000
reasoningPerformance,63,2021-09-21 14:47:11.252000
reasoningPerformance,75,2021-09-21 14:47:11.327000
reasoningPerformance,69,2021-09-21 14:47:11.396000
reasoningPerformance,68,2021-09-21 14:47:11.464000
reasoningPerformance,62,2021-09-21 14:47:11.526000
reasoningPerformance,65,2021-09-21 14:47:11.590000
reasoningPerformance,72,2021-09-21 14:47:11.663000
reasoningPerformance,64,2021-09-21 14:47:11.727000
reasoningPerformance,69,2021-09-21 14:47:11.797000
reasoningPerformance,67,2021-09-21 14:47:11.864000
reasoningPerformance,69,2021-09-21 14:47:11.933000
reasoningPerformance,70,2021-09-21 14:47:12.002000
reasoningPerformance,58,2021-09-21 14:47:12.061000
reasoningPerformance,76,2021-09-21 14:47:12.136000
reasoningPerformance,62,2021-09-21 14:47:12.199000
reasoningPerformance,63,2021-09-21 14:47:12.262000
reasoningPerformance,75,2021-09-21 14:47:12.337000
reasoningPerformance,60,2021-09-21 14:47:12.396000
reasoningPerformance,73,2021-09-21 14:47:12.469000
reasoningPerformance,65,2021-09-21 14:47:12.534000
reasoningPerformance,60,2021-09-21 14:47:12.595000
reasoningPerformance,75,2021-09-21 14:47:12.670000
reasoningPerformance,62,2021-09-21 14:47:12.732000
reasoningPerformance,63,2021-09-21 14:47:12.794000
reasoningPerformance,75,2021-09-21 14:47:12.870000
reasoningPerformance,63,2021-09-21 14:47:12.932000
reasoningPerformance,68,2021-09-21 14:47:13
reasoningPerformance,65,2021-09-21 14:47:13.066000
reasoningPerformance,64,2021-09-21 14:47:13.129000
reasoningPerformance,74,2021-09-21 14:47:13.204000
reasoningPerformance,62,2021-09-21 14:47:13.265000
reasoningPerformance,64,2021-09-21 14:47:13.330000
reasoningPerformance,74,2021-09-21 14:47:13.404000
reasoningPerformance,58,2021-09-21 14:47:13.462000
reasoningPerformance,72,2021-09-21 14:47:13.534000
reasoningPerformance,68,2021-09-21 14:47:13.602000
reasoningPerformance,61,2021-09-21 14:47:13.663000
reasoningPerformance,75,2021-09-21 14:47:13.737000
reasoningPerformance,66,2021-09-21 14:47:13.803000
reasoningPerformance,66,2021-09-21 14:47:13.870000
reasoningPerformance,62,2021-09-21 14:47:13.932000
reasoningPerformance,69,2021-09-21 14:47:14
reasoningPerformance,64,2021-09-21 14:47:14.064000
reasoningPerformance,68,2021-09-21 14:47:14.133000
reasoningPerformance,68,2021-09-21 14:47:14.200000
reasoningPerformance,61,2021-09-21 14:47:14.261000
reasoningPerformance,66,2021-09-21 14:47:14.328000
reasoningPerformance,72,2021-09-21 14:47:14.400000
reasoningPerformance,63,2021-09-21 14:47:14.463000
reasoningPerformance,74,2021-09-21 14:47:14.536000
