Topic,Data,TimeStamp
actions,steering(0.0032663354619118894),2021-09-21 14:49:27.987000
actions,setSpeed(8),2021-09-21 14:49:28.382000
actions,steering(-0.0016556545663256965),2021-09-21 14:49:28.650000
actions,steering(0.01567850238910963),2021-09-21 14:49:29.129000
actions,steering(0.0011070225461524746),2021-09-21 14:49:29.603000
actions,steering(0.6274846984398421),2021-09-21 14:49:30.087000
actions,steering(0.19447131774705234),2021-09-21 14:49:30.567000
actions,steering(-0.08761439575046097),2021-09-21 14:49:31.065000
actions,steering(-0.29931132540738914),2021-09-21 14:49:31.553000
actions,steering(-0.24466686469746907),2021-09-21 14:49:32.033000
actions,steering(-0.06806948029575847),2021-09-21 14:49:32.491000
actions,steering(0.08628973184874757),2021-09-21 14:49:32.942000
actions,steering(0.1277351511040127),2021-09-21 14:49:33.397000
actions,steering(-0.13628887200970058),2021-09-21 14:49:33.815000
actions,steering(-0.07843109033152708),2021-09-21 14:49:34.220000
actions,steering(0.02113315031868216),2021-09-21 14:49:34.621000
actions,steering(0.05877102182638027),2021-09-21 14:49:35.023000
actions,steering(0.0879332610866596),2021-09-21 14:49:35.397000
actions,steering(-0.08406598081749618),2021-09-21 14:49:35.763000
actions,steering(-0.047217335966214455),2021-09-21 14:49:36.111000
actions,steering(0.0019671578708349486),2021-09-21 14:49:36.422000
actions,steering(-0.013346569137889244),2021-09-21 14:49:36.803000
actions,setSpeed(0),2021-09-21 14:49:37.074000
actions,setSpeed(0),2021-09-21 14:49:38.788000
