Topic,Data,TimeStamp
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-5.9482631768) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.9771471024)",2021-09-21 14:49:20.225000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-8.52643770563) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(74.4509973526)",2021-09-21 14:49:20.298000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-7.96008735284) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(74.4509973526)",2021-09-21 14:49:20.357000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-6.62010316913) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.159122467)",2021-09-21 14:49:20.426000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-7.90319883861) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.4723567963)",2021-09-21 14:49:20.504000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-8.01881704396) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.3260784149)",2021-09-21 14:49:20.566000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-7.91940122452) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.3260784149)",2021-09-21 14:49:20.640000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-8.60996084632) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.5164718628)",2021-09-21 14:49:20.704000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-9.2991533572) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.5164718628)",2021-09-21 14:49:20.775000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-7.99295170451) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.9148283005)",2021-09-21 14:49:20.839000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-8.52392872913) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.3034543991)",2021-09-21 14:49:20.903000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-8.79450434217) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.3034543991)",2021-09-21 14:49:20.965000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-8.83683874381) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.0927906036)",2021-09-21 14:49:21.038000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-7.18454791681) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.0927906036)",2021-09-21 14:49:21.102000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-6.82323456394) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.3545312881)",2021-09-21 14:49:21.176000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-10.3322823076) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.3545312881)",2021-09-21 14:49:21.237000
perceptions,"gps(47.641482371347166, -122.14036499114098) compass(-7.45931741078) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.3941440582)",2021-09-21 14:49:21.303000
