Topic,Data,TimeStamp
actions,steering(0.0126592825571399),2021-10-08 15:11:40.965000
actions,setSpeed(8),2021-10-08 15:11:41.405000
actions,steering(0.019285954378146827),2021-10-08 15:11:41.684000
actions,steering(0.009176309027899442),2021-10-08 15:11:42.190000
actions,steering(-0.004606186141341172),2021-10-08 15:11:42.687000
actions,steering(0.632250837519197),2021-10-08 15:11:43.222000
actions,steering(0.18001618916551798),2021-10-08 15:11:43.731000
actions,steering(-0.29789530047720914),2021-10-08 15:11:44.295000
actions,steering(-0.29422972638016126),2021-10-08 15:11:44.786000
actions,steering(-0.3079894740107966),2021-10-08 15:11:45.305000
actions,steering(0.10934073604822624),2021-10-08 15:11:45.761000
actions,steering(0.14228970763231516),2021-10-08 15:11:46.206000
actions,steering(-0.00223679305519553),2021-10-08 15:11:46.684000
actions,steering(-0.06201826509104782),2021-10-08 15:11:47.118000
actions,steering(-9.163234380887638E-4),2021-10-08 15:11:47.506000
actions,steering(0.04218735065440223),2021-10-08 15:11:47.932000
actions,steering(-0.007282344920847998),2021-10-08 15:11:48.318000
actions,steering(-0.022541598591749226),2021-10-08 15:11:48.745000
actions,steering(0.03166408911080588),2021-10-08 15:11:49.140000
actions,steering(0.026785538061643445),2021-10-08 15:11:49.521000
actions,steering(-0.05545825882581613),2021-10-08 15:11:49.844000
actions,steering(0.029861390929745657),2021-10-08 15:11:50.260000
actions,setSpeed(0),2021-10-08 15:11:50.801000
