Topic,Data,TimeStamp
actions,steering(0.003658150416427529),2021-10-08 15:13:57.909000
actions,setSpeed(8),2021-10-08 15:13:58.368000
actions,steering(0.004181723672468025),2021-10-08 15:13:58.651000
actions,steering(-0.005766399587106393),2021-10-08 15:13:59.157000
actions,steering(0.001693612506571333),2021-10-08 15:13:59.663000
actions,steering(0.641345041510033),2021-10-08 15:14:00.212000
actions,steering(0.19972828539856866),2021-10-08 15:14:00.753000
actions,steering(-0.13617483332074326),2021-10-08 15:14:01.301000
actions,steering(-0.35842166945430715),2021-10-08 15:14:01.856000
actions,steering(-0.5549331684484176),2021-10-08 15:14:02.331000
actions,steering(-0.04309626885559298),2021-10-08 15:14:02.784000
actions,steering(0.2840320609277309),2021-10-08 15:14:03.248000
actions,steering(0.05629773616996672),2021-10-08 15:14:03.795000
actions,steering(-0.10456183046376857),2021-10-08 15:14:04.323000
actions,steering(-0.06382737143743374),2021-10-08 15:14:04.788000
actions,steering(0.07965319257494624),2021-10-08 15:14:05.241000
actions,steering(0.027456243080574684),2021-10-08 15:14:05.584000
actions,steering(0.01998682784320701),2021-10-08 15:14:05.982000
actions,steering(0.034281667689379486),2021-10-08 15:14:06.362000
actions,steering(-0.0360106097399889),2021-10-08 15:14:06.790000
actions,steering(-0.03241306821905404),2021-10-08 15:14:07.136000
actions,steering(0.01393188481723195),2021-10-08 15:14:07.535000
actions,steering(-0.038762416838734395),2021-10-08 15:14:07.852000
actions,setSpeed(0),2021-10-08 15:14:08.121000
actions,setSpeed(0),2021-10-08 15:14:09.186000
actions,setSpeed(8),2021-10-08 15:14:09.401000
actions,steering(-0.46485616803328783),2021-10-08 15:14:09.672000
actions,setSpeed(8),2021-10-08 15:14:10.035000
actions,steering(0.01584152264301983),2021-10-08 15:14:10.269000
actions,setSpeed(8),2021-10-08 15:14:10.590000
actions,steering(0.030655599444328167),2021-10-08 15:14:10.758000
actions,setSpeed(8),2021-10-08 15:14:11.014000
actions,steering(0.3905528552633149),2021-10-08 15:14:11.192000
actions,setSpeed(8),2021-10-08 15:14:11.504000
actions,steering(0.12562915930056295),2021-10-08 15:14:11.716000
actions,setSpeed(8),2021-10-08 15:14:12.005000
actions,steering(0.02689262174151638),2021-10-08 15:14:12.241000
actions,setSpeed(8),2021-10-08 15:14:12.591000
actions,steering(0.08885382391575435),2021-10-08 15:14:12.835000
actions,setSpeed(8),2021-10-08 15:14:13.202000
actions,steering(-0.010630315808605214),2021-10-08 15:14:13.432000
actions,setSpeed(8),2021-10-08 15:14:13.783000
actions,steering(0.029479204430407822),2021-10-08 15:14:14.023000
actions,setSpeed(8),2021-10-08 15:14:14.379000
actions,steering(0.002446065596882269),2021-10-08 15:14:14.621000
actions,setSpeed(8),2021-10-08 15:14:14.952000
actions,steering(0.03367318712422543),2021-10-08 15:14:15.190000
actions,setSpeed(8),2021-10-08 15:14:15.561000
actions,steering(-0.02809630636831977),2021-10-08 15:14:15.804000
actions,setSpeed(8),2021-10-08 15:14:16.151000
actions,steering(-0.010251666850266178),2021-10-08 15:14:16.431000
