Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post2),0)>",2021-10-08 15:16:35.443000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-10-08 15:16:35.524000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2)],126.96806881706038),post2,0)>",2021-10-08 15:16:35.679000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:16:35.923000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering((-7.42239101191311E-4)),bearing(0.3540853250555642))>",2021-10-08 15:16:36.135000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-08 15:16:36.289000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:16:36.676000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.00488998095937684),bearing(0.35410070380783054))>",2021-10-08 15:16:36.878000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:16:37.018000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:16:37.172000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering((-1.3049425319172511E-4)),bearing(0.3541023684954894))>",2021-10-08 15:16:37.390000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:16:37.550000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:16:37.699000
outbox,"<mid14,0,tell,BROADCAST,compassSteer(steering(0.01023877748031549),bearing(0.35442444811678797))>",2021-10-08 15:16:37.928000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:16:38.084000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:16:38.223000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.6149402399631921),bearing(0.35643343219112467))>",2021-10-08 15:16:38.443000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:16:38.589000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:16:38.726000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering(0.21878413282595274),bearing(0.356325333451025))>",2021-10-08 15:16:38.941000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:16:39.089000
