Topic,Data,TimeStamp
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-6.25173317129) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.1730718613)",2021-10-08 15:16:21.895000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-8.3732622194) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(74.3641557693)",2021-10-08 15:16:21.978000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-7.27162040323) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.2721834183)",2021-10-08 15:16:22.046000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-6.66444944625) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.2721834183)",2021-10-08 15:16:22.118000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-8.05492529979) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.8263912201)",2021-10-08 15:16:22.184000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-6.58508320247) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.8263912201)",2021-10-08 15:16:22.258000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-7.39301343327) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.6639580727)",2021-10-08 15:16:22.342000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-6.86948140812) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.6639580727)",2021-10-08 15:16:22.406000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-7.70470220583) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.5259575844)",2021-10-08 15:16:22.486000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-5.60164600223) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(72.1101531982)",2021-10-08 15:16:22.547000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-9.37828907134) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(72.1101531982)",2021-10-08 15:16:22.620000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-7.38249128153) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.1082773209)",2021-10-08 15:16:22.698000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-6.33619008882) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.1082773209)",2021-10-08 15:16:22.772000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-6.07824831044) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.5398111343)",2021-10-08 15:16:22.844000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-5.89754979901) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.8611831665)",2021-10-08 15:16:22.913000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-7.12552327441) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.8611831665)",2021-10-08 15:16:22.987000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-7.22265194971) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5786066055)",2021-10-08 15:16:23.065000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-6.59573963274) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5786066055)",2021-10-08 15:16:23.149000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-6.27977715854) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.505818367)",2021-10-08 15:16:23.216000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-7.89467047421) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.505818367)",2021-10-08 15:16:23.285000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-6.24572682189) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5096950531)",2021-10-08 15:16:23.353000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-7.60397771604) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.1478528976)",2021-10-08 15:16:23.430000
perceptions,"gps(47.64148237123888, -122.1403649909945) compass(-8.45403792679) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.2042384148)",2021-10-08 15:16:23.507000
