Topic,Data,TimeStamp
reasoningPerformance,87,2021-10-08 15:16:21.875000
reasoningPerformance,49,2021-10-08 15:16:21.927000
reasoningPerformance,75,2021-10-08 15:16:22.014000
reasoningPerformance,70,2021-10-08 15:16:22.115000
reasoningPerformance,72,2021-10-08 15:16:22.198000
reasoningPerformance,60,2021-10-08 15:16:22.251000
reasoningPerformance,34,2021-10-08 15:16:22.285000
reasoningPerformance,107,2021-10-08 15:16:22.405000
reasoningPerformance,23,2021-10-08 15:16:22.453000
reasoningPerformance,78,2021-10-08 15:16:22.541000
reasoningPerformance,22,2021-10-08 15:16:22.565000
reasoningPerformance,78,2021-10-08 15:16:22.662000
reasoningPerformance,96,2021-10-08 15:16:22.740000
reasoningPerformance,59,2021-10-08 15:16:22.830000
reasoningPerformance,63,2021-10-08 15:16:22.891000
reasoningPerformance,66,2021-10-08 15:16:22.963000
reasoningPerformance,44,2021-10-08 15:16:23.013000
reasoningPerformance,102,2021-10-08 15:16:23.118000
reasoningPerformance,75,2021-10-08 15:16:23.191000
reasoningPerformance,48,2021-10-08 15:16:23.274000
reasoningPerformance,41,2021-10-08 15:16:23.337000
reasoningPerformance,43,2021-10-08 15:16:23.382000
reasoningPerformance,69,2021-10-08 15:16:23.470000
reasoningPerformance,60,2021-10-08 15:16:23.555000
reasoningPerformance,79,2021-10-08 15:16:23.614000
reasoningPerformance,92,2021-10-08 15:16:23.730000
reasoningPerformance,59,2021-10-08 15:16:23.790000
reasoningPerformance,53,2021-10-08 15:16:23.849000
reasoningPerformance,24,2021-10-08 15:16:23.883000
reasoningPerformance,88,2021-10-08 15:16:23.980000
reasoningPerformance,47,2021-10-08 15:16:24.028000
reasoningPerformance,69,2021-10-08 15:16:24.118000
reasoningPerformance,58,2021-10-08 15:16:24.204000
reasoningPerformance,63,2021-10-08 15:16:24.270000
reasoningPerformance,48,2021-10-08 15:16:24.317000
reasoningPerformance,84,2021-10-08 15:16:24.442000
reasoningPerformance,83,2021-10-08 15:16:24.500000
reasoningPerformance,56,2021-10-08 15:16:24.560000
reasoningPerformance,79,2021-10-08 15:16:24.655000
reasoningPerformance,70,2021-10-08 15:16:24.729000
reasoningPerformance,48,2021-10-08 15:16:24.778000
reasoningPerformance,122,2021-10-08 15:16:24.904000
reasoningPerformance,46,2021-10-08 15:16:24.969000
reasoningPerformance,51,2021-10-08 15:16:25.033000
reasoningPerformance,30,2021-10-08 15:16:25.081000
reasoningPerformance,126,2021-10-08 15:16:25.190000
reasoningPerformance,44,2021-10-08 15:16:25.238000
reasoningPerformance,46,2021-10-08 15:16:25.316000
reasoningPerformance,58,2021-10-08 15:16:25.371000
reasoningPerformance,93,2021-10-08 15:16:25.481000
reasoningPerformance,58,2021-10-08 15:16:25.539000
reasoningPerformance,59,2021-10-08 15:16:25.627000
reasoningPerformance,89,2021-10-08 15:16:25.691000
reasoningPerformance,64,2021-10-08 15:16:25.762000
reasoningPerformance,54,2021-10-08 15:16:25.840000
reasoningPerformance,35,2021-10-08 15:16:25.893000
reasoningPerformance,99,2021-10-08 15:16:25.997000
reasoningPerformance,33,2021-10-08 15:16:26.048000
reasoningPerformance,59,2021-10-08 15:16:26.119000
reasoningPerformance,72,2021-10-08 15:16:26.214000
reasoningPerformance,70,2021-10-08 15:16:26.288000
reasoningPerformance,45,2021-10-08 15:16:26.334000
reasoningPerformance,73,2021-10-08 15:16:26.407000
reasoningPerformance,62,2021-10-08 15:16:26.500000
reasoningPerformance,107,2021-10-08 15:16:26.585000
reasoningPerformance,74,2021-10-08 15:16:26.673000
reasoningPerformance,63,2021-10-08 15:16:26.740000
reasoningPerformance,53,2021-10-08 15:16:26.812000
reasoningPerformance,81,2021-10-08 15:16:26.926000
reasoningPerformance,35,2021-10-08 15:16:26.958000
reasoningPerformance,61,2021-10-08 15:16:27.015000
reasoningPerformance,92,2021-10-08 15:16:27.103000
reasoningPerformance,82,2021-10-08 15:16:27.188000
reasoningPerformance,45,2021-10-08 15:16:27.234000
reasoningPerformance,106,2021-10-08 15:16:27.359000
reasoningPerformance,39,2021-10-08 15:16:27.407000
reasoningPerformance,71,2021-10-08 15:16:27.473000
reasoningPerformance,65,2021-10-08 15:16:27.550000
reasoningPerformance,58,2021-10-08 15:16:27.598000
reasoningPerformance,105,2021-10-08 15:16:27.706000
reasoningPerformance,78,2021-10-08 15:16:27.792000
reasoningPerformance,51,2021-10-08 15:16:27.872000
reasoningPerformance,61,2021-10-08 15:16:27.906000
reasoningPerformance,71,2021-10-08 15:16:27.978000
reasoningPerformance,79,2021-10-08 15:16:28.064000
reasoningPerformance,75,2021-10-08 15:16:28.140000
reasoningPerformance,101,2021-10-08 15:16:28.251000
reasoningPerformance,81,2021-10-08 15:16:28.335000
reasoningPerformance,28,2021-10-08 15:16:28.363000
reasoningPerformance,106,2021-10-08 15:16:28.472000
reasoningPerformance,42,2021-10-08 15:16:28.527000
reasoningPerformance,62,2021-10-08 15:16:28.595000
reasoningPerformance,75,2021-10-08 15:16:28.665000
reasoningPerformance,76,2021-10-08 15:16:28.741000
reasoningPerformance,91,2021-10-08 15:16:28.835000
reasoningPerformance,65,2021-10-08 15:16:28.910000
reasoningPerformance,78,2021-10-08 15:16:28.991000
reasoningPerformance,70,2021-10-08 15:16:29.071000
reasoningPerformance,73,2021-10-08 15:16:29.157000
reasoningPerformance,61,2021-10-08 15:16:29.208000
reasoningPerformance,86,2021-10-08 15:16:29.301000
reasoningPerformance,73,2021-10-08 15:16:29.373000
reasoningPerformance,77,2021-10-08 15:16:29.459000
reasoningPerformance,70,2021-10-08 15:16:29.534000
reasoningPerformance,76,2021-10-08 15:16:29.613000
reasoningPerformance,60,2021-10-08 15:16:29.674000
reasoningPerformance,70,2021-10-08 15:16:29.750000
reasoningPerformance,90,2021-10-08 15:16:29.840000
reasoningPerformance,74,2021-10-08 15:16:29.919000
reasoningPerformance,49,2021-10-08 15:16:29.967000
reasoningPerformance,92,2021-10-08 15:16:30.070000
reasoningPerformance,66,2021-10-08 15:16:30.131000
reasoningPerformance,69,2021-10-08 15:16:30.209000
reasoningPerformance,74,2021-10-08 15:16:30.275000
reasoningPerformance,72,2021-10-08 15:16:30.348000
reasoningPerformance,75,2021-10-08 15:16:30.424000
reasoningPerformance,73,2021-10-08 15:16:30.501000
reasoningPerformance,67,2021-10-08 15:16:30.577000
reasoningPerformance,77,2021-10-08 15:16:30.655000
reasoningPerformance,73,2021-10-08 15:16:30.737000
reasoningPerformance,91,2021-10-08 15:16:30.826000
reasoningPerformance,50,2021-10-08 15:16:30.896000
reasoningPerformance,63,2021-10-08 15:16:30.970000
reasoningPerformance,51,2021-10-08 15:16:31.022000
reasoningPerformance,96,2021-10-08 15:16:31.126000
reasoningPerformance,42,2021-10-08 15:16:31.183000
reasoningPerformance,66,2021-10-08 15:16:31.258000
reasoningPerformance,76,2021-10-08 15:16:31.328000
reasoningPerformance,55,2021-10-08 15:16:31.383000
reasoningPerformance,82,2021-10-08 15:16:31.477000
reasoningPerformance,86,2021-10-08 15:16:31.576000
reasoningPerformance,41,2021-10-08 15:16:31.621000
reasoningPerformance,65,2021-10-08 15:16:31.701000
reasoningPerformance,80,2021-10-08 15:16:31.788000
reasoningPerformance,49,2021-10-08 15:16:31.853000
reasoningPerformance,50,2021-10-08 15:16:31.906000
reasoningPerformance,72,2021-10-08 15:16:31.979000
reasoningPerformance,96,2021-10-08 15:16:32.085000
reasoningPerformance,49,2021-10-08 15:16:32.134000
reasoningPerformance,74,2021-10-08 15:16:32.208000
reasoningPerformance,93,2021-10-08 15:16:32.312000
reasoningPerformance,63,2021-10-08 15:16:32.374000
reasoningPerformance,76,2021-10-08 15:16:32.451000
reasoningPerformance,78,2021-10-08 15:16:32.530000
reasoningPerformance,76,2021-10-08 15:16:32.607000
reasoningPerformance,72,2021-10-08 15:16:32.680000
reasoningPerformance,79,2021-10-08 15:16:32.760000
reasoningPerformance,63,2021-10-08 15:16:32.824000
reasoningPerformance,89,2021-10-08 15:16:32.916000
reasoningPerformance,66,2021-10-08 15:16:32.988000
reasoningPerformance,77,2021-10-08 15:16:33.079000
reasoningPerformance,49,2021-10-08 15:16:33.128000
reasoningPerformance,75,2021-10-08 15:16:33.205000
reasoningPerformance,71,2021-10-08 15:16:33.280000
reasoningPerformance,83,2021-10-08 15:16:33.362000
reasoningPerformance,82,2021-10-08 15:16:33.449000
reasoningPerformance,64,2021-10-08 15:16:33.511000
reasoningPerformance,74,2021-10-08 15:16:33.586000
reasoningPerformance,65,2021-10-08 15:16:33.662000
reasoningPerformance,72,2021-10-08 15:16:33.724000
reasoningPerformance,68,2021-10-08 15:16:33.794000
reasoningPerformance,87,2021-10-08 15:16:33.888000
reasoningPerformance,64,2021-10-08 15:16:33.955000
reasoningPerformance,75,2021-10-08 15:16:34.030000
reasoningPerformance,90,2021-10-08 15:16:34.122000
reasoningPerformance,60,2021-10-08 15:16:34.182000
reasoningPerformance,74,2021-10-08 15:16:34.258000
reasoningPerformance,65,2021-10-08 15:16:34.329000
reasoningPerformance,91,2021-10-08 15:16:34.422000
reasoningPerformance,53,2021-10-08 15:16:34.478000
reasoningPerformance,87,2021-10-08 15:16:34.563000
reasoningPerformance,79,2021-10-08 15:16:34.646000
reasoningPerformance,48,2021-10-08 15:16:34.695000
reasoningPerformance,78,2021-10-08 15:16:34.772000
reasoningPerformance,85,2021-10-08 15:16:34.864000
reasoningPerformance,63,2021-10-08 15:16:34.926000
reasoningPerformance,66,2021-10-08 15:16:35
reasoningPerformance,87,2021-10-08 15:16:35.092000
reasoningPerformance,56,2021-10-08 15:16:35.147000
reasoningPerformance,75,2021-10-08 15:16:35.227000
reasoningPerformance,75,2021-10-08 15:16:35.303000
reasoningPerformance,67,2021-10-08 15:16:35.366000
reasoningPerformance,70,2021-10-08 15:16:35.443000
reasoningPerformance,80,2021-10-08 15:16:35.524000
reasoningPerformance,76,2021-10-08 15:16:35.601000
reasoningPerformance,77,2021-10-08 15:16:35.679000
reasoningPerformance,57,2021-10-08 15:16:35.748000
reasoningPerformance,82,2021-10-08 15:16:35.827000
reasoningPerformance,92,2021-10-08 15:16:35.926000
reasoningPerformance,52,2021-10-08 15:16:35.975000
reasoningPerformance,85,2021-10-08 15:16:36.068000
reasoningPerformance,76,2021-10-08 15:16:36.142000
reasoningPerformance,63,2021-10-08 15:16:36.208000
reasoningPerformance,81,2021-10-08 15:16:36.289000
reasoningPerformance,66,2021-10-08 15:16:36.371000
reasoningPerformance,78,2021-10-08 15:16:36.448000
reasoningPerformance,65,2021-10-08 15:16:36.512000
reasoningPerformance,78,2021-10-08 15:16:36.589000
reasoningPerformance,83,2021-10-08 15:16:36.677000
reasoningPerformance,55,2021-10-08 15:16:36.736000
reasoningPerformance,82,2021-10-08 15:16:36.820000
reasoningPerformance,49,2021-10-08 15:16:36.897000
reasoningPerformance,50,2021-10-08 15:16:36.953000
reasoningPerformance,74,2021-10-08 15:16:37.019000
reasoningPerformance,64,2021-10-08 15:16:37.084000
reasoningPerformance,86,2021-10-08 15:16:37.171000
reasoningPerformance,63,2021-10-08 15:16:37.234000
reasoningPerformance,102,2021-10-08 15:16:37.338000
reasoningPerformance,47,2021-10-08 15:16:37.393000
reasoningPerformance,80,2021-10-08 15:16:37.476000
reasoningPerformance,75,2021-10-08 15:16:37.551000
reasoningPerformance,59,2021-10-08 15:16:37.613000
reasoningPerformance,85,2021-10-08 15:16:37.699000
reasoningPerformance,65,2021-10-08 15:16:37.764000
reasoningPerformance,77,2021-10-08 15:16:37.853000
reasoningPerformance,82,2021-10-08 15:16:37.929000
reasoningPerformance,76,2021-10-08 15:16:38.007000
reasoningPerformance,77,2021-10-08 15:16:38.084000
reasoningPerformance,64,2021-10-08 15:16:38.156000
reasoningPerformance,73,2021-10-08 15:16:38.223000
reasoningPerformance,84,2021-10-08 15:16:38.322000
reasoningPerformance,60,2021-10-08 15:16:38.375000
reasoningPerformance,64,2021-10-08 15:16:38.444000
reasoningPerformance,70,2021-10-08 15:16:38.523000
reasoningPerformance,64,2021-10-08 15:16:38.590000
reasoningPerformance,56,2021-10-08 15:16:38.644000
reasoningPerformance,82,2021-10-08 15:16:38.727000
reasoningPerformance,59,2021-10-08 15:16:38.789000
reasoningPerformance,69,2021-10-08 15:16:38.859000
reasoningPerformance,81,2021-10-08 15:16:38.942000
reasoningPerformance,62,2021-10-08 15:16:39.012000
reasoningPerformance,78,2021-10-08 15:16:39.090000
reasoningPerformance,67,2021-10-08 15:16:39.162000
reasoningPerformance,87,2021-10-08 15:16:39.261000
reasoningPerformance,45,2021-10-08 15:16:39.308000
reasoningPerformance,75,2021-10-08 15:16:39.383000
reasoningPerformance,102,2021-10-08 15:16:39.486000
reasoningPerformance,43,2021-10-08 15:16:39.532000
reasoningPerformance,76,2021-10-08 15:16:39.611000
reasoningPerformance,84,2021-10-08 15:16:39.698000
reasoningPerformance,77,2021-10-08 15:16:39.775000
reasoningPerformance,58,2021-10-08 15:16:39.835000
reasoningPerformance,70,2021-10-08 15:16:39.916000
reasoningPerformance,62,2021-10-08 15:16:39.976000
reasoningPerformance,74,2021-10-08 15:16:40.054000
reasoningPerformance,89,2021-10-08 15:16:40.142000
reasoningPerformance,48,2021-10-08 15:16:40.202000
reasoningPerformance,62,2021-10-08 15:16:40.266000
reasoningPerformance,59,2021-10-08 15:16:40.323000
reasoningPerformance,78,2021-10-08 15:16:40.401000
reasoningPerformance,79,2021-10-08 15:16:40.490000
reasoningPerformance,54,2021-10-08 15:16:40.538000
reasoningPerformance,71,2021-10-08 15:16:40.616000
reasoningPerformance,62,2021-10-08 15:16:40.679000
reasoningPerformance,74,2021-10-08 15:16:40.754000
reasoningPerformance,72,2021-10-08 15:16:40.826000
reasoningPerformance,68,2021-10-08 15:16:40.895000
reasoningPerformance,65,2021-10-08 15:16:40.967000
reasoningPerformance,49,2021-10-08 15:16:41.027000
reasoningPerformance,49,2021-10-08 15:16:41.072000
reasoningPerformance,51,2021-10-08 15:16:41.131000
