Topic,Data,TimeStamp
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.07866610698) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.1887016296)",2021-10-08 15:44:23.750000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-6.92565183861) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.1351146698)",2021-10-08 15:44:23.829000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.24540259446) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.1351146698)",2021-10-08 15:44:23.891000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-9.21711717247) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.2690620422)",2021-10-08 15:44:23.966000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.09541155818) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.7201962471)",2021-10-08 15:44:24.045000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.11246670531) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.7201962471)",2021-10-08 15:44:24.120000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.68189479254) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.2060728073)",2021-10-08 15:44:24.198000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.41590277204) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.8384237289)",2021-10-08 15:44:24.262000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-6.25369020445) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.8384237289)",2021-10-08 15:44:24.335000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.37515112014) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.0792379379)",2021-10-08 15:44:24.411000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.2735948457) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.0792379379)",2021-10-08 15:44:24.486000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.80719876019) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(69.9698162079)",2021-10-08 15:44:24.569000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-5.85541122423) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.8963494301)",2021-10-08 15:44:24.639000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.58682650241) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.8963494301)",2021-10-08 15:44:24.711000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.30596580849) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.7459673882)",2021-10-08 15:44:24.776000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-6.67777802114) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.7459673882)",2021-10-08 15:44:24.852000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.59799702043) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.2118268013)",2021-10-08 15:44:24.915000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.46676435809) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.7896323204)",2021-10-08 15:44:24.999000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-6.33401485312) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.7896323204)",2021-10-08 15:44:25.062000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.38437398723) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.6580667496)",2021-10-08 15:44:25.131000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.60526611145) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.0534009933)",2021-10-08 15:44:25.205000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.02627490322) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.0534009933)",2021-10-08 15:44:25.276000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-5.89952469549) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(75.2485752106)",2021-10-08 15:44:25.353000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.39293390156) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.1061959267)",2021-10-08 15:44:25.420000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.12645401915) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.1061959267)",2021-10-08 15:44:25.498000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-6.95485703993) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.4076385498)",2021-10-08 15:44:25.571000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.77178494789) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.4076385498)",2021-10-08 15:44:25.642000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.89668405341) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.1495046616)",2021-10-08 15:44:25.707000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-6.24758836074) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.3821659088)",2021-10-08 15:44:25.781000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.49962729972) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.3821659088)",2021-10-08 15:44:25.847000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.32542398805) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.6634283066)",2021-10-08 15:44:25.925000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.69099446268) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.2470359802)",2021-10-08 15:44:25.999000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-5.65476876945) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.2470359802)",2021-10-08 15:44:26.072000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.29385013732) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.4391651154)",2021-10-08 15:44:26.146000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-6.70529459035) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.9906301498)",2021-10-08 15:44:26.225000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.24768617495) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.9906301498)",2021-10-08 15:44:26.286000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.07942594643) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.6747598648)",2021-10-08 15:44:26.365000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.33205328843) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5685863495)",2021-10-08 15:44:26.437000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.18313118524) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5685863495)",2021-10-08 15:44:26.511000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.64958165943) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.3020486832)",2021-10-08 15:44:26.580000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.9587362755) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.3020486832)",2021-10-08 15:44:26.648000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-6.16005814931) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5568618774)",2021-10-08 15:44:26.726000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-6.45996659159) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7655000687)",2021-10-08 15:44:26.804000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-5.44702865885) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7655000687)",2021-10-08 15:44:26.863000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.04329814081) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(72.6681375504)",2021-10-08 15:44:26.940000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-9.30199294419) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(72.6681375504)",2021-10-08 15:44:27.007000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-5.41211820516) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7795495987)",2021-10-08 15:44:27.079000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.91300491813) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.4522161484)",2021-10-08 15:44:27.154000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-9.46100819455) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.4522161484)",2021-10-08 15:44:27.222000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.99597278679) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.5652127266)",2021-10-08 15:44:27.289000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-10.0360830744) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.1230039597)",2021-10-08 15:44:27.354000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.98452293474) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.1230039597)",2021-10-08 15:44:27.428000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.35570211141) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.6239862442)",2021-10-08 15:44:27.504000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.9624752875) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.6239862442)",2021-10-08 15:44:27.568000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.5461929959) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(72.2849054337)",2021-10-08 15:44:27.650000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.6534742644) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(72.2849054337)",2021-10-08 15:44:27.721000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.44226777493) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7137670517)",2021-10-08 15:44:27.792000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.46361375979) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.9227666855)",2021-10-08 15:44:27.857000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-9.14005275366) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.9227666855)",2021-10-08 15:44:27.929000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.08586035697) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7620840073)",2021-10-08 15:44:28.011000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.85506561699) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.6569414139)",2021-10-08 15:44:28.084000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-6.00213638761) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.6569414139)",2021-10-08 15:44:28.149000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-5.82782060859) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(68.4734544754)",2021-10-08 15:44:28.225000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.94211367913) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(68.4734544754)",2021-10-08 15:44:28.303000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-9.44269820663) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.8601756096)",2021-10-08 15:44:28.363000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.16704908205) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.8601756096)",2021-10-08 15:44:28.440000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.67361270933) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.7762641907)",2021-10-08 15:44:28.515000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-6.31406130749) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.3362131119)",2021-10-08 15:44:28.578000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-6.91984301878) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.3362131119)",2021-10-08 15:44:28.651000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-6.0871994183) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.9945802689)",2021-10-08 15:44:28.729000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-6.40627173432) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.4104681015)",2021-10-08 15:44:28.794000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-9.34484232685) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.4104681015)",2021-10-08 15:44:28.869000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.8623780714) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.7816333771)",2021-10-08 15:44:28.947000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.81537679886) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.1208524704)",2021-10-08 15:44:29.023000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.61033646238) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.1208524704)",2021-10-08 15:44:29.088000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.4692998473) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.991973877)",2021-10-08 15:44:29.163000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.3822191966) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.991973877)",2021-10-08 15:44:29.230000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-7.96818839054) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.6879386902)",2021-10-08 15:44:29.301000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.14836910186) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.6879386902)",2021-10-08 15:44:29.377000
perceptions,"gps(47.641482371347166, -122.14036499081547) compass(-8.06915343223) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.3921489716)",2021-10-08 15:44:29.443000
