Topic,Data,TimeStamp
actions,steering(0.00784160288895897),2021-09-21 13:34:26.403000
actions,setSpeed(8),2021-09-21 13:34:26.802000
actions,steering(-0.001192413445304711),2021-09-21 13:34:27.074000
actions,steering(0.010241728107417695),2021-09-21 13:34:27.548000
actions,steering(0.010729489415496198),2021-09-21 13:34:28.033000
actions,steering(0.6481636551188579),2021-09-21 13:34:28.524000
actions,steering(0.23319731822497455),2021-09-21 13:34:29.008000
actions,steering(-0.17580651901886923),2021-09-21 13:34:29.507000
actions,steering(-0.22030352581932205),2021-09-21 13:34:29.992000
actions,steering(-0.3678852060064768),2021-09-21 13:34:30.464000
actions,steering(-0.07576286325708574),2021-09-21 13:34:30.923000
actions,steering(0.1009251829455144),2021-09-21 13:34:31.396000
actions,steering(0.07077261910304374),2021-09-21 13:34:31.813000
actions,steering(0.00543776860834864),2021-09-21 13:34:32.222000
actions,steering(0.004699282955197886),2021-09-21 13:34:32.632000
actions,steering(-0.014754151809481468),2021-09-21 13:34:33.035000
actions,steering(0.022175921450996693),2021-09-21 13:34:33.426000
actions,steering(-0.08079355390445798),2021-09-21 13:34:33.806000
actions,steering(0.08196232405734342),2021-09-21 13:34:34.200000
actions,steering(0.07789956613662889),2021-09-21 13:34:34.568000
actions,steering(-0.06270554723439693),2021-09-21 13:34:34.959000
actions,steering(-0.04266781121085882),2021-09-21 13:34:35.339000
actions,steering(0.005077456600659377),2021-09-21 13:34:35.685000
actions,steering(-0.03184350882643585),2021-09-21 13:34:36.081000
actions,setSpeed(0),2021-09-21 13:34:36.512000
actions,steering(0.003126606404912054),2021-09-21 13:34:39.611000
actions,setSpeed(8),2021-09-21 13:34:40.454000
