Topic,Data,TimeStamp
actions,steering(-0.0026977639070041013),2021-09-21 14:15:04.282000
actions,setSpeed(8),2021-09-21 14:15:04.693000
actions,steering(0.007584362667553643),2021-09-21 14:15:04.963000
actions,steering(-0.0030171640705451085),2021-09-21 14:15:05.442000
actions,steering(0.0031761888490832685),2021-09-21 14:15:05.901000
actions,steering(0.6356135969561999),2021-09-21 14:15:06.382000
actions,steering(0.23500378125270882),2021-09-21 14:15:06.864000
actions,steering(-0.18376573183898412),2021-09-21 14:15:07.369000
actions,steering(-0.24410086934622677),2021-09-21 14:15:07.858000
actions,steering(-0.49022505032646024),2021-09-21 14:15:08.341000
actions,steering(0.0375482991822354),2021-09-21 14:15:08.781000
actions,steering(0.28715117286172054),2021-09-21 14:15:09.230000
actions,steering(0.0555090062609055),2021-09-21 14:15:09.634000
actions,steering(-0.11308651289928273),2021-09-21 14:15:10.077000
actions,steering(-0.06778868400734579),2021-09-21 14:15:10.506000
actions,steering(0.07142492845075629),2021-09-21 14:15:10.918000
actions,steering(0.024387726559811283),2021-09-21 14:15:11.316000
actions,steering(0.1465063956899695),2021-09-21 14:15:11.725000
actions,steering(-0.09276396540695699),2021-09-21 14:15:12.080000
actions,steering(-0.09050369948701789),2021-09-21 14:15:12.475000
actions,steering(-0.03187300387469102),2021-09-21 14:15:12.840000
actions,steering(0.023173642441974326),2021-09-21 14:15:13.251000
actions,setSpeed(0),2021-09-21 14:15:13.779000
actions,steering(-0.5274132695198774),2021-09-21 14:15:15.323000
actions,setSpeed(0),2021-09-21 14:15:15.864000
actions,setSpeed(8),2021-09-21 14:15:16.977000
