Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post3),0)>",2021-09-21 14:15:03.742000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-09-21 14:15:03.808000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2),op(drive,post5),op(drive,post3)],234.1973965273919),post3,0)>",2021-09-21 14:15:03.952000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:04.155000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering((-0.0026977639070041013)),bearing(0.3540793099292614))>",2021-09-21 14:15:04.352000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-09-21 14:15:04.493000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:04.831000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.007584362667553643),bearing(0.3540957977296557))>",2021-09-21 14:15:05.030000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:05.165000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:05.306000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering((-0.0030171640705451085)),bearing(0.3540958045318803))>",2021-09-21 14:15:05.502000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:05.636000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:05.776000
outbox,"<mid14,0,tell,BROADCAST,compassSteer(steering(0.0031761888490832685),bearing(0.35421519063498863))>",2021-09-21 14:15:05.976000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:06.101000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:06.239000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.6356135969561999),bearing(0.3569770108578041))>",2021-09-21 14:15:06.451000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:06.589000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:06.727000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering(0.23500378125270882),bearing(0.3603848952679982))>",2021-09-21 14:15:06.937000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:07.091000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:07.237000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.18376573183898412)),bearing(0.17679767305503447))>",2021-09-21 14:15:07.446000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:07.587000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:07.729000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.24410086934622677)),bearing((-0.11000508623527594)))>",2021-09-21 14:15:07.932000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:08.070000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:08.205000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering((-0.49022505032646024)),bearing((-0.4227990361492857)))>",2021-09-21 14:15:08.393000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:08.537000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:08.660000
outbox,"<mid32,0,tell,BROADCAST,lkaSteer(steering(0.0375482991822354),bearing((-0.5979335022794317)))>",2021-09-21 14:15:08.850000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:08.975000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:09.101000
outbox,"<mid35,0,tell,BROADCAST,lkaSteer(steering(0.28715117286172054),bearing((-0.5313727375809663)))>",2021-09-21 14:15:09.280000
outbox,"<mid36,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:09.403000
outbox,"<mid37,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:09.526000
outbox,"<mid38,0,tell,BROADCAST,lkaSteer(steering(0.0555090062609055),bearing((-0.43012714151979026)))>",2021-09-21 14:15:09.703000
outbox,"<mid39,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:09.826000
outbox,"<mid40,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:09.949000
outbox,"<mid41,0,tell,BROADCAST,lkaSteer(steering((-0.11308651289928273)),bearing((-0.44202830292658746)))>",2021-09-21 14:15:10.137000
outbox,"<mid42,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:10.261000
outbox,"<mid43,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:10.384000
outbox,"<mid44,0,tell,BROADCAST,lkaSteer(steering((-0.06778868400734579)),bearing((-0.5154978544585447)))>",2021-09-21 14:15:10.568000
outbox,"<mid45,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:10.690000
outbox,"<mid46,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:10.803000
outbox,"<mid47,0,tell,BROADCAST,lkaSteer(steering(0.07142492845075629),bearing((-0.5370406107084023)))>",2021-09-21 14:15:10.981000
outbox,"<mid48,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:11.087000
outbox,"<mid49,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:11.191000
outbox,"<mid50,0,tell,BROADCAST,lkaSteer(steering(0.024387726559811283),bearing((-0.49545464970572084)))>",2021-09-21 14:15:11.376000
outbox,"<mid51,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:11.500000
outbox,"<mid52,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:11.620000
outbox,"<mid53,0,tell,BROADCAST,lkaSteer(steering(0.1465063956899695),bearing((-0.46413220353713314)))>",2021-09-21 14:15:11.775000
outbox,"<mid54,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:11.868000
outbox,"<mid55,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:11.963000
outbox,"<mid56,0,tell,BROADCAST,lkaSteer(steering((-0.09276396540695699)),bearing((-0.47007065677144055)))>",2021-09-21 14:15:12.140000
outbox,"<mid57,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:12.256000
outbox,"<mid58,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:12.375000
outbox,"<mid59,0,tell,BROADCAST,lkaSteer(steering((-0.09050369948701789)),bearing((-0.5484967584516198)))>",2021-09-21 14:15:12.530000
outbox,"<mid60,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:12.642000
outbox,"<mid61,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:12.742000
outbox,"<mid62,0,tell,BROADCAST,lkaSteer(steering((-0.03187300387469102)),bearing((-0.6463609775942132)))>",2021-09-21 14:15:12.902000
outbox,"<mid63,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:13.025000
outbox,"<mid64,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:13.140000
outbox,"<mid65,0,tell,BROADCAST,lkaSteer(steering(0.023173642441974326),bearing((-0.65635189020486)))>",2021-09-21 14:15:13.290000
outbox,"<mid66,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:15:13.400000
outbox,"<mid67,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:15:13.482000
outbox,"<mid68,0,tell,BROADCAST,controlSpeed(speedSetting(0),oldSpeedSetting(8))>",2021-09-21 14:15:13.646000
outbox,"<mid69,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:15:13.839000
outbox,"<mid70,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:15:13.930000
outbox,"<mid71,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:15:13.985000
outbox,"<mid72,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:15:14.098000
outbox,"<mid73,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:15:14.151000
outbox,"<mid74,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:15:14.244000
outbox,"<mid75,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:15:14.300000
outbox,"<mid76,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:15:14.396000
outbox,"<mid77,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:15:14.450000
outbox,"<mid78,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:15:14.564000
outbox,"<mid79,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:15:14.612000
outbox,"<mid80,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:15:14.719000
outbox,"<mid81,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:15:14.778000
outbox,"<mid82,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:15:14.887000
outbox,"<mid83,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:15:14.948000
outbox,"<mid84,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:15:15.053000
outbox,"<mid85,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:15:15.100000
outbox,"<mid86,0,tell,BROADCAST,controlSpeed(speedSetting(0),default)>",2021-09-21 14:15:15.215000
outbox,"<mid87,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-09-21 14:15:15.267000
outbox,"<mid88,0,tell,BROADCAST,lkaSteer(steering((-0.5274132695198774)),bearing((-0.6227380538126681)))>",2021-09-21 14:15:15.374000
