Topic,Data,TimeStamp
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-8.47731280078) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.4489212036)",2021-09-21 14:14:33.930000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-7.15962061895) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.4489212036)",2021-09-21 14:14:34.002000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-6.15570564116) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.2678923607)",2021-09-21 14:14:34.067000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-9.35581294831) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.2678923607)",2021-09-21 14:14:34.141000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-6.93274307666) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.4429035187)",2021-09-21 14:14:34.200000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-8.44277735537) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(63.1859731674)",2021-09-21 14:14:34.267000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-7.0875245128) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(63.1859731674)",2021-09-21 14:14:34.338000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-5.01183057288) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.4777803421)",2021-09-21 14:14:34.401000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-6.85163933152) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.4777803421)",2021-09-21 14:14:34.478000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-7.60522646748) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.3393907547)",2021-09-21 14:14:34.538000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-8.52738383558) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.5186629295)",2021-09-21 14:14:34.604000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-7.44630380795) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.5186629295)",2021-09-21 14:14:34.676000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-9.99337774063) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.1470661163)",2021-09-21 14:14:34.744000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-8.88752017013) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.1470661163)",2021-09-21 14:14:34.814000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-8.87509202762) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.3315172195)",2021-09-21 14:14:34.876000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-7.410560559) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.3315172195)",2021-09-21 14:14:34.942000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-9.12155816738) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.890994072)",2021-09-21 14:14:35.011000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-8.64607910242) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.6775550842)",2021-09-21 14:14:35.074000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-6.97702749989) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.6775550842)",2021-09-21 14:14:35.151000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-7.98144541918) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.6003065109)",2021-09-21 14:14:35.213000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-7.01574337926) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.6003065109)",2021-09-21 14:14:35.285000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-8.53965023611) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(66.8011903763)",2021-09-21 14:14:35.348000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-6.68971625277) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8972473145)",2021-09-21 14:14:35.430000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-7.17605173975) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8972473145)",2021-09-21 14:14:35.488000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-7.63078538284) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.5563936234)",2021-09-21 14:14:35.569000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-8.22428379997) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.2044296265)",2021-09-21 14:14:35.627000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-7.55207589403) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.2044296265)",2021-09-21 14:14:35.699000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-8.23991799573) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.5463657379)",2021-09-21 14:14:35.765000
perceptions,"gps(47.64148237135814, -122.14036499081547) compass(-7.67985940079) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.5463657379)",2021-09-21 14:14:35.841000
