Topic,Data,TimeStamp
reasoningPerformance,68,2021-09-21 14:17:31.282000
reasoningPerformance,72,2021-09-21 14:17:31.353000
reasoningPerformance,66,2021-09-21 14:17:31.420000
reasoningPerformance,76,2021-09-21 14:17:31.496000
reasoningPerformance,63,2021-09-21 14:17:31.560000
reasoningPerformance,75,2021-09-21 14:17:31.634000
reasoningPerformance,61,2021-09-21 14:17:31.696000
reasoningPerformance,72,2021-09-21 14:17:31.768000
reasoningPerformance,65,2021-09-21 14:17:31.832000
reasoningPerformance,76,2021-09-21 14:17:31.908000
reasoningPerformance,76,2021-09-21 14:17:31.984000
reasoningPerformance,62,2021-09-21 14:17:32.047000
reasoningPerformance,72,2021-09-21 14:17:32.119000
reasoningPerformance,63,2021-09-21 14:17:32.182000
reasoningPerformance,64,2021-09-21 14:17:32.245000
reasoningPerformance,71,2021-09-21 14:17:32.317000
reasoningPerformance,64,2021-09-21 14:17:32.381000
reasoningPerformance,69,2021-09-21 14:17:32.450000
reasoningPerformance,69,2021-09-21 14:17:32.518000
reasoningPerformance,60,2021-09-21 14:17:32.579000
reasoningPerformance,66,2021-09-21 14:17:32.645000
reasoningPerformance,72,2021-09-21 14:17:32.717000
reasoningPerformance,63,2021-09-21 14:17:32.779000
reasoningPerformance,72,2021-09-21 14:17:32.852000
reasoningPerformance,64,2021-09-21 14:17:32.915000
reasoningPerformance,64,2021-09-21 14:17:32.980000
reasoningPerformance,68,2021-09-21 14:17:33.047000
reasoningPerformance,71,2021-09-21 14:17:33.119000
reasoningPerformance,58,2021-09-21 14:17:33.177000
reasoningPerformance,76,2021-09-21 14:17:33.253000
reasoningPerformance,59,2021-09-21 14:17:33.313000
reasoningPerformance,66,2021-09-21 14:17:33.379000
reasoningPerformance,68,2021-09-21 14:17:33.447000
reasoningPerformance,67,2021-09-21 14:17:33.514000
reasoningPerformance,64,2021-09-21 14:17:33.578000
reasoningPerformance,74,2021-09-21 14:17:33.651000
reasoningPerformance,60,2021-09-21 14:17:33.712000
reasoningPerformance,63,2021-09-21 14:17:33.774000
reasoningPerformance,74,2021-09-21 14:17:33.849000
