Topic,Data,TimeStamp
actions,steering(0.017701227062028903),2021-10-08 15:35:39.580000
actions,setSpeed(8),2021-10-08 15:35:39.980000
actions,steering(-0.0022663361492305176),2021-10-08 15:35:40.281000
actions,steering(-0.0015758878405658717),2021-10-08 15:35:40.794000
actions,steering(0.003543034245883936),2021-10-08 15:35:41.288000
actions,steering(0.6363096082469073),2021-10-08 15:35:41.814000
actions,steering(0.2781271104843181),2021-10-08 15:35:42.295000
actions,steering(-0.21359194936970588),2021-10-08 15:35:42.833000
actions,steering(-0.4654870467015973),2021-10-08 15:35:43.356000
actions,steering(-0.1796563195647476),2021-10-08 15:35:43.878000
actions,steering(0.08032737354822028),2021-10-08 15:35:44.354000
actions,steering(0.11798711768802268),2021-10-08 15:35:44.840000
actions,steering(-0.003186675215169843),2021-10-08 15:35:45.281000
actions,steering(-0.0391323685289484),2021-10-08 15:35:45.758000
actions,steering(-0.08822404172103707),2021-10-08 15:35:46.186000
actions,steering(0.061701519641153314),2021-10-08 15:35:46.596000
actions,steering(-0.022711447238522794),2021-10-08 15:35:47.055000
actions,steering(0.02244181879265841),2021-10-08 15:35:47.443000
actions,steering(0.04045265336919711),2021-10-08 15:35:47.835000
actions,steering(0.0020906477139238083),2021-10-08 15:35:48.158000
actions,steering(-0.08367135434887178),2021-10-08 15:35:48.579000
actions,steering(0.02350674596644121),2021-10-08 15:35:49.007000
actions,steering(-0.0017524852620392512),2021-10-08 15:35:49.439000
actions,steering(-0.04170057219563427),2021-10-08 15:35:49.847000
actions,setSpeed(0),2021-10-08 15:35:50.238000
actions,setSpeed(8),2021-10-08 15:35:50.508000
actions,steering(0.020870766235606443),2021-10-08 15:35:50.738000
actions,steering(0.3967586871927794),2021-10-08 15:35:51.136000
actions,steering(0.11833107089818784),2021-10-08 15:35:51.564000
actions,steering(0.05435723245818623),2021-10-08 15:35:51.954000
actions,steering(0.03693849488618521),2021-10-08 15:35:52.375000
actions,steering(0.0021936187817779267),2021-10-08 15:35:52.835000
actions,steering(0.04709544520109599),2021-10-08 15:35:53.228000
actions,steering(0.0197271543000526),2021-10-08 15:35:53.644000
actions,steering(-0.014579689388752553),2021-10-08 15:35:54.088000
