Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post2),0)>",2021-10-08 15:35:39.002000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-10-08 15:35:39.054000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2)],126.96806881706038),post2,0)>",2021-10-08 15:35:39.204000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:39.418000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering(0.017701227062028903),bearing(0.3540820700652034))>",2021-10-08 15:35:39.642000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-08 15:35:39.770000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:40.144000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering((-0.0022663361492305176)),bearing(0.3540980104085065))>",2021-10-08 15:35:40.361000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:40.496000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:40.652000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering((-0.0015758878405658717)),bearing(0.3540985642381429))>",2021-10-08 15:35:40.875000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:41.018000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:41.156000
outbox,"<mid14,0,tell,BROADCAST,compassSteer(steering(0.003543034245883936),bearing(0.3545475067691086))>",2021-10-08 15:35:41.369000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:41.511000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:41.651000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.6363096082469073),bearing(0.3572299375211969))>",2021-10-08 15:35:41.875000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:42.011000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:42.166000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering(0.2781271104843181),bearing(0.3602406658771429))>",2021-10-08 15:35:42.395000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:42.519000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:42.683000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.21359194936970588)),bearing(0.19918483757453487))>",2021-10-08 15:35:42.909000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:43.059000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:43.220000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.4654870467015973)),bearing((-0.14791691540585816)))>",2021-10-08 15:35:43.431000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:43.579000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:43.739000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering((-0.1796563195647476)),bearing((-0.4312206174449784)))>",2021-10-08 15:35:43.946000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:44.074000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:44.225000
outbox,"<mid32,0,tell,BROADCAST,lkaSteer(steering(0.08032737354822028),bearing((-0.481186557300191)))>",2021-10-08 15:35:44.424000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:44.551000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:44.699000
outbox,"<mid35,0,tell,BROADCAST,lkaSteer(steering(0.11798711768802268),bearing((-0.42134325859552746)))>",2021-10-08 15:35:44.902000
outbox,"<mid36,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:45.034000
outbox,"<mid37,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:45.147000
outbox,"<mid38,0,tell,BROADCAST,lkaSteer(steering((-0.003186675215169843)),bearing((-0.390584829215868)))>",2021-10-08 15:35:45.355000
outbox,"<mid39,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:45.484000
outbox,"<mid40,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:45.622000
outbox,"<mid41,0,tell,BROADCAST,lkaSteer(steering((-0.0391323685289484)),bearing((-0.42974567481610393)))>",2021-10-08 15:35:45.830000
outbox,"<mid42,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:45.957000
outbox,"<mid43,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:46.080000
outbox,"<mid44,0,tell,BROADCAST,lkaSteer(steering((-0.08822404172103707)),bearing((-0.47955860048307386)))>",2021-10-08 15:35:46.246000
outbox,"<mid45,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:46.398000
outbox,"<mid46,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:46.508000
outbox,"<mid47,0,tell,BROADCAST,lkaSteer(steering(0.061701519641153314),bearing((-0.508197919808083)))>",2021-10-08 15:35:46.643000
outbox,"<mid48,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:46.778000
outbox,"<mid49,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:46.913000
outbox,"<mid50,0,tell,BROADCAST,lkaSteer(steering((-0.022711447238522794)),bearing((-0.49113429276997067)))>",2021-10-08 15:35:47.103000
outbox,"<mid51,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:47.248000
outbox,"<mid52,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:47.376000
outbox,"<mid53,0,tell,BROADCAST,lkaSteer(steering(0.02244181879265841),bearing((-0.4933519566120026)))>",2021-10-08 15:35:47.511000
outbox,"<mid54,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:47.633000
outbox,"<mid55,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:47.742000
outbox,"<mid56,0,tell,BROADCAST,lkaSteer(steering(0.04045265336919711),bearing((-0.5072283658702759)))>",2021-10-08 15:35:47.896000
outbox,"<mid57,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:47.992000
outbox,"<mid58,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:48.101000
outbox,"<mid59,0,tell,BROADCAST,lkaSteer(steering(0.0020906477139238083),bearing((-0.522270461021435)))>",2021-10-08 15:35:48.221000
outbox,"<mid60,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:48.334000
outbox,"<mid61,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:48.458000
outbox,"<mid62,0,tell,BROADCAST,lkaSteer(steering((-0.08367135434887178)),bearing((-0.5570772531725652)))>",2021-10-08 15:35:48.653000
outbox,"<mid63,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:48.763000
outbox,"<mid64,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:48.885000
outbox,"<mid65,0,tell,BROADCAST,lkaSteer(steering(0.02350674596644121),bearing((-0.6020523277499024)))>",2021-10-08 15:35:49.071000
outbox,"<mid66,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:49.205000
outbox,"<mid67,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:49.316000
outbox,"<mid68,0,tell,BROADCAST,lkaSteer(steering((-0.0017524852620392512)),bearing((-0.5913712640141853)))>",2021-10-08 15:35:49.516000
outbox,"<mid69,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:49.623000
outbox,"<mid70,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:49.747000
outbox,"<mid71,0,tell,BROADCAST,lkaSteer(steering((-0.04170057219563427)),bearing((-0.5881922912300297)))>",2021-10-08 15:35:49.896000
outbox,"<mid72,0,tell,BROADCAST,controlSpeed(speedSetting(0),oldSpeedSetting(8))>",2021-10-08 15:35:50.065000
outbox,"<mid73,0,tell,BROADCAST,obstacleAvoid(controlSpeed(0))>",2021-10-08 15:35:50.290000
outbox,"<mid74,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-08 15:35:50.341000
outbox,"<mid75,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:50.616000
outbox,"<mid76,0,tell,BROADCAST,compassSteer(steering(0.020870766235606443),bearing((-0.5419578835908396)))>",2021-10-08 15:35:50.811000
outbox,"<mid77,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:50.926000
outbox,"<mid78,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:51.009000
outbox,"<mid79,0,tell,BROADCAST,lkaSteer(steering(0.3967586871927794),bearing((-0.40803819977878675)))>",2021-10-08 15:35:51.186000
outbox,"<mid80,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:51.308000
outbox,"<mid81,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:51.443000
outbox,"<mid82,0,tell,BROADCAST,lkaSteer(steering(0.11833107089818784),bearing((-0.31683172477056587)))>",2021-10-08 15:35:51.614000
outbox,"<mid83,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:51.741000
outbox,"<mid84,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:51.855000
outbox,"<mid85,0,tell,BROADCAST,lkaSteer(steering(0.05435723245818623),bearing((-0.284305701486403)))>",2021-10-08 15:35:52.023000
outbox,"<mid86,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:52.124000
outbox,"<mid87,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:52.256000
outbox,"<mid88,0,tell,BROADCAST,lkaSteer(steering(0.03693849488618521),bearing((-0.2697385645178656)))>",2021-10-08 15:35:52.447000
outbox,"<mid89,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:52.558000
outbox,"<mid90,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:52.698000
outbox,"<mid91,0,tell,BROADCAST,lkaSteer(steering(0.0021936187817779267),bearing((-0.2616524065597332)))>",2021-10-08 15:35:52.875000
outbox,"<mid92,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:35:52.991000
outbox,"<mid93,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:35:53.113000
