Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post2),0)>",2021-10-08 15:42:19.021000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-10-08 15:42:19.098000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2)],126.96806881706038),post2,0)>",2021-10-08 15:42:19.265000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:42:19.482000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering((-0.003956037449822153)),bearing(0.35408096484201224))>",2021-10-08 15:42:19.694000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-08 15:42:19.858000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:42:20.275000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.008676877889278846),bearing(0.35409799808019216))>",2021-10-08 15:42:20.485000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:42:20.652000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:42:20.807000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering(0.003590305867392186),bearing(0.3541002161705933))>",2021-10-08 15:42:21.017000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:42:21.129000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:42:21.296000
outbox,"<mid14,0,tell,BROADCAST,lkaSteer(steering(0.6128361486486489),bearing(0.35426527953882214))>",2021-10-08 15:42:21.487000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:42:21.653000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:42:21.779000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.3832087897149418),bearing(0.3553781095209274))>",2021-10-08 15:42:22.001000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 15:42:22.150000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 15:42:22.301000
