Topic,Data,TimeStamp
actions,steering(-0.004281676905757115),2021-10-08 14:03:56.847000
actions,setSpeed(8),2021-10-08 14:03:57.314000
actions,steering(0.005115087578011362),2021-10-08 14:03:57.602000
actions,steering(0.005609621621274129),2021-10-08 14:03:58.131000
actions,steering(0.005152869832719039),2021-10-08 14:03:58.662000
actions,steering(0.6172051751075648),2021-10-08 14:03:59.201000
actions,steering(0.20104651083678624),2021-10-08 14:03:59.725000
actions,steering(-0.26124163548387097),2021-10-08 14:04:00.289000
actions,steering(-0.24705545823820646),2021-10-08 14:04:00.838000
actions,steering(-0.3376217174202636),2021-10-08 14:04:01.354000
actions,steering(0.1272780515901249),2021-10-08 14:04:01.862000
actions,steering(0.22356519169850328),2021-10-08 14:04:02.385000
actions,steering(-0.05526395534518651),2021-10-08 14:04:02.886000
actions,steering(-0.16557042321961263),2021-10-08 14:04:03.378000
actions,steering(0.058672184389815724),2021-10-08 14:04:03.826000
actions,steering(0.11871897999277717),2021-10-08 14:04:04.253000
actions,steering(-0.0034757654190179896),2021-10-08 14:04:04.663000
actions,steering(0.027656447641251924),2021-10-08 14:04:05.065000
actions,steering(-0.01470720865917527),2021-10-08 14:04:05.479000
actions,steering(-0.15458265824768783),2021-10-08 14:04:05.897000
actions,setSpeed(0),2021-10-08 14:04:06.535000
actions,steering(0.01322169970107035),2021-10-08 14:04:06.624000
actions,setSpeed(8),2021-10-08 14:04:07.040000
actions,steering(0.027058846241379747),2021-10-08 14:04:07.321000
actions,steering(0.5142908307202662),2021-10-08 14:04:07.779000
actions,steering(0.0730203507526514),2021-10-08 14:04:08.258000
actions,steering(0.04781937380545357),2021-10-08 14:04:08.703000
actions,steering(0.036354293592728994),2021-10-08 14:04:09.086000
actions,steering(0.03003228011475993),2021-10-08 14:04:09.556000
actions,steering(-0.01111519638858301),2021-10-08 14:04:09.913000
actions,steering(0.008221327435683707),2021-10-08 14:04:10.334000
actions,steering(-0.012849076631844944),2021-10-08 14:04:10.743000
actions,steering(0.003813503563187392),2021-10-08 14:04:11.161000
actions,steering(-0.012888541578722447),2021-10-08 14:04:11.559000
actions,steering(-0.04374781803688552),2021-10-08 14:04:11.990000
actions,steering(-0.057019819886943435),2021-10-08 14:04:12.423000
actions,steering(-0.02576520175593169),2021-10-08 14:04:12.868000
actions,steering(-0.01129250352905783),2021-10-08 14:04:13.290000
actions,steering(-0.031438916217812266),2021-10-08 14:04:13.763000
actions,steering(0.04499729592708235),2021-10-08 14:04:14.198000
actions,steering(-0.02202904110025749),2021-10-08 14:04:14.655000
actions,steering(-0.06792297908253384),2021-10-08 14:04:15.075000
