Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post2),0)>",2021-10-08 14:03:56.244000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-10-08 14:03:56.340000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2)],126.96806881706038),post2,0)>",2021-10-08 14:03:56.461000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:03:56.692000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering((-0.004281676905757115)),bearing(0.3540880745637196))>",2021-10-08 14:03:56.930000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-08 14:03:57.062000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:03:57.453000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.005115087578011362),bearing(0.3541040127820452))>",2021-10-08 14:03:57.682000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:03:57.841000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:03:57.977000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering(0.005609621621274129),bearing(0.354103461389343))>",2021-10-08 14:03:58.197000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:03:58.349000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:03:58.517000
outbox,"<mid14,0,tell,BROADCAST,compassSteer(steering(0.005152869832719039),bearing(0.35441402374942754))>",2021-10-08 14:03:58.740000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:03:58.897000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:03:59.060000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.6172051751075648),bearing(0.35534791724069237))>",2021-10-08 14:03:59.290000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:03:59.423000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:03:59.585000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering(0.20104651083678624),bearing(0.3547400501226434))>",2021-10-08 14:03:59.809000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:03:59.999000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:04:00.149000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.26124163548387097)),bearing(0.1560477985426587))>",2021-10-08 14:04:00.367000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:04:00.523000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:04:00.692000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.24705545823820646)),bearing((-0.15731285563748543)))>",2021-10-08 14:04:00.901000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:04:01.056000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:04:01.216000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering((-0.3376217174202636)),bearing((-0.4372330650431877)))>",2021-10-08 14:04:01.430000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:04:01.573000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:04:01.738000
outbox,"<mid32,0,tell,BROADCAST,lkaSteer(steering(0.1272780515901249),bearing((-0.5799809615107279)))>",2021-10-08 14:04:01.952000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:04:02.094000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:04:02.263000
outbox,"<mid35,0,tell,BROADCAST,lkaSteer(steering(0.22356519169850328),bearing((-0.46160088688469614)))>",2021-10-08 14:04:02.457000
