Topic,Data,TimeStamp
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-7.5819227353) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.0078277588)",2021-10-08 14:03:47.600000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-7.23696184997) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.0078277588)",2021-10-08 14:03:47.686000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-7.18225769962) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.9899396896)",2021-10-08 14:03:47.763000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-7.29138542234) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0769968033)",2021-10-08 14:03:47.845000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-8.88697563724) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0769968033)",2021-10-08 14:03:47.908000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-9.35753176143) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.6482095718)",2021-10-08 14:03:47.979000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-9.26208658174) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.6482095718)",2021-10-08 14:03:48.058000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-8.9404494984) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7761507034)",2021-10-08 14:03:48.136000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-5.99375198526) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.1720752716)",2021-10-08 14:03:48.211000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-5.05194453163) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.1720752716)",2021-10-08 14:03:48.286000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-9.7959864373) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7633876801)",2021-10-08 14:03:48.363000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-6.11589553254) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7276744843)",2021-10-08 14:03:48.437000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-6.41018638094) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7276744843)",2021-10-08 14:03:48.512000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-9.62733638809) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8224344254)",2021-10-08 14:03:48.593000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-6.69543804244) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.1209154129)",2021-10-08 14:03:48.668000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-7.64742712644) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.7464494705)",2021-10-08 14:03:48.743000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-8.5349165152) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.7464494705)",2021-10-08 14:03:48.820000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-9.59511660902) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(75.3999528885)",2021-10-08 14:03:48.899000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-7.53186663451) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(75.3999528885)",2021-10-08 14:03:48.976000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-8.11730753635) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7336549759)",2021-10-08 14:03:49.052000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-6.97333232632) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.2272291183)",2021-10-08 14:03:49.131000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-8.72746891719) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.1162786484)",2021-10-08 14:03:49.205000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-7.56717404153) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.8916454315)",2021-10-08 14:03:49.279000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-7.66252241019) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.8916454315)",2021-10-08 14:03:49.347000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-8.60147255918) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.9832391739)",2021-10-08 14:03:49.422000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-6.16679821227) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.9832391739)",2021-10-08 14:03:49.495000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-7.43574730659) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.3658695221)",2021-10-08 14:03:49.574000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-8.98510048546) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.9069347382)",2021-10-08 14:03:49.644000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-7.68770659029) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.9069347382)",2021-10-08 14:03:49.723000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-8.08432886417) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.472782135)",2021-10-08 14:03:49.799000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-6.35519511771) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.3100547791)",2021-10-08 14:03:49.873000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-9.32994015848) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7238168716)",2021-10-08 14:03:49.953000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-10.0198788632) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7238168716)",2021-10-08 14:03:50.030000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-8.11781076757) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.9628715515)",2021-10-08 14:03:50.104000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-6.80321008908) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(63.4632749557)",2021-10-08 14:03:50.180000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-6.64053621589) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.6435174942)",2021-10-08 14:03:50.269000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-4.89125391719) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.6435174942)",2021-10-08 14:03:50.324000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-8.30248772054) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.5575609207)",2021-10-08 14:03:50.398000
perceptions,"gps(47.64148237123477, -122.14036499107587) compass(-5.91475249671) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5105361938)",2021-10-08 14:03:50.474000
