Topic,Data,TimeStamp
reasoningPerformance,60,2021-10-08 14:03:47.538000
reasoningPerformance,76,2021-10-08 14:03:47.614000
reasoningPerformance,80,2021-10-08 14:03:47.695000
reasoningPerformance,76,2021-10-08 14:03:47.771000
reasoningPerformance,89,2021-10-08 14:03:47.862000
reasoningPerformance,56,2021-10-08 14:03:47.919000
reasoningPerformance,88,2021-10-08 14:03:48.011000
reasoningPerformance,57,2021-10-08 14:03:48.076000
reasoningPerformance,70,2021-10-08 14:03:48.147000
reasoningPerformance,83,2021-10-08 14:03:48.231000
reasoningPerformance,64,2021-10-08 14:03:48.298000
reasoningPerformance,77,2021-10-08 14:03:48.376000
reasoningPerformance,76,2021-10-08 14:03:48.454000
reasoningPerformance,65,2021-10-08 14:03:48.519000
reasoningPerformance,87,2021-10-08 14:03:48.607000
reasoningPerformance,73,2021-10-08 14:03:48.682000
reasoningPerformance,84,2021-10-08 14:03:48.769000
reasoningPerformance,63,2021-10-08 14:03:48.837000
reasoningPerformance,78,2021-10-08 14:03:48.915000
reasoningPerformance,71,2021-10-08 14:03:48.989000
reasoningPerformance,78,2021-10-08 14:03:49.067000
reasoningPerformance,74,2021-10-08 14:03:49.145000
reasoningPerformance,71,2021-10-08 14:03:49.219000
reasoningPerformance,79,2021-10-08 14:03:49.304000
reasoningPerformance,59,2021-10-08 14:03:49.360000
reasoningPerformance,74,2021-10-08 14:03:49.433000
reasoningPerformance,92,2021-10-08 14:03:49.537000
reasoningPerformance,60,2021-10-08 14:03:49.589000
reasoningPerformance,61,2021-10-08 14:03:49.658000
reasoningPerformance,91,2021-10-08 14:03:49.744000
reasoningPerformance,61,2021-10-08 14:03:49.810000
reasoningPerformance,71,2021-10-08 14:03:49.881000
reasoningPerformance,87,2021-10-08 14:03:49.969000
reasoningPerformance,90,2021-10-08 14:03:50.061000
reasoningPerformance,59,2021-10-08 14:03:50.121000
reasoningPerformance,65,2021-10-08 14:03:50.185000
reasoningPerformance,104,2021-10-08 14:03:50.290000
reasoningPerformance,48,2021-10-08 14:03:50.338000
reasoningPerformance,76,2021-10-08 14:03:50.421000
reasoningPerformance,68,2021-10-08 14:03:50.495000
