Topic,Data,TimeStamp
actions,steering(-0.00511244347471391),2021-10-08 14:06:13.547000
actions,setSpeed(8),2021-10-08 14:06:14.010000
actions,steering(0.0031376892577170343),2021-10-08 14:06:14.304000
actions,steering(-0.0072300504438283794),2021-10-08 14:06:14.828000
actions,steering(0.0018205544383213645),2021-10-08 14:06:15.412000
actions,steering(0.6353724760724908),2021-10-08 14:06:15.961000
actions,steering(0.19294640310429648),2021-10-08 14:06:16.485000
actions,steering(-0.3122051069794026),2021-10-08 14:06:17.036000
actions,steering(-0.42962210581893384),2021-10-08 14:06:17.566000
actions,steering(-0.19478924906507256),2021-10-08 14:06:18.084000
actions,steering(0.10006056607379224),2021-10-08 14:06:18.587000
actions,steering(0.10566752446877667),2021-10-08 14:06:19.103000
actions,steering(-0.0716166174677545),2021-10-08 14:06:19.606000
actions,steering(0.010049577594451638),2021-10-08 14:06:20.116000
actions,steering(0.06946620443209113),2021-10-08 14:06:20.602000
actions,steering(-0.041083305045474736),2021-10-08 14:06:21.148000
actions,steering(-0.14741983756361185),2021-10-08 14:06:21.658000
actions,steering(-0.008773757850580013),2021-10-08 14:06:22.068000
actions,steering(0.10714402120899681),2021-10-08 14:06:22.453000
actions,steering(0.0437482557870599),2021-10-08 14:06:22.835000
actions,steering(-0.029385274031385196),2021-10-08 14:06:23.194000
actions,steering(-0.04758868173067131),2021-10-08 14:06:23.601000
actions,setSpeed(0),2021-10-08 14:06:23.876000
actions,setSpeed(8),2021-10-08 14:06:25.628000
actions,setSpeed(0),2021-10-08 14:06:25.919000
actions,steering(0.007980210858485146),2021-10-08 14:06:26.740000
actions,setSpeed(8),2021-10-08 14:06:27.490000
actions,setSpeed(0),2021-10-08 14:06:27.801000
actions,steering(0.01839851991622781),2021-10-08 14:06:28.286000
