Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post2),0.0949307305463114)>",2021-10-08 14:06:12.969000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-10-08 14:06:13.030000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2)],126.96806881706038),post2,0.0949307305463114)>",2021-10-08 14:06:13.179000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:13.404000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering((-0.00511244347471391)),bearing(0.35410247263149586))>",2021-10-08 14:06:13.623000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-08 14:06:13.760000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:14.154000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.0031376892577170343),bearing(0.3541008066690665))>",2021-10-08 14:06:14.385000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:06:14.538000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:14.680000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering((-0.0072300504438283794)),bearing(0.35410245988089173))>",2021-10-08 14:06:14.908000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:06:15.077000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:15.233000
outbox,"<mid14,0,tell,BROADCAST,compassSteer(steering(0.0018205544383213645),bearing(0.35470074794784523))>",2021-10-08 14:06:15.472000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:06:15.631000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:15.791000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.6353724760724908),bearing(0.3594816063827011))>",2021-10-08 14:06:16.021000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:06:16.172000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:16.330000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering(0.19294640310429648),bearing(0.3665701824282337))>",2021-10-08 14:06:16.555000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:06:16.706000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:16.883000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.3122051069794026)),bearing(0.16291717557828633))>",2021-10-08 14:06:17.116000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:06:17.262000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:17.428000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.42962210581893384)),bearing((-0.1994553218617625)))>",2021-10-08 14:06:17.640000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:06:17.789000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:17.957000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering((-0.19478924906507256)),bearing((-0.46613879006127945)))>",2021-10-08 14:06:18.160000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:06:18.301000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:18.470000
outbox,"<mid32,0,tell,BROADCAST,lkaSteer(steering(0.10006056607379224),bearing((-0.4916533712194564)))>",2021-10-08 14:06:18.680000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:06:18.803000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:18.958000
outbox,"<mid35,0,tell,BROADCAST,lkaSteer(steering(0.10566752446877667),bearing((-0.4188195950329714)))>",2021-10-08 14:06:19.166000
outbox,"<mid36,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:06:19.332000
outbox,"<mid37,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:19.472000
outbox,"<mid38,0,tell,BROADCAST,lkaSteer(steering((-0.0716166174677545)),bearing((-0.38859325635974074)))>",2021-10-08 14:06:19.685000
outbox,"<mid39,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:06:19.832000
outbox,"<mid40,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:19.978000
outbox,"<mid41,0,tell,BROADCAST,lkaSteer(steering(0.010049577594451638),bearing((-0.44503439474840434)))>",2021-10-08 14:06:20.177000
outbox,"<mid42,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:06:20.328000
outbox,"<mid43,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:20.482000
outbox,"<mid44,0,tell,BROADCAST,lkaSteer(steering(0.06946620443209113),bearing((-0.4608551292664629)))>",2021-10-08 14:06:20.664000
outbox,"<mid45,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:06:20.803000
outbox,"<mid46,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:21.031000
outbox,"<mid47,0,tell,BROADCAST,lkaSteer(steering((-0.041083305045474736)),bearing((-0.4785061689977965)))>",2021-10-08 14:06:21.217000
outbox,"<mid48,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:06:21.361000
outbox,"<mid49,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:06:21.521000
