Topic,Data,TimeStamp
perceptions,"gps(47.641482371533584, -122.14036499149904) compass(-7.66974165509) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.1665306091)",2021-10-08 14:06:05.418000
perceptions,"gps(47.641482371533584, -122.14036499149904) compass(-8.74609834158) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(73.3767518997)",2021-10-08 14:06:05.500000
perceptions,"gps(47.641482371533584, -122.14036499149904) compass(-7.23894370184) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(73.3767518997)",2021-10-08 14:06:05.573000
perceptions,"gps(47.641482371533584, -122.14036499149904) compass(-7.18425803185) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.1823472977)",2021-10-08 14:06:05.646000
perceptions,"gps(47.641482371533584, -122.14036499149904) compass(-8.72825382274) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.1823472977)",2021-10-08 14:06:05.719000
perceptions,"gps(47.641482371533584, -122.14036499149904) compass(-5.05844117661) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.2204856873)",2021-10-08 14:06:05.796000
perceptions,"gps(47.641482371533584, -122.14036499149904) compass(-7.95800647117) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7004699707)",2021-10-08 14:06:05.870000
perceptions,"gps(47.641482371533584, -122.14036499149904) compass(-9.26409991865) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.8673944473)",2021-10-08 14:06:05.953000
perceptions,"gps(47.641482371533584, -122.14036499149904) compass(-8.67596382606) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.2104363441)",2021-10-08 14:06:06.024000
perceptions,"gps(47.641482371533584, -122.14036499149904) compass(-5.99579013475) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.2104363441)",2021-10-08 14:06:06.103000
perceptions,"gps(47.641482371533584, -122.14036499149904) compass(-8.53603290181) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.8402819633)",2021-10-08 14:06:06.176000
perceptions,"gps(47.641482371533584, -122.14036499149904) compass(-9.7979915095) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.8402819633)",2021-10-08 14:06:06.249000
