Topic,Data,TimeStamp
actions,steering(0.01494049731146907),2021-10-08 14:50:23.180000
actions,setSpeed(8),2021-10-08 14:50:23.621000
actions,steering(-0.003847265400458941),2021-10-08 14:50:23.920000
actions,steering(0.013505041425872704),2021-10-08 14:50:24.415000
actions,steering(0.0020135480908674798),2021-10-08 14:50:24.911000
actions,steering(0.6077575701188228),2021-10-08 14:50:25.434000
actions,steering(0.20784969002670658),2021-10-08 14:50:25.966000
actions,steering(-0.35076760268761364),2021-10-08 14:50:26.499000
actions,steering(-0.42561205607294744),2021-10-08 14:50:27.019000
actions,steering(-0.08402186235496864),2021-10-08 14:50:27.525000
actions,steering(0.038673344470254806),2021-10-08 14:50:28.013000
actions,steering(0.10321975088454456),2021-10-08 14:50:28.459000
actions,steering(-0.022868174070666297),2021-10-08 14:50:28.941000
actions,steering(-0.09846873167238923),2021-10-08 14:50:29.374000
actions,steering(-0.027852254218151677),2021-10-08 14:50:29.773000
actions,steering(0.06781452839130435),2021-10-08 14:50:30.175000
actions,steering(0.03880481612360659),2021-10-08 14:50:30.604000
actions,steering(0.006702139164087641),2021-10-08 14:50:31.027000
actions,steering(0.011370038549504975),2021-10-08 14:50:31.443000
actions,steering(-0.08082234656871455),2021-10-08 14:50:31.823000
actions,steering(-0.03801919312941609),2021-10-08 14:50:32.255000
actions,steering(0.055352324887059906),2021-10-08 14:50:32.683000
actions,steering(0.0013513452853111407),2021-10-08 14:50:33.109000
actions,steering(-2.5687728574993454E-4),2021-10-08 14:50:33.476000
actions,setSpeed(0),2021-10-08 14:50:33.770000
