Topic,Data,TimeStamp
reasoningPerformance,92,2021-10-08 14:50:12.617000
reasoningPerformance,59,2021-10-08 14:50:12.678000
reasoningPerformance,71,2021-10-08 14:50:12.754000
reasoningPerformance,66,2021-10-08 14:50:12.819000
reasoningPerformance,63,2021-10-08 14:50:12.882000
reasoningPerformance,83,2021-10-08 14:50:12.969000
reasoningPerformance,66,2021-10-08 14:50:13.034000
reasoningPerformance,62,2021-10-08 14:50:13.096000
reasoningPerformance,87,2021-10-08 14:50:13.184000
reasoningPerformance,76,2021-10-08 14:50:13.261000
reasoningPerformance,63,2021-10-08 14:50:13.325000
reasoningPerformance,74,2021-10-08 14:50:13.400000
reasoningPerformance,65,2021-10-08 14:50:13.476000
reasoningPerformance,67,2021-10-08 14:50:13.547000
reasoningPerformance,65,2021-10-08 14:50:13.612000
reasoningPerformance,66,2021-10-08 14:50:13.691000
reasoningPerformance,70,2021-10-08 14:50:13.765000
reasoningPerformance,52,2021-10-08 14:50:13.815000
reasoningPerformance,77,2021-10-08 14:50:13.912000
reasoningPerformance,64,2021-10-08 14:50:13.976000
reasoningPerformance,65,2021-10-08 14:50:14.041000
reasoningPerformance,61,2021-10-08 14:50:14.102000
reasoningPerformance,77,2021-10-08 14:50:14.182000
reasoningPerformance,72,2021-10-08 14:50:14.253000
reasoningPerformance,97,2021-10-08 14:50:14.357000
reasoningPerformance,44,2021-10-08 14:50:14.403000
reasoningPerformance,78,2021-10-08 14:50:14.483000
reasoningPerformance,74,2021-10-08 14:50:14.558000
reasoningPerformance,64,2021-10-08 14:50:14.620000
reasoningPerformance,74,2021-10-08 14:50:14.698000
reasoningPerformance,62,2021-10-08 14:50:14.762000
reasoningPerformance,76,2021-10-08 14:50:14.837000
reasoningPerformance,68,2021-10-08 14:50:14.906000
reasoningPerformance,67,2021-10-08 14:50:14.973000
reasoningPerformance,65,2021-10-08 14:50:15.044000
reasoningPerformance,74,2021-10-08 14:50:15.114000
reasoningPerformance,72,2021-10-08 14:50:15.203000
reasoningPerformance,55,2021-10-08 14:50:15.260000
reasoningPerformance,69,2021-10-08 14:50:15.333000
reasoningPerformance,68,2021-10-08 14:50:15.404000
reasoningPerformance,75,2021-10-08 14:50:15.474000
reasoningPerformance,63,2021-10-08 14:50:15.538000
reasoningPerformance,67,2021-10-08 14:50:15.606000
reasoningPerformance,71,2021-10-08 14:50:15.678000
reasoningPerformance,76,2021-10-08 14:50:15.754000
reasoningPerformance,93,2021-10-08 14:50:15.852000
reasoningPerformance,46,2021-10-08 14:50:15.901000
reasoningPerformance,63,2021-10-08 14:50:15.966000
reasoningPerformance,69,2021-10-08 14:50:16.040000
reasoningPerformance,75,2021-10-08 14:50:16.118000
reasoningPerformance,63,2021-10-08 14:50:16.183000
reasoningPerformance,61,2021-10-08 14:50:16.245000
reasoningPerformance,74,2021-10-08 14:50:16.318000
reasoningPerformance,82,2021-10-08 14:50:16.410000
reasoningPerformance,63,2021-10-08 14:50:16.473000
reasoningPerformance,68,2021-10-08 14:50:16.551000
reasoningPerformance,62,2021-10-08 14:50:16.609000
reasoningPerformance,73,2021-10-08 14:50:16.684000
reasoningPerformance,76,2021-10-08 14:50:16.762000
reasoningPerformance,64,2021-10-08 14:50:16.833000
reasoningPerformance,61,2021-10-08 14:50:16.889000
reasoningPerformance,78,2021-10-08 14:50:16.973000
reasoningPerformance,84,2021-10-08 14:50:17.051000
reasoningPerformance,54,2021-10-08 14:50:17.114000
reasoningPerformance,67,2021-10-08 14:50:17.180000
reasoningPerformance,81,2021-10-08 14:50:17.263000
reasoningPerformance,61,2021-10-08 14:50:17.326000
reasoningPerformance,65,2021-10-08 14:50:17.391000
reasoningPerformance,84,2021-10-08 14:50:17.476000
reasoningPerformance,66,2021-10-08 14:50:17.542000
reasoningPerformance,76,2021-10-08 14:50:17.619000
reasoningPerformance,73,2021-10-08 14:50:17.692000
reasoningPerformance,72,2021-10-08 14:50:17.785000
reasoningPerformance,69,2021-10-08 14:50:17.837000
