Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post2),0)>",2021-10-08 14:54:26.905000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-10-08 14:54:26.967000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2)],126.96806881706038),post2,0)>",2021-10-08 14:54:27.133000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:54:27.352000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering(0.00305141600451632),bearing(0.35408532080293753))>",2021-10-08 14:54:27.568000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-08 14:54:27.724000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:54:28.106000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering((-0.0032928130185676087)),bearing(0.35410070380783054))>",2021-10-08 14:54:28.330000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:54:28.485000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:54:28.623000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering((-0.004176087176028477)),bearing(0.3540996053848744))>",2021-10-08 14:54:28.837000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:54:28.948000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:54:29.115000
outbox,"<mid14,0,tell,BROADCAST,compassSteer(steering(0.009130377108316573),bearing(0.35456766897698344))>",2021-10-08 14:54:29.322000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:54:29.492000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:54:29.631000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.6313857626022408),bearing(0.35773149028386797))>",2021-10-08 14:54:29.844000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:54:30.001000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:54:30.166000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering(0.2056552435343004),bearing(0.3592560226994692))>",2021-10-08 14:54:30.409000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-08 14:54:30.581000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-08 14:54:30.728000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.33477604642211467)),bearing(0.14426667810408844))>",2021-10-08 14:54:30.947000
