Topic,Data,TimeStamp
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.58477306902) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0149068832)",2021-10-08 14:54:13.857000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-8.30394185839) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.1385092735)",2021-10-08 14:54:13.930000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-6.86940528083) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.1385092735)",2021-10-08 14:54:13.997000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-5.72551985489) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.9322404861)",2021-10-08 14:54:14.074000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-9.30688267225) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.9322404861)",2021-10-08 14:54:14.150000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.87702720405) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8049097061)",2021-10-08 14:54:14.221000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-6.92867428288) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8049097061)",2021-10-08 14:54:14.299000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-8.6031588416) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(67.6848497391)",2021-10-08 14:54:14.365000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-6.07817434841) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.4999084473)",2021-10-08 14:54:14.456000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-5.89747383309) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.8624420166)",2021-10-08 14:54:14.526000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-6.96654016602) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.8624420166)",2021-10-08 14:54:14.595000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-8.12437634304) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.2094602585)",2021-10-08 14:54:14.667000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-6.95280189075) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.795838356)",2021-10-08 14:54:14.749000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.76976988946) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.795838356)",2021-10-08 14:54:14.814000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.89459314304) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(69.939248085)",2021-10-08 14:54:14.889000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.65598216242) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(69.939248085)",2021-10-08 14:54:14.960000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.60390098662) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.8511362076)",2021-10-08 14:54:15.036000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.32334182165) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.4401292801)",2021-10-08 14:54:15.111000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.63080854557) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.4401292801)",2021-10-08 14:54:15.186000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.94203102087) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.7184643745)",2021-10-08 14:54:15.257000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-8.29183593065) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.7670345306)",2021-10-08 14:54:15.326000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-8.51776822586) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.7670345306)",2021-10-08 14:54:15.398000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.2456698245) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.2397689819)",2021-10-08 14:54:15.475000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.07746078985) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.97539711)",2021-10-08 14:54:15.550000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-5.7691440039) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.97539711)",2021-10-08 14:54:15.628000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-8.19811637239) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.5060310364)",2021-10-08 14:54:15.691000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-8.64753222379) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.5060310364)",2021-10-08 14:54:15.765000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-8.04402304325) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.985663414)",2021-10-08 14:54:15.844000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-9.07223679604) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.8247299194)",2021-10-08 14:54:15.909000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-6.45798374327) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.8247299194)",2021-10-08 14:54:15.987000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-6.16390196894) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.2185115814)",2021-10-08 14:54:16.058000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.74526542397) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.8128576279)",2021-10-08 14:54:16.139000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-9.62205260866) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.8128576279)",2021-10-08 14:54:16.223000
perceptions,"gps(47.64148237122517, -122.1403649909945) compass(-7.84023467248) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.9781217575)",2021-10-08 14:54:16.289000
