Topic,Data,TimeStamp
reasoningPerformance,102,2021-10-08 14:59:16.836000
reasoningPerformance,50,2021-10-08 14:59:16.916000
reasoningPerformance,68,2021-10-08 14:59:16.969000
reasoningPerformance,97,2021-10-08 14:59:17.076000
reasoningPerformance,51,2021-10-08 14:59:17.123000
reasoningPerformance,78,2021-10-08 14:59:17.202000
reasoningPerformance,75,2021-10-08 14:59:17.279000
reasoningPerformance,83,2021-10-08 14:59:17.365000
reasoningPerformance,54,2021-10-08 14:59:17.428000
reasoningPerformance,71,2021-10-08 14:59:17.501000
reasoningPerformance,90,2021-10-08 14:59:17.586000
reasoningPerformance,63,2021-10-08 14:59:17.654000
reasoningPerformance,70,2021-10-08 14:59:17.720000
reasoningPerformance,88,2021-10-08 14:59:17.810000
reasoningPerformance,59,2021-10-08 14:59:17.872000
reasoningPerformance,75,2021-10-08 14:59:17.951000
reasoningPerformance,95,2021-10-08 14:59:18.051000
reasoningPerformance,40,2021-10-08 14:59:18.110000
reasoningPerformance,60,2021-10-08 14:59:18.178000
reasoningPerformance,90,2021-10-08 14:59:18.264000
reasoningPerformance,45,2021-10-08 14:59:18.324000
reasoningPerformance,71,2021-10-08 14:59:18.400000
reasoningPerformance,73,2021-10-08 14:59:18.488000
reasoningPerformance,48,2021-10-08 14:59:18.540000
reasoningPerformance,75,2021-10-08 14:59:18.623000
reasoningPerformance,47,2021-10-08 14:59:18.685000
reasoningPerformance,63,2021-10-08 14:59:18.764000
reasoningPerformance,71,2021-10-08 14:59:18.828000
reasoningPerformance,57,2021-10-08 14:59:18.885000
reasoningPerformance,75,2021-10-08 14:59:18.962000
reasoningPerformance,76,2021-10-08 14:59:19.039000
reasoningPerformance,81,2021-10-08 14:59:19.126000
reasoningPerformance,78,2021-10-08 14:59:19.209000
reasoningPerformance,62,2021-10-08 14:59:19.281000
reasoningPerformance,64,2021-10-08 14:59:19.345000
reasoningPerformance,80,2021-10-08 14:59:19.424000
reasoningPerformance,73,2021-10-08 14:59:19.500000
reasoningPerformance,74,2021-10-08 14:59:19.574000
reasoningPerformance,106,2021-10-08 14:59:19.683000
reasoningPerformance,56,2021-10-08 14:59:19.766000
reasoningPerformance,73,2021-10-08 14:59:19.825000
reasoningPerformance,69,2021-10-08 14:59:19.895000
reasoningPerformance,89,2021-10-08 14:59:19.992000
reasoningPerformance,56,2021-10-08 14:59:20.049000
reasoningPerformance,64,2021-10-08 14:59:20.122000
reasoningPerformance,86,2021-10-08 14:59:20.212000
reasoningPerformance,52,2021-10-08 14:59:20.263000
reasoningPerformance,73,2021-10-08 14:59:20.341000
reasoningPerformance,81,2021-10-08 14:59:20.428000
reasoningPerformance,69,2021-10-08 14:59:20.501000
reasoningPerformance,76,2021-10-08 14:59:20.584000
reasoningPerformance,70,2021-10-08 14:59:20.654000
reasoningPerformance,70,2021-10-08 14:59:20.732000
reasoningPerformance,68,2021-10-08 14:59:20.800000
reasoningPerformance,69,2021-10-08 14:59:20.870000
reasoningPerformance,90,2021-10-08 14:59:20.977000
reasoningPerformance,56,2021-10-08 14:59:21.036000
reasoningPerformance,75,2021-10-08 14:59:21.107000
reasoningPerformance,74,2021-10-08 14:59:21.180000
reasoningPerformance,63,2021-10-08 14:59:21.244000
reasoningPerformance,78,2021-10-08 14:59:21.327000
reasoningPerformance,67,2021-10-08 14:59:21.395000
reasoningPerformance,65,2021-10-08 14:59:21.465000
reasoningPerformance,87,2021-10-08 14:59:21.547000
reasoningPerformance,64,2021-10-08 14:59:21.611000
reasoningPerformance,69,2021-10-08 14:59:21.683000
reasoningPerformance,76,2021-10-08 14:59:21.759000
reasoningPerformance,64,2021-10-08 14:59:21.823000
reasoningPerformance,80,2021-10-08 14:59:21.910000
reasoningPerformance,60,2021-10-08 14:59:21.965000
reasoningPerformance,74,2021-10-08 14:59:22.039000
reasoningPerformance,75,2021-10-08 14:59:22.116000
reasoningPerformance,59,2021-10-08 14:59:22.175000
reasoningPerformance,72,2021-10-08 14:59:22.249000
reasoningPerformance,91,2021-10-08 14:59:22.341000
reasoningPerformance,51,2021-10-08 14:59:22.392000
reasoningPerformance,72,2021-10-08 14:59:22.466000
reasoningPerformance,66,2021-10-08 14:59:22.548000
reasoningPerformance,84,2021-10-08 14:59:22.619000
reasoningPerformance,66,2021-10-08 14:59:22.684000
reasoningPerformance,76,2021-10-08 14:59:22.766000
reasoningPerformance,61,2021-10-08 14:59:22.828000
reasoningPerformance,79,2021-10-08 14:59:22.908000
reasoningPerformance,89,2021-10-08 14:59:23
reasoningPerformance,44,2021-10-08 14:59:23.043000
reasoningPerformance,65,2021-10-08 14:59:23.111000
reasoningPerformance,68,2021-10-08 14:59:23.182000
reasoningPerformance,68,2021-10-08 14:59:23.250000
reasoningPerformance,62,2021-10-08 14:59:23.317000
reasoningPerformance,95,2021-10-08 14:59:23.424000
reasoningPerformance,45,2021-10-08 14:59:23.461000
reasoningPerformance,77,2021-10-08 14:59:23.540000
reasoningPerformance,86,2021-10-08 14:59:23.628000
reasoningPerformance,52,2021-10-08 14:59:23.686000
reasoningPerformance,69,2021-10-08 14:59:23.757000
reasoningPerformance,60,2021-10-08 14:59:23.812000
reasoningPerformance,77,2021-10-08 14:59:23.897000
reasoningPerformance,78,2021-10-08 14:59:23.977000
reasoningPerformance,60,2021-10-08 14:59:24.036000
reasoningPerformance,80,2021-10-08 14:59:24.116000
reasoningPerformance,65,2021-10-08 14:59:24.190000
reasoningPerformance,66,2021-10-08 14:59:24.256000
reasoningPerformance,84,2021-10-08 14:59:24.342000
reasoningPerformance,60,2021-10-08 14:59:24.403000
reasoningPerformance,66,2021-10-08 14:59:24.469000
reasoningPerformance,74,2021-10-08 14:59:24.543000
reasoningPerformance,74,2021-10-08 14:59:24.617000
reasoningPerformance,71,2021-10-08 14:59:24.697000
reasoningPerformance,67,2021-10-08 14:59:24.756000
reasoningPerformance,94,2021-10-08 14:59:24.850000
reasoningPerformance,63,2021-10-08 14:59:24.923000
reasoningPerformance,54,2021-10-08 14:59:24.973000
reasoningPerformance,79,2021-10-08 14:59:25.054000
reasoningPerformance,62,2021-10-08 14:59:25.140000
reasoningPerformance,52,2021-10-08 14:59:25.196000
reasoningPerformance,73,2021-10-08 14:59:25.261000
reasoningPerformance,66,2021-10-08 14:59:25.329000
reasoningPerformance,68,2021-10-08 14:59:25.399000
reasoningPerformance,75,2021-10-08 14:59:25.474000
reasoningPerformance,108,2021-10-08 14:59:25.583000
reasoningPerformance,35,2021-10-08 14:59:25.623000
reasoningPerformance,63,2021-10-08 14:59:25.687000
reasoningPerformance,90,2021-10-08 14:59:25.779000
reasoningPerformance,51,2021-10-08 14:59:25.833000
reasoningPerformance,81,2021-10-08 14:59:25.920000
reasoningPerformance,73,2021-10-08 14:59:25.994000
reasoningPerformance,62,2021-10-08 14:59:26.056000
reasoningPerformance,62,2021-10-08 14:59:26.118000
reasoningPerformance,66,2021-10-08 14:59:26.185000
reasoningPerformance,86,2021-10-08 14:59:26.271000
reasoningPerformance,72,2021-10-08 14:59:26.345000
