Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post3),0)>",2021-09-21 14:29:57.806000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-09-21 14:29:57.869000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2),op(drive,post5),op(drive,post3)],234.1973965273919),post3,0)>",2021-09-21 14:29:58.015000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:29:58.223000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering((-0.00307674395957247)),bearing(0.3540793078069555))>",2021-09-21 14:29:58.429000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-09-21 14:29:58.569000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:29:58.905000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.006718956792645564),bearing(0.35409469165620067))>",2021-09-21 14:29:59.118000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:29:59.254000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:29:59.393000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering(0.015168415330311784),bearing(0.3540974505161216))>",2021-09-21 14:29:59.598000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:29:59.727000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:29:59.861000
outbox,"<mid14,0,tell,BROADCAST,compassSteer(steering(0.0019820128025885963),bearing(0.3542327181059477))>",2021-09-21 14:30:00.079000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:30:00.220000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:30:00.361000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.601910710484977),bearing(0.3533352195059365))>",2021-09-21 14:30:00.554000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:30:00.688000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:30:00.828000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering(0.2388063108194298),bearing(0.35359046440078146))>",2021-09-21 14:30:01.032000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:30:01.170000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:30:01.319000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.09792933601656402)),bearing(0.19558572699560273))>",2021-09-21 14:30:01.532000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:30:01.670000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:30:01.811000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.3466217660719161)),bearing((-0.0752454903247326)))>",2021-09-21 14:30:02.017000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:30:02.150000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:30:02.292000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering((-0.2682947174344439)),bearing((-0.3491195805704592)))>",2021-09-21 14:30:02.492000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:30:02.623000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:30:02.766000
outbox,"<mid32,0,tell,BROADCAST,lkaSteer(steering((-0.0834466894489296)),bearing((-0.5178774302393663)))>",2021-09-21 14:30:02.964000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:30:03.094000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:30:03.223000
outbox,"<mid35,0,tell,BROADCAST,lkaSteer(steering(0.03426991556788084),bearing((-0.5126151591981056)))>",2021-09-21 14:30:03.412000
outbox,"<mid36,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:30:03.537000
outbox,"<mid37,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:30:03.665000
outbox,"<mid38,0,tell,BROADCAST,lkaSteer(steering(0.06994710663787038),bearing((-0.466666955268181)))>",2021-09-21 14:30:03.842000
outbox,"<mid39,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:30:03.973000
outbox,"<mid40,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:30:04.098000
outbox,"<mid41,0,tell,BROADCAST,lkaSteer(steering(0.0076251250897748386),bearing((-0.4330515491935216)))>",2021-09-21 14:30:04.285000
outbox,"<mid42,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:30:04.407000
outbox,"<mid43,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:30:04.513000
outbox,"<mid44,0,tell,BROADCAST,lkaSteer(steering((-0.05486990289571566)),bearing((-0.4434597121825732)))>",2021-09-21 14:30:04.695000
outbox,"<mid45,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:30:04.819000
outbox,"<mid46,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:30:04.921000
outbox,"<mid47,0,tell,BROADCAST,lkaSteer(steering(0.023676131156168574),bearing((-0.4723251434086251)))>",2021-09-21 14:30:05.060000
outbox,"<mid48,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:30:05.168000
outbox,"<mid49,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:30:05.294000
outbox,"<mid50,0,tell,BROADCAST,lkaSteer(steering((-0.02311239947137335)),bearing((-0.4779114008116494)))>",2021-09-21 14:30:05.474000
outbox,"<mid51,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:30:05.591000
outbox,"<mid52,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:30:05.680000
outbox,"<mid53,0,tell,BROADCAST,lkaSteer(steering(0.02424670562492397),bearing((-0.48050592371043876)))>",2021-09-21 14:30:05.843000
outbox,"<mid54,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-09-21 14:30:05.959000
outbox,"<mid55,0,tell,BROADCAST,driveToward(main,post2)>",2021-09-21 14:30:06.079000
