Topic,Data,TimeStamp
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-8.38445442431) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.5556030273)",2021-09-21 14:29:48.266000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-7.5323082462) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.5556030273)",2021-09-21 14:29:48.338000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-6.15565977877) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.844171524)",2021-09-21 14:29:48.409000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-7.14759576661) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.844171524)",2021-09-21 14:29:48.475000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-6.97548191176) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.4040241241)",2021-09-21 14:29:48.539000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-8.62803818906) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5726032257)",2021-09-21 14:29:48.609000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-7.74606764455) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5726032257)",2021-09-21 14:29:48.672000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-5.01178621058) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.6540584564)",2021-09-21 14:29:48.747000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-7.52112908879) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.6540584564)",2021-09-21 14:29:48.806000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-5.0180446165) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7918233871)",2021-09-21 14:29:48.870000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-8.20634058947) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.861702919)",2021-09-21 14:29:48.944000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-9.7569043384) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.861702919)",2021-09-21 14:29:49.005000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-8.04876299686) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(72.7083883286)",2021-09-21 14:29:49.071000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-9.99333019666) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(72.7083883286)",2021-09-21 14:29:49.143000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-6.3462181983) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.9926452637)",2021-09-21 14:29:49.206000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-7.41051294052) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.4014644623)",2021-09-21 14:29:49.275000
perceptions,"gps(47.64148237135129, -122.14036499081547) compass(-9.121510598) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.4014644623)",2021-09-21 14:29:49.343000
