Topic,Data,TimeStamp
reasoningPerformance,68,2021-09-21 14:29:48.271000
reasoningPerformance,74,2021-09-21 14:29:48.347000
reasoningPerformance,67,2021-09-21 14:29:48.413000
reasoningPerformance,64,2021-09-21 14:29:48.477000
reasoningPerformance,68,2021-09-21 14:29:48.546000
reasoningPerformance,67,2021-09-21 14:29:48.612000
reasoningPerformance,62,2021-09-21 14:29:48.675000
reasoningPerformance,75,2021-09-21 14:29:48.749000
reasoningPerformance,60,2021-09-21 14:29:48.809000
reasoningPerformance,64,2021-09-21 14:29:48.874000
reasoningPerformance,77,2021-09-21 14:29:48.950000
reasoningPerformance,57,2021-09-21 14:29:49.008000
reasoningPerformance,66,2021-09-21 14:29:49.074000
reasoningPerformance,72,2021-09-21 14:29:49.146000
reasoningPerformance,65,2021-09-21 14:29:49.211000
reasoningPerformance,72,2021-09-21 14:29:49.282000
reasoningPerformance,63,2021-09-21 14:29:49.346000
reasoningPerformance,66,2021-09-21 14:29:49.412000
reasoningPerformance,70,2021-09-21 14:29:49.481000
reasoningPerformance,70,2021-09-21 14:29:49.551000
reasoningPerformance,70,2021-09-21 14:29:49.621000
reasoningPerformance,59,2021-09-21 14:29:49.681000
reasoningPerformance,65,2021-09-21 14:29:49.746000
reasoningPerformance,74,2021-09-21 14:29:49.819000
reasoningPerformance,64,2021-09-21 14:29:49.884000
reasoningPerformance,58,2021-09-21 14:29:49.943000
reasoningPerformance,73,2021-09-21 14:29:50.017000
reasoningPerformance,62,2021-09-21 14:29:50.079000
reasoningPerformance,63,2021-09-21 14:29:50.143000
reasoningPerformance,72,2021-09-21 14:29:50.214000
reasoningPerformance,64,2021-09-21 14:29:50.279000
reasoningPerformance,73,2021-09-21 14:29:50.351000
reasoningPerformance,65,2021-09-21 14:29:50.417000
reasoningPerformance,60,2021-09-21 14:29:50.477000
reasoningPerformance,71,2021-09-21 14:29:50.548000
reasoningPerformance,66,2021-09-21 14:29:50.614000
reasoningPerformance,63,2021-09-21 14:29:50.677000
reasoningPerformance,73,2021-09-21 14:29:50.750000
reasoningPerformance,61,2021-09-21 14:29:50.811000
reasoningPerformance,62,2021-09-21 14:29:50.873000
reasoningPerformance,74,2021-09-21 14:29:50.947000
reasoningPerformance,63,2021-09-21 14:29:51.010000
reasoningPerformance,67,2021-09-21 14:29:51.078000
reasoningPerformance,69,2021-09-21 14:29:51.146000
reasoningPerformance,64,2021-09-21 14:29:51.210000
reasoningPerformance,72,2021-09-21 14:29:51.283000
reasoningPerformance,61,2021-09-21 14:29:51.344000
reasoningPerformance,71,2021-09-21 14:29:51.414000
reasoningPerformance,67,2021-09-21 14:29:51.482000
reasoningPerformance,61,2021-09-21 14:29:51.542000
reasoningPerformance,75,2021-09-21 14:29:51.618000
reasoningPerformance,62,2021-09-21 14:29:51.680000
reasoningPerformance,64,2021-09-21 14:29:51.744000
reasoningPerformance,74,2021-09-21 14:29:51.818000
reasoningPerformance,63,2021-09-21 14:29:51.881000
reasoningPerformance,69,2021-09-21 14:29:51.951000
reasoningPerformance,64,2021-09-21 14:29:52.015000
reasoningPerformance,65,2021-09-21 14:29:52.080000
reasoningPerformance,68,2021-09-21 14:29:52.148000
reasoningPerformance,65,2021-09-21 14:29:52.213000
reasoningPerformance,65,2021-09-21 14:29:52.277000
reasoningPerformance,75,2021-09-21 14:29:52.353000
reasoningPerformance,59,2021-09-21 14:29:52.412000
reasoningPerformance,63,2021-09-21 14:29:52.475000
reasoningPerformance,76,2021-09-21 14:29:52.551000
reasoningPerformance,58,2021-09-21 14:29:52.610000
reasoningPerformance,79,2021-09-21 14:29:52.688000
reasoningPerformance,59,2021-09-21 14:29:52.748000
reasoningPerformance,63,2021-09-21 14:29:52.810000
reasoningPerformance,75,2021-09-21 14:29:52.886000
reasoningPerformance,62,2021-09-21 14:29:52.948000
reasoningPerformance,75,2021-09-21 14:29:53.023000
reasoningPerformance,61,2021-09-21 14:29:53.084000
reasoningPerformance,72,2021-09-21 14:29:53.156000
reasoningPerformance,65,2021-09-21 14:29:53.221000
reasoningPerformance,65,2021-09-21 14:29:53.286000
reasoningPerformance,71,2021-09-21 14:29:53.357000
reasoningPerformance,65,2021-09-21 14:29:53.422000
reasoningPerformance,66,2021-09-21 14:29:53.488000
reasoningPerformance,68,2021-09-21 14:29:53.556000
reasoningPerformance,63,2021-09-21 14:29:53.620000
reasoningPerformance,61,2021-09-21 14:29:53.681000
reasoningPerformance,72,2021-09-21 14:29:53.753000
reasoningPerformance,63,2021-09-21 14:29:53.817000
reasoningPerformance,62,2021-09-21 14:29:53.879000
