Topic,Data,TimeStamp
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.88748179894) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.9484195709)",2021-10-08 16:13:56.913000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-6.3026500549) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.8954696655)",2021-10-08 16:13:56.987000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.87778156603) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.8954696655)",2021-10-08 16:13:57.063000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.29485680844) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.5633945465)",2021-10-08 16:13:57.129000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-8.73018533098) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.0103363991)",2021-10-08 16:13:57.203000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.76118913775) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.0103363991)",2021-10-08 16:13:57.277000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-8.05685134684) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.5676832199)",2021-10-08 16:13:57.342000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.02621979207) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(55.5676832199)",2021-10-08 16:13:57.430000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-8.30591280331) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.4707946777)",2021-10-08 16:13:57.506000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.35174601203) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.8554553986)",2021-10-08 16:13:57.590000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-8.59794555393) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.8554553986)",2021-10-08 16:13:57.649000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-9.30881165193) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8738212585)",2021-10-08 16:13:57.730000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.87901315652) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.7584171295)",2021-10-08 16:13:57.800000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-6.9306148217) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.9208498001)",2021-10-08 16:13:57.870000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-6.33806701657) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.9208498001)",2021-10-08 16:13:57.951000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.02622233475) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.0798606873)",2021-10-08 16:13:58.025000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-6.70625189521) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.5794725418)",2021-10-08 16:13:58.097000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-6.96847533481) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.5794725418)",2021-10-08 16:13:58.163000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.22457731115) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.667216301)",2021-10-08 16:13:58.238000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-6.59759035546) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.667216301)",2021-10-08 16:13:58.320000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-6.28166242739) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7301588058)",2021-10-08 16:13:58.389000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.8966289886) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.3837528229)",2021-10-08 16:13:58.468000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-6.24753631118) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.3837528229)",2021-10-08 16:13:58.532000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.93413805299) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.9866008759)",2021-10-08 16:13:58.619000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-8.45586894449) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.9866008759)",2021-10-08 16:13:58.686000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.63279418361) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.1249094009)",2021-10-08 16:13:58.752000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-5.65471156946) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.9567952156)",2021-10-08 16:13:58.822000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.09415611826) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.9567952156)",2021-10-08 16:13:58.894000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-6.88361795788) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.2822847366)",2021-10-08 16:13:58.961000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-8.09281759182) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.2822847366)",2021-10-08 16:13:59.031000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.91199084072) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.3364658356)",2021-10-08 16:13:59.114000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.33199983076) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.934533596)",2021-10-08 16:13:59.194000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-8.18307826483) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.2757825851)",2021-10-08 16:13:59.267000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-8.64952823865) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.2757825851)",2021-10-08 16:13:59.343000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-8.04597171096) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.311384201)",2021-10-08 16:13:59.418000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-9.07424740673) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.1788921356)",2021-10-08 16:13:59.496000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-6.16000275459) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.1788921356)",2021-10-08 16:13:59.567000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-6.16584745384) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.227481842)",2021-10-08 16:13:59.642000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-8.13325879938) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8785858154)",2021-10-08 16:13:59.710000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-9.30194058017) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.8788747787)",2021-10-08 16:13:59.795000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.83356024306) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.8788747787)",2021-10-08 16:13:59.877000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.91295033212) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.689160347)",2021-10-08 16:13:59.957000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.46556516105) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.6773614883)",2021-10-08 16:14:00.040000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.99591927996) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7870435715)",2021-10-08 16:14:00.122000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-10.0360316005) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.6258001328)",2021-10-08 16:14:00.195000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.51618758814) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.6258001328)",2021-10-08 16:14:00.270000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-8.12730156093) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.4018011093)",2021-10-08 16:14:00.348000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-7.79669316728) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.6569862366)",2021-10-08 16:14:00.428000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-8.48206553791) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.6569862366)",2021-10-08 16:14:00.502000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-6.17224335788) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.5243625641)",2021-10-08 16:14:00.568000
perceptions,"gps(47.64148237134443, -122.14036499083176) compass(-8.841806295) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.5243625641)",2021-10-08 16:14:00.641000
