Topic,Data,TimeStamp
reasoningPerformance,66,2021-10-08 16:13:56.944000
reasoningPerformance,73,2021-10-08 16:13:57.020000
reasoningPerformance,76,2021-10-08 16:13:57.102000
reasoningPerformance,45,2021-10-08 16:13:57.164000
reasoningPerformance,69,2021-10-08 16:13:57.226000
reasoningPerformance,83,2021-10-08 16:13:57.330000
reasoningPerformance,38,2021-10-08 16:13:57.369000
reasoningPerformance,99,2021-10-08 16:13:57.471000
reasoningPerformance,50,2021-10-08 16:13:57.521000
reasoningPerformance,108,2021-10-08 16:13:57.640000
reasoningPerformance,58,2021-10-08 16:13:57.700000
reasoningPerformance,51,2021-10-08 16:13:57.751000
reasoningPerformance,70,2021-10-08 16:13:57.825000
reasoningPerformance,63,2021-10-08 16:13:57.888000
reasoningPerformance,105,2021-10-08 16:13:57.997000
reasoningPerformance,51,2021-10-08 16:13:58.057000
reasoningPerformance,50,2021-10-08 16:13:58.104000
reasoningPerformance,77,2021-10-08 16:13:58.202000
reasoningPerformance,46,2021-10-08 16:13:58.271000
reasoningPerformance,59,2021-10-08 16:13:58.332000
reasoningPerformance,95,2021-10-08 16:13:58.433000
reasoningPerformance,79,2021-10-08 16:13:58.527000
reasoningPerformance,31,2021-10-08 16:13:58.557000
reasoningPerformance,96,2021-10-08 16:13:58.654000
reasoningPerformance,79,2021-10-08 16:13:58.744000
reasoningPerformance,61,2021-10-08 16:13:58.819000
reasoningPerformance,29,2021-10-08 16:13:58.844000
reasoningPerformance,94,2021-10-08 16:13:58.941000
reasoningPerformance,45,2021-10-08 16:13:59.007000
reasoningPerformance,64,2021-10-08 16:13:59.069000
reasoningPerformance,61,2021-10-08 16:13:59.128000
reasoningPerformance,80,2021-10-08 16:13:59.208000
reasoningPerformance,96,2021-10-08 16:13:59.314000
reasoningPerformance,49,2021-10-08 16:13:59.374000
reasoningPerformance,95,2021-10-08 16:13:59.475000
reasoningPerformance,46,2021-10-08 16:13:59.546000
reasoningPerformance,50,2021-10-08 16:13:59.603000
reasoningPerformance,49,2021-10-08 16:13:59.657000
reasoningPerformance,76,2021-10-08 16:13:59.727000
reasoningPerformance,76,2021-10-08 16:13:59.807000
reasoningPerformance,83,2021-10-08 16:13:59.893000
reasoningPerformance,75,2021-10-08 16:13:59.969000
reasoningPerformance,79,2021-10-08 16:14:00.049000
reasoningPerformance,91,2021-10-08 16:14:00.146000
reasoningPerformance,61,2021-10-08 16:14:00.206000
reasoningPerformance,75,2021-10-08 16:14:00.287000
reasoningPerformance,75,2021-10-08 16:14:00.363000
reasoningPerformance,77,2021-10-08 16:14:00.441000
reasoningPerformance,92,2021-10-08 16:14:00.546000
reasoningPerformance,40,2021-10-08 16:14:00.593000
reasoningPerformance,72,2021-10-08 16:14:00.674000
reasoningPerformance,65,2021-10-08 16:14:00.750000
reasoningPerformance,64,2021-10-08 16:14:00.823000
reasoningPerformance,56,2021-10-08 16:14:00.894000
reasoningPerformance,48,2021-10-08 16:14:00.946000
reasoningPerformance,54,2021-10-08 16:14:01.009000
reasoningPerformance,82,2021-10-08 16:14:01.086000
reasoningPerformance,72,2021-10-08 16:14:01.163000
reasoningPerformance,65,2021-10-08 16:14:01.239000
reasoningPerformance,67,2021-10-08 16:14:01.301000
reasoningPerformance,84,2021-10-08 16:14:01.388000
reasoningPerformance,66,2021-10-08 16:14:01.454000
reasoningPerformance,81,2021-10-08 16:14:01.542000
reasoningPerformance,60,2021-10-08 16:14:01.602000
reasoningPerformance,66,2021-10-08 16:14:01.673000
reasoningPerformance,89,2021-10-08 16:14:01.762000
reasoningPerformance,58,2021-10-08 16:14:01.819000
reasoningPerformance,66,2021-10-08 16:14:01.892000
reasoningPerformance,69,2021-10-08 16:14:01.968000
reasoningPerformance,52,2021-10-08 16:14:02.019000
reasoningPerformance,77,2021-10-08 16:14:02.097000
reasoningPerformance,61,2021-10-08 16:14:02.158000
reasoningPerformance,84,2021-10-08 16:14:02.242000
reasoningPerformance,55,2021-10-08 16:14:02.307000
reasoningPerformance,66,2021-10-08 16:14:02.369000
reasoningPerformance,70,2021-10-08 16:14:02.442000
reasoningPerformance,66,2021-10-08 16:14:02.507000
reasoningPerformance,71,2021-10-08 16:14:02.581000
reasoningPerformance,58,2021-10-08 16:14:02.640000
reasoningPerformance,68,2021-10-08 16:14:02.712000
reasoningPerformance,71,2021-10-08 16:14:02.783000
reasoningPerformance,71,2021-10-08 16:14:02.854000
reasoningPerformance,68,2021-10-08 16:14:02.922000
reasoningPerformance,62,2021-10-08 16:14:02.984000
reasoningPerformance,73,2021-10-08 16:14:03.059000
reasoningPerformance,73,2021-10-08 16:14:03.134000
reasoningPerformance,91,2021-10-08 16:14:03.224000
reasoningPerformance,63,2021-10-08 16:14:03.288000
reasoningPerformance,77,2021-10-08 16:14:03.366000
reasoningPerformance,76,2021-10-08 16:14:03.443000
reasoningPerformance,64,2021-10-08 16:14:03.516000
reasoningPerformance,69,2021-10-08 16:14:03.592000
reasoningPerformance,66,2021-10-08 16:14:03.656000
reasoningPerformance,78,2021-10-08 16:14:03.741000
reasoningPerformance,76,2021-10-08 16:14:03.810000
reasoningPerformance,81,2021-10-08 16:14:03.894000
reasoningPerformance,85,2021-10-08 16:14:03.978000
reasoningPerformance,72,2021-10-08 16:14:04.050000
reasoningPerformance,92,2021-10-08 16:14:04.144000
reasoningPerformance,71,2021-10-08 16:14:04.219000
reasoningPerformance,75,2021-10-08 16:14:04.294000
reasoningPerformance,67,2021-10-08 16:14:04.369000
reasoningPerformance,80,2021-10-08 16:14:04.443000
reasoningPerformance,61,2021-10-08 16:14:04.505000
reasoningPerformance,77,2021-10-08 16:14:04.584000
reasoningPerformance,60,2021-10-08 16:14:04.645000
reasoningPerformance,69,2021-10-08 16:14:04.720000
reasoningPerformance,68,2021-10-08 16:14:04.786000
reasoningPerformance,68,2021-10-08 16:14:04.857000
reasoningPerformance,67,2021-10-08 16:14:04.926000
reasoningPerformance,85,2021-10-08 16:14:05.011000
reasoningPerformance,59,2021-10-08 16:14:05.072000
reasoningPerformance,79,2021-10-08 16:14:05.152000
