Topic,Data,TimeStamp
reasoningPerformance,26,2021-10-08 16:21:59.884000
reasoningPerformance,35,2021-10-08 16:21:59.928000
reasoningPerformance,64,2021-10-08 16:21:59.990000
reasoningPerformance,93,2021-10-08 16:22:00.091000
reasoningPerformance,52,2021-10-08 16:22:00.155000
reasoningPerformance,82,2021-10-08 16:22:00.231000
reasoningPerformance,68,2021-10-08 16:22:00.306000
reasoningPerformance,66,2021-10-08 16:22:00.378000
reasoningPerformance,77,2021-10-08 16:22:00.458000
reasoningPerformance,74,2021-10-08 16:22:00.532000
reasoningPerformance,76,2021-10-08 16:22:00.602000
reasoningPerformance,72,2021-10-08 16:22:00.676000
reasoningPerformance,79,2021-10-08 16:22:00.756000
reasoningPerformance,73,2021-10-08 16:22:00.831000
reasoningPerformance,74,2021-10-08 16:22:00.906000
reasoningPerformance,75,2021-10-08 16:22:00.983000
reasoningPerformance,82,2021-10-08 16:22:01.072000
reasoningPerformance,68,2021-10-08 16:22:01.138000
reasoningPerformance,74,2021-10-08 16:22:01.213000
reasoningPerformance,68,2021-10-08 16:22:01.288000
reasoningPerformance,77,2021-10-08 16:22:01.384000
reasoningPerformance,70,2021-10-08 16:22:01.452000
reasoningPerformance,61,2021-10-08 16:22:01.523000
reasoningPerformance,62,2021-10-08 16:22:01.597000
reasoningPerformance,53,2021-10-08 16:22:01.659000
reasoningPerformance,70,2021-10-08 16:22:01.741000
reasoningPerformance,68,2021-10-08 16:22:01.812000
reasoningPerformance,50,2021-10-08 16:22:01.867000
reasoningPerformance,84,2021-10-08 16:22:01.958000
reasoningPerformance,57,2021-10-08 16:22:02.008000
reasoningPerformance,67,2021-10-08 16:22:02.076000
reasoningPerformance,79,2021-10-08 16:22:02.159000
reasoningPerformance,81,2021-10-08 16:22:02.243000
reasoningPerformance,71,2021-10-08 16:22:02.315000
reasoningPerformance,73,2021-10-08 16:22:02.390000
reasoningPerformance,73,2021-10-08 16:22:02.464000
reasoningPerformance,67,2021-10-08 16:22:02.534000
reasoningPerformance,71,2021-10-08 16:22:02.604000
reasoningPerformance,76,2021-10-08 16:22:02.680000
reasoningPerformance,76,2021-10-08 16:22:02.757000
reasoningPerformance,74,2021-10-08 16:22:02.832000
