Topic,Data,TimeStamp
reasoningPerformance,142,2021-10-13 11:14:47.155000
reasoningPerformance,28,2021-10-13 11:14:47.175000
reasoningPerformance,47,2021-10-13 11:14:47.226000
reasoningPerformance,65,2021-10-13 11:14:47.294000
reasoningPerformance,75,2021-10-13 11:14:47.368000
reasoningPerformance,77,2021-10-13 11:14:47.445000
reasoningPerformance,76,2021-10-13 11:14:47.531000
reasoningPerformance,73,2021-10-13 11:14:47.595000
reasoningPerformance,87,2021-10-13 11:14:47.686000
reasoningPerformance,64,2021-10-13 11:14:47.759000
reasoningPerformance,82,2021-10-13 11:14:47.838000
reasoningPerformance,79,2021-10-13 11:14:47.916000
reasoningPerformance,73,2021-10-13 11:14:47.989000
reasoningPerformance,83,2021-10-13 11:14:48.080000
reasoningPerformance,81,2021-10-13 11:14:48.160000
reasoningPerformance,59,2021-10-13 11:14:48.220000
reasoningPerformance,78,2021-10-13 11:14:48.299000
reasoningPerformance,76,2021-10-13 11:14:48.383000
reasoningPerformance,87,2021-10-13 11:14:48.476000
reasoningPerformance,60,2021-10-13 11:14:48.548000
reasoningPerformance,79,2021-10-13 11:14:48.624000
reasoningPerformance,46,2021-10-13 11:14:48.688000
reasoningPerformance,71,2021-10-13 11:14:48.758000
reasoningPerformance,53,2021-10-13 11:14:48.822000
reasoningPerformance,78,2021-10-13 11:14:48.909000
reasoningPerformance,65,2021-10-13 11:14:48.981000
reasoningPerformance,56,2021-10-13 11:14:49.051000
reasoningPerformance,69,2021-10-13 11:14:49.123000
reasoningPerformance,50,2021-10-13 11:14:49.178000
reasoningPerformance,84,2021-10-13 11:14:49.261000
reasoningPerformance,60,2021-10-13 11:14:49.332000
reasoningPerformance,70,2021-10-13 11:14:49.394000
reasoningPerformance,71,2021-10-13 11:14:49.471000
reasoningPerformance,78,2021-10-13 11:14:49.555000
reasoningPerformance,63,2021-10-13 11:14:49.622000
reasoningPerformance,80,2021-10-13 11:14:49.703000
reasoningPerformance,64,2021-10-13 11:14:49.772000
reasoningPerformance,86,2021-10-13 11:14:49.869000
reasoningPerformance,93,2021-10-13 11:14:49.953000
reasoningPerformance,83,2021-10-13 11:14:50.037000
reasoningPerformance,79,2021-10-13 11:14:50.115000
reasoningPerformance,72,2021-10-13 11:14:50.187000
reasoningPerformance,80,2021-10-13 11:14:50.270000
reasoningPerformance,71,2021-10-13 11:14:50.342000
reasoningPerformance,68,2021-10-13 11:14:50.415000
reasoningPerformance,66,2021-10-13 11:14:50.481000
reasoningPerformance,75,2021-10-13 11:14:50.556000
reasoningPerformance,75,2021-10-13 11:14:50.632000
reasoningPerformance,71,2021-10-13 11:14:50.706000
reasoningPerformance,75,2021-10-13 11:14:50.784000
reasoningPerformance,68,2021-10-13 11:14:50.856000
reasoningPerformance,82,2021-10-13 11:14:50.937000
reasoningPerformance,66,2021-10-13 11:14:50.999000
reasoningPerformance,75,2021-10-13 11:14:51.083000
reasoningPerformance,85,2021-10-13 11:14:51.163000
reasoningPerformance,65,2021-10-13 11:14:51.228000
reasoningPerformance,82,2021-10-13 11:14:51.313000
reasoningPerformance,66,2021-10-13 11:14:51.380000
reasoningPerformance,74,2021-10-13 11:14:51.454000
reasoningPerformance,62,2021-10-13 11:14:51.516000
reasoningPerformance,74,2021-10-13 11:14:51.591000
reasoningPerformance,69,2021-10-13 11:14:51.664000
reasoningPerformance,68,2021-10-13 11:14:51.730000
reasoningPerformance,62,2021-10-13 11:14:51.793000
reasoningPerformance,83,2021-10-13 11:14:51.880000
reasoningPerformance,53,2021-10-13 11:14:51.934000
reasoningPerformance,73,2021-10-13 11:14:52.012000
reasoningPerformance,74,2021-10-13 11:14:52.083000
reasoningPerformance,84,2021-10-13 11:14:52.169000
reasoningPerformance,71,2021-10-13 11:14:52.242000
reasoningPerformance,60,2021-10-13 11:14:52.304000
reasoningPerformance,79,2021-10-13 11:14:52.382000
reasoningPerformance,64,2021-10-13 11:14:52.446000
reasoningPerformance,74,2021-10-13 11:14:52.523000
reasoningPerformance,73,2021-10-13 11:14:52.598000
reasoningPerformance,75,2021-10-13 11:14:52.673000
reasoningPerformance,60,2021-10-13 11:14:52.737000
reasoningPerformance,65,2021-10-13 11:14:52.808000
reasoningPerformance,72,2021-10-13 11:14:52.884000
reasoningPerformance,68,2021-10-13 11:14:52.952000
reasoningPerformance,60,2021-10-13 11:14:53.014000
reasoningPerformance,88,2021-10-13 11:14:53.103000
reasoningPerformance,66,2021-10-13 11:14:53.169000
reasoningPerformance,75,2021-10-13 11:14:53.256000
reasoningPerformance,53,2021-10-13 11:14:53.307000
reasoningPerformance,76,2021-10-13 11:14:53.388000
reasoningPerformance,76,2021-10-13 11:14:53.466000
reasoningPerformance,68,2021-10-13 11:14:53.529000
reasoningPerformance,68,2021-10-13 11:14:53.601000
reasoningPerformance,78,2021-10-13 11:14:53.681000
reasoningPerformance,63,2021-10-13 11:14:53.745000
reasoningPerformance,67,2021-10-13 11:14:53.817000
reasoningPerformance,64,2021-10-13 11:14:53.882000
reasoningPerformance,79,2021-10-13 11:14:53.966000
reasoningPerformance,74,2021-10-13 11:14:54.042000
reasoningPerformance,66,2021-10-13 11:14:54.114000
reasoningPerformance,89,2021-10-13 11:14:54.204000
reasoningPerformance,69,2021-10-13 11:14:54.275000
reasoningPerformance,72,2021-10-13 11:14:54.347000
reasoningPerformance,71,2021-10-13 11:14:54.426000
reasoningPerformance,67,2021-10-13 11:14:54.493000
reasoningPerformance,67,2021-10-13 11:14:54.570000
reasoningPerformance,64,2021-10-13 11:14:54.634000
reasoningPerformance,85,2021-10-13 11:14:54.720000
reasoningPerformance,63,2021-10-13 11:14:54.785000
reasoningPerformance,69,2021-10-13 11:14:54.857000
reasoningPerformance,66,2021-10-13 11:14:54.929000
reasoningPerformance,78,2021-10-13 11:14:55.008000
reasoningPerformance,78,2021-10-13 11:14:55.086000
reasoningPerformance,57,2021-10-13 11:14:55.145000
reasoningPerformance,76,2021-10-13 11:14:55.220000
reasoningPerformance,58,2021-10-13 11:14:55.283000
