Topic,Data,TimeStamp
actions,steering(-0.0022564233672902785),2021-10-13 10:55:20.794000
actions,setSpeed(8),2021-10-13 10:55:21.241000
actions,steering(0.00476634056359744),2021-10-13 10:55:21.573000
actions,steering(-0.0038134568968693234),2021-10-13 10:55:22.111000
actions,steering(-0.002268081615279232),2021-10-13 10:55:22.612000
actions,steering(0.6238773361317365),2021-10-13 10:55:23.074000
actions,steering(0.1845736653244341),2021-10-13 10:55:23.593000
actions,steering(-0.18297399380294233),2021-10-13 10:55:24.106000
actions,steering(-0.4977811626358838),2021-10-13 10:55:24.615000
actions,steering(-0.13337166822832358),2021-10-13 10:55:25.111000
actions,steering(0.09592007173401025),2021-10-13 10:55:25.542000
actions,steering(0.07874315339017603),2021-10-13 10:55:26.013000
actions,steering(-0.023317632900027422),2021-10-13 10:55:26.491000
actions,steering(-0.111430927386944),2021-10-13 10:55:26.918000
actions,steering(0.04540596198444971),2021-10-13 10:55:27.295000
actions,steering(0.04233140693261441),2021-10-13 10:55:27.656000
actions,steering(-0.02337345134789308),2021-10-13 10:55:28.116000
actions,steering(-0.03816293356068525),2021-10-13 10:55:28.486000
actions,steering(0.02924809248475373),2021-10-13 10:55:28.864000
actions,steering(-0.0196579315866652),2021-10-13 10:55:29.239000
actions,steering(0.036005869180618245),2021-10-13 10:55:29.631000
actions,steering(0.016646981337678918),2021-10-13 10:55:30.025000
actions,setSpeed(0),2021-10-13 10:55:30.511000
