Topic,Data,TimeStamp
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-7.39319513109) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(55.4378805161)",2021-10-13 10:55:14.036000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-8.41013921337) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(56.7241849899)",2021-10-13 10:55:14.122000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-6.95512353438) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(56.7241849899)",2021-10-13 10:55:14.196000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-9.99861028727) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(32.8595080376)",2021-10-13 10:55:14.271000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-9.06105161062) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(55.8199319839)",2021-10-13 10:55:14.349000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-7.93445585201) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(55.8199319839)",2021-10-13 10:55:14.427000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-7.49988125285) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(33.6405076981)",2021-10-13 10:55:14.488000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-7.32569425017) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(70.3621683121)",2021-10-13 10:55:14.564000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-8.69125381513) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(70.3621683121)",2021-10-13 10:55:14.639000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-8.87289634191) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(61.5969371796)",2021-10-13 10:55:14.715000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-6.88394607622) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(58.7405633926)",2021-10-13 10:55:14.776000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-6.70555205628) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(58.7405633926)",2021-10-13 10:55:14.847000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-8.15148110019) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(55.8110198975)",2021-10-13 10:55:14.919000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-7.0247995546) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(33.0913472176)",2021-10-13 10:55:14.989000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-5.77150595747) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(33.0913472176)",2021-10-13 10:55:15.056000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-9.12794861253) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(60.3158798218)",2021-10-13 10:55:15.129000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-6.78360729456) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(60.3158798218)",2021-10-13 10:55:15.195000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-7.95899715614) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(60.8114280701)",2021-10-13 10:55:15.270000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-7.77097928425) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(71.6293735504)",2021-10-13 10:55:15.342000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-7.49312055641) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(71.6293735504)",2021-10-13 10:55:15.420000
perceptions,"gps(47.641482371508914, -122.14036499104333) compass(-5.44728387205) speed(0.0) lane(0.6391874999999995,0.0,0.0,0.0,0.0) obstacle(60.7771720886)",2021-10-13 10:55:15.494000
