Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post2),0)>",2021-10-13 11:01:04.393000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-10-13 11:01:04.463000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2)],126.96806881706038),post2,0)>",2021-10-13 11:01:04.607000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:01:04.819000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering(0.0018057841899573822),bearing(0.3540853237823285))>",2021-10-13 11:01:05.033000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-13 11:01:05.181000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:01:05.552000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering((-1.4000476116840212E-4)),bearing(0.3541012607196876))>",2021-10-13 11:01:05.769000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 11:01:05.914000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:01:06.079000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering(0.008177491491188663),bearing(0.35410236594395883))>",2021-10-13 11:01:06.280000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 11:01:06.425000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:01:06.579000
outbox,"<mid14,0,tell,BROADCAST,compassSteer(steering(0.01226856696566156),bearing(0.3544360088890812))>",2021-10-13 11:01:06.802000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 11:01:06.955000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:01:07.107000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.6139921882527116),bearing(0.3549257661283036))>",2021-10-13 11:01:07.319000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 11:01:07.459000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:01:07.610000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering(0.2718779192321314),bearing(0.3512044514660033))>",2021-10-13 11:01:07.825000
