Topic,Data,TimeStamp
actions,steering(-0.0024035018630719713),2021-10-13 11:12:40.105000
actions,setSpeed(8),2021-10-13 11:12:40.556000
actions,steering(0.005225278710549613),2021-10-13 11:12:40.859000
actions,steering(7.69721979559268E-5),2021-10-13 11:12:41.370000
actions,steering(0.6872695588235297),2021-10-13 11:12:41.884000
actions,steering(0.3236220166947681),2021-10-13 11:12:42.432000
actions,steering(-0.3012354447355219),2021-10-13 11:12:43.019000
actions,steering(-0.32400202512423865),2021-10-13 11:12:43.569000
actions,steering(-0.2849344017084606),2021-10-13 11:12:44.127000
actions,steering(-0.13687569215371376),2021-10-13 11:12:44.636000
actions,steering(0.07434879499104559),2021-10-13 11:12:45.125000
actions,steering(0.08957303937599367),2021-10-13 11:12:45.662000
actions,steering(0.03913789277445126),2021-10-13 11:12:46.110000
actions,steering(-0.12712641179351375),2021-10-13 11:12:46.600000
actions,steering(-0.11814420636911531),2021-10-13 11:12:47.105000
actions,steering(0.02300977712188362),2021-10-13 11:12:47.526000
actions,steering(0.04129359939420022),2021-10-13 11:12:47.890000
actions,steering(0.05845280257831775),2021-10-13 11:12:48.316000
actions,steering(0.005521243860485529),2021-10-13 11:12:48.851000
actions,steering(-0.0291003006890024),2021-10-13 11:12:49.517000
actions,steering(-0.027686725327148387),2021-10-13 11:12:50.004000
actions,setSpeed(0),2021-10-13 11:12:50.735000
actions,steering(0.003474427555005111),2021-10-13 11:12:50.887000
actions,setSpeed(8),2021-10-13 11:12:51.259000
actions,steering(0.4912185362444038),2021-10-13 11:12:51.583000
actions,steering(0.031271480809847006),2021-10-13 11:12:52.296000
actions,steering(-0.10539791788498958),2021-10-13 11:12:52.927000
actions,steering(-0.13093189798925225),2021-10-13 11:12:53.540000
actions,steering(-0.22152514381737023),2021-10-13 11:12:53.968000
actions,steering(-0.021782758923469016),2021-10-13 11:12:54.401000
actions,steering(-0.12325021394063028),2021-10-13 11:12:54.863000
actions,steering(-0.09951562210703019),2021-10-13 11:12:55.270000
actions,steering(-0.08312792057069932),2021-10-13 11:12:55.709000
actions,steering(-0.0472827894473883),2021-10-13 11:12:56.134000
actions,steering(-0.015611903250235305),2021-10-13 11:12:56.552000
actions,steering(-0.042371753220043815),2021-10-13 11:12:56.976000
actions,steering(-0.04114977459376976),2021-10-13 11:12:57.400000
actions,steering(0.03681545257147316),2021-10-13 11:12:57.766000
actions,steering(-0.02256202070588268),2021-10-13 11:12:58.179000
