Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,navigate(gettingRoute(post2),0.0949307305463114)>",2021-10-13 11:12:39.518000
outbox,"<mid2,0,tell,BROADCAST,navigate(current(post1),CurrentRange)>",2021-10-13 11:12:39.579000
outbox,"<mid3,0,tell,BROADCAST,navigate(route([op(initial,post1),op(drive,post2)],126.96806881706038),post2,0.0949307305463114)>",2021-10-13 11:12:39.730000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:12:39.949000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering((-0.0024035018630719713)),bearing(0.35408372497704477))>",2021-10-13 11:12:40.172000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-13 11:12:40.326000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:12:40.714000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.005225278710549613),bearing(0.354099662768931))>",2021-10-13 11:12:40.924000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 11:12:41.067000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:12:41.214000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering(7.69721979559268E-5),bearing(0.354100218722067))>",2021-10-13 11:12:41.438000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 11:12:41.581000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:12:41.737000
outbox,"<mid14,0,tell,BROADCAST,lkaSteer(steering(0.6872695588235297),bearing(0.35439872073879997))>",2021-10-13 11:12:41.949000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 11:12:42.099000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:12:42.256000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.3236220166947681),bearing(0.35635749590210253))>",2021-10-13 11:12:42.542000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 11:12:42.748000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:12:42.899000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering((-0.3012354447355219)),bearing(0.2148968541717977))>",2021-10-13 11:12:43.115000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 11:12:43.271000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:12:43.457000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.32400202512423865)),bearing((-0.08449309890033874)))>",2021-10-13 11:12:43.621000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 11:12:43.783000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:12:43.968000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.2849344017084606)),bearing((-0.31514276281268394)))>",2021-10-13 11:12:44.191000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 11:12:44.357000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 11:12:44.510000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering((-0.13687569215371376)),bearing((-0.41969128550948653)))>",2021-10-13 11:12:44.720000
