Topic,Data,TimeStamp
reasoningPerformance,40,2021-10-13 11:12:29.917000
reasoningPerformance,49,2021-10-13 11:12:29.966000
reasoningPerformance,81,2021-10-13 11:12:30.062000
reasoningPerformance,96,2021-10-13 11:12:30.164000
reasoningPerformance,53,2021-10-13 11:12:30.224000
reasoningPerformance,92,2021-10-13 11:12:30.328000
reasoningPerformance,49,2021-10-13 11:12:30.393000
reasoningPerformance,39,2021-10-13 11:12:30.430000
reasoningPerformance,73,2021-10-13 11:12:30.505000
reasoningPerformance,90,2021-10-13 11:12:30.604000
reasoningPerformance,54,2021-10-13 11:12:30.667000
reasoningPerformance,46,2021-10-13 11:12:30.717000
reasoningPerformance,64,2021-10-13 11:12:30.803000
reasoningPerformance,60,2021-10-13 11:12:30.875000
reasoningPerformance,98,2021-10-13 11:12:30.985000
reasoningPerformance,29,2021-10-13 11:12:31.011000
reasoningPerformance,91,2021-10-13 11:12:31.109000
reasoningPerformance,27,2021-10-13 11:12:31.176000
reasoningPerformance,93,2021-10-13 11:12:31.270000
reasoningPerformance,33,2021-10-13 11:12:31.304000
reasoningPerformance,93,2021-10-13 11:12:31.402000
reasoningPerformance,66,2021-10-13 11:12:31.493000
reasoningPerformance,70,2021-10-13 11:12:31.569000
reasoningPerformance,41,2021-10-13 11:12:31.614000
reasoningPerformance,72,2021-10-13 11:12:31.687000
reasoningPerformance,41,2021-10-13 11:12:31.752000
reasoningPerformance,71,2021-10-13 11:12:31.826000
reasoningPerformance,65,2021-10-13 11:12:31.900000
reasoningPerformance,83,2021-10-13 11:12:31.988000
reasoningPerformance,58,2021-10-13 11:12:32.066000
reasoningPerformance,81,2021-10-13 11:12:32.133000
reasoningPerformance,54,2021-10-13 11:12:32.186000
reasoningPerformance,77,2021-10-13 11:12:32.265000
reasoningPerformance,104,2021-10-13 11:12:32.371000
reasoningPerformance,36,2021-10-13 11:12:32.415000
reasoningPerformance,76,2021-10-13 11:12:32.499000
reasoningPerformance,85,2021-10-13 11:12:32.591000
reasoningPerformance,62,2021-10-13 11:12:32.671000
reasoningPerformance,60,2021-10-13 11:12:32.739000
reasoningPerformance,75,2021-10-13 11:12:32.822000
reasoningPerformance,57,2021-10-13 11:12:32.880000
reasoningPerformance,79,2021-10-13 11:12:32.956000
reasoningPerformance,62,2021-10-13 11:12:33.038000
reasoningPerformance,52,2021-10-13 11:12:33.101000
reasoningPerformance,79,2021-10-13 11:12:33.180000
reasoningPerformance,75,2021-10-13 11:12:33.256000
reasoningPerformance,66,2021-10-13 11:12:33.358000
reasoningPerformance,64,2021-10-13 11:12:33.432000
reasoningPerformance,76,2021-10-13 11:12:33.529000
reasoningPerformance,27,2021-10-13 11:12:33.556000
reasoningPerformance,71,2021-10-13 11:12:33.626000
reasoningPerformance,79,2021-10-13 11:12:33.705000
reasoningPerformance,73,2021-10-13 11:12:33.782000
reasoningPerformance,78,2021-10-13 11:12:33.865000
reasoningPerformance,74,2021-10-13 11:12:33.935000
reasoningPerformance,69,2021-10-13 11:12:34.005000
reasoningPerformance,82,2021-10-13 11:12:34.087000
reasoningPerformance,64,2021-10-13 11:12:34.152000
reasoningPerformance,89,2021-10-13 11:12:34.242000
reasoningPerformance,63,2021-10-13 11:12:34.306000
