Topic,Data,TimeStamp
reasoningPerformance,102,2021-10-12 14:00:25.066000
reasoningPerformance,45,2021-10-12 14:00:25.112000
reasoningPerformance,101,2021-10-12 14:00:25.220000
reasoningPerformance,53,2021-10-12 14:00:25.278000
reasoningPerformance,76,2021-10-12 14:00:25.357000
reasoningPerformance,73,2021-10-12 14:00:25.434000
reasoningPerformance,78,2021-10-12 14:00:25.512000
reasoningPerformance,77,2021-10-12 14:00:25.588000
reasoningPerformance,76,2021-10-12 14:00:25.670000
reasoningPerformance,76,2021-10-12 14:00:25.754000
reasoningPerformance,80,2021-10-12 14:00:25.831000
reasoningPerformance,93,2021-10-12 14:00:25.925000
reasoningPerformance,73,2021-10-12 14:00:26
reasoningPerformance,77,2021-10-12 14:00:26.078000
reasoningPerformance,78,2021-10-12 14:00:26.157000
reasoningPerformance,74,2021-10-12 14:00:26.233000
reasoningPerformance,74,2021-10-12 14:00:26.316000
reasoningPerformance,69,2021-10-12 14:00:26.381000
reasoningPerformance,78,2021-10-12 14:00:26.459000
reasoningPerformance,66,2021-10-12 14:00:26.535000
reasoningPerformance,63,2021-10-12 14:00:26.593000
reasoningPerformance,69,2021-10-12 14:00:26.671000
reasoningPerformance,85,2021-10-12 14:00:26.749000
reasoningPerformance,69,2021-10-12 14:00:26.825000
reasoningPerformance,83,2021-10-12 14:00:26.916000
reasoningPerformance,66,2021-10-12 14:00:26.996000
reasoningPerformance,57,2021-10-12 14:00:27.062000
reasoningPerformance,63,2021-10-12 14:00:27.139000
reasoningPerformance,57,2021-10-12 14:00:27.200000
reasoningPerformance,67,2021-10-12 14:00:27.271000
reasoningPerformance,59,2021-10-12 14:00:27.333000
reasoningPerformance,77,2021-10-12 14:00:27.423000
reasoningPerformance,47,2021-10-12 14:00:27.472000
reasoningPerformance,70,2021-10-12 14:00:27.544000
reasoningPerformance,66,2021-10-12 14:00:27.609000
reasoningPerformance,71,2021-10-12 14:00:27.682000
reasoningPerformance,87,2021-10-12 14:00:27.779000
reasoningPerformance,46,2021-10-12 14:00:27.823000
reasoningPerformance,72,2021-10-12 14:00:27.898000
reasoningPerformance,79,2021-10-12 14:00:27.976000
reasoningPerformance,69,2021-10-12 14:00:28.051000
reasoningPerformance,79,2021-10-12 14:00:28.128000
reasoningPerformance,63,2021-10-12 14:00:28.198000
reasoningPerformance,74,2021-10-12 14:00:28.266000
reasoningPerformance,74,2021-10-12 14:00:28.342000
reasoningPerformance,76,2021-10-12 14:00:28.419000
reasoningPerformance,64,2021-10-12 14:00:28.492000
reasoningPerformance,76,2021-10-12 14:00:28.571000
reasoningPerformance,78,2021-10-12 14:00:28.648000
reasoningPerformance,80,2021-10-12 14:00:28.728000
reasoningPerformance,69,2021-10-12 14:00:28.815000
reasoningPerformance,54,2021-10-12 14:00:28.874000
reasoningPerformance,76,2021-10-12 14:00:28.951000
reasoningPerformance,65,2021-10-12 14:00:29.018000
reasoningPerformance,75,2021-10-12 14:00:29.093000
reasoningPerformance,65,2021-10-12 14:00:29.159000
reasoningPerformance,78,2021-10-12 14:00:29.242000
reasoningPerformance,68,2021-10-12 14:00:29.310000
reasoningPerformance,62,2021-10-12 14:00:29.376000
reasoningPerformance,77,2021-10-12 14:00:29.456000
reasoningPerformance,63,2021-10-12 14:00:29.520000
reasoningPerformance,68,2021-10-12 14:00:29.586000
reasoningPerformance,69,2021-10-12 14:00:29.657000
reasoningPerformance,66,2021-10-12 14:00:29.723000
reasoningPerformance,61,2021-10-12 14:00:29.784000
reasoningPerformance,76,2021-10-12 14:00:29.860000
reasoningPerformance,71,2021-10-12 14:00:29.933000
reasoningPerformance,68,2021-10-12 14:00:30.010000
reasoningPerformance,67,2021-10-12 14:00:30.073000
reasoningPerformance,62,2021-10-12 14:00:30.138000
reasoningPerformance,75,2021-10-12 14:00:30.210000
reasoningPerformance,79,2021-10-12 14:00:30.295000
reasoningPerformance,63,2021-10-12 14:00:30.359000
reasoningPerformance,66,2021-10-12 14:00:30.426000
reasoningPerformance,58,2021-10-12 14:00:30.485000
reasoningPerformance,76,2021-10-12 14:00:30.561000
reasoningPerformance,62,2021-10-12 14:00:30.625000
reasoningPerformance,70,2021-10-12 14:00:30.696000
reasoningPerformance,75,2021-10-12 14:00:30.772000
reasoningPerformance,63,2021-10-12 14:00:30.836000
