Topic,Data,TimeStamp
actions,steering(0.007201983851577164),2021-10-12 14:09:28.908000
actions,setSpeed(8),2021-10-12 14:09:29.346000
actions,steering(-0.0022121068870707638),2021-10-12 14:09:29.632000
actions,steering(-0.001241027310720227),2021-10-12 14:09:30.125000
actions,steering(0.007188974892725655),2021-10-12 14:09:30.600000
actions,steering(0.6557005747148069),2021-10-12 14:09:31.105000
actions,steering(0.2412022475126745),2021-10-12 14:09:31.603000
actions,steering(-0.17135109429080422),2021-10-12 14:09:32.121000
actions,steering(-0.42347350955950097),2021-10-12 14:09:32.634000
actions,steering(-0.29608052342268104),2021-10-12 14:09:33.137000
actions,steering(0.038987113567802927),2021-10-12 14:09:33.628000
actions,steering(0.16404395278815329),2021-10-12 14:09:34.118000
actions,steering(0.024954448303256632),2021-10-12 14:09:34.576000
actions,steering(-0.04281051567019202),2021-10-12 14:09:34.992000
actions,steering(-0.011877931061716654),2021-10-12 14:09:35.474000
actions,steering(0.01183767125115685),2021-10-12 14:09:35.915000
actions,steering(0.05018588388243409),2021-10-12 14:09:36.284000
actions,steering(-0.01959247893608674),2021-10-12 14:09:36.613000
actions,steering(-0.058449518622920554),2021-10-12 14:09:36.998000
actions,steering(-0.0033346797688557027),2021-10-12 14:09:37.316000
actions,steering(-0.005530721273957014),2021-10-12 14:09:37.637000
actions,steering(0.0603590691487637),2021-10-12 14:09:38.014000
actions,steering(0.003947231791176452),2021-10-12 14:09:38.374000
actions,setSpeed(0),2021-10-12 14:09:38.925000
