Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:13:54.841000
outbox,"<mid2,0,tell,BROADCAST,compassSteer(steering((-0.0038881815766377554)),bearing(0.35408040330520407))>",2021-10-12 14:13:55.041000
outbox,"<mid3,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-12 14:13:55.169000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:13:55.527000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering(0.013498059475134688),bearing(0.3540968931742441))>",2021-10-12 14:13:55.726000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:13:55.868000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:13:56.015000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.00941907085807089),bearing(0.3540963452927599))>",2021-10-12 14:13:56.217000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:13:56.362000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:13:56.514000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering((-0.0078076289078095)),bearing(0.3540636841042897))>",2021-10-12 14:13:56.789000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:13:56.917000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:13:57.070000
outbox,"<mid14,0,tell,BROADCAST,lkaSteer(steering(0.6336338599029533),bearing(0.3543522398871346))>",2021-10-12 14:13:57.317000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:13:57.496000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:13:57.666000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.12942040723102619),bearing(0.3583317932913701))>",2021-10-12 14:13:57.921000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:13:58.030000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:13:58.233000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering((-0.19016024450972066)),bearing(0.1417804736800008))>",2021-10-12 14:13:58.441000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:13:58.616000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:13:58.823000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.34736248370851064)),bearing((-0.14552708025729544)))>",2021-10-12 14:13:58.995000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:13:59.175000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:13:59.344000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.2253252184437492)),bearing((-0.38589421516473976)))>",2021-10-12 14:13:59.531000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:13:59.668000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:13:59.805000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering((-0.07775089529768892)),bearing((-0.5043009032761461)))>",2021-10-12 14:14:00.016000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:14:00.136000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:14:00.313000
outbox,"<mid32,0,tell,BROADCAST,lkaSteer(steering(0.06789343005107026),bearing((-0.4806577252989541)))>",2021-10-12 14:14:00.459000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:14:00.587000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:14:00.792000
outbox,"<mid35,0,tell,BROADCAST,lkaSteer(steering(0.1373442968725148),bearing((-0.4199358274410656)))>",2021-10-12 14:14:00.956000
outbox,"<mid36,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:14:01.135000
outbox,"<mid37,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:14:01.293000
outbox,"<mid38,0,tell,BROADCAST,lkaSteer(steering((-0.004516378364080464)),bearing((-0.37673416743240296)))>",2021-10-12 14:14:01.443000
outbox,"<mid39,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:14:01.557000
outbox,"<mid40,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:14:01.708000
outbox,"<mid41,0,tell,BROADCAST,lkaSteer(steering((-0.13027220276746274)),bearing((-0.42748247417631546)))>",2021-10-12 14:14:01.872000
outbox,"<mid42,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:14:02.008000
outbox,"<mid43,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:14:02.147000
outbox,"<mid44,0,tell,BROADCAST,lkaSteer(steering((-0.06370473143170524)),bearing((-0.5461660777065163)))>",2021-10-12 14:14:02.328000
outbox,"<mid45,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 14:14:02.479000
outbox,"<mid46,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 14:14:02.611000
outbox,"<mid47,0,tell,BROADCAST,lkaSteer(steering(0.11179659044179979),bearing((-0.5816028049670194)))>",2021-10-12 14:14:02.832000
