Topic,Data,TimeStamp
reasoningPerformance,72,2021-10-07 15:23:25.343000
reasoningPerformance,65,2021-10-07 15:23:25.408000
reasoningPerformance,67,2021-10-07 15:23:25.475000
reasoningPerformance,67,2021-10-07 15:23:25.542000
reasoningPerformance,63,2021-10-07 15:23:25.605000
reasoningPerformance,68,2021-10-07 15:23:25.674000
reasoningPerformance,69,2021-10-07 15:23:25.742000
reasoningPerformance,63,2021-10-07 15:23:25.806000
reasoningPerformance,71,2021-10-07 15:23:25.878000
reasoningPerformance,61,2021-10-07 15:23:25.939000
reasoningPerformance,67,2021-10-07 15:23:26.005000
reasoningPerformance,62,2021-10-07 15:23:26.069000
reasoningPerformance,72,2021-10-07 15:23:26.140000
reasoningPerformance,62,2021-10-07 15:23:26.203000
reasoningPerformance,68,2021-10-07 15:23:26.272000
reasoningPerformance,68,2021-10-07 15:23:26.340000
reasoningPerformance,67,2021-10-07 15:23:26.407000
reasoningPerformance,70,2021-10-07 15:23:26.476000
reasoningPerformance,61,2021-10-07 15:23:26.538000
reasoningPerformance,62,2021-10-07 15:23:26.599000
reasoningPerformance,75,2021-10-07 15:23:26.675000
reasoningPerformance,63,2021-10-07 15:23:26.738000
reasoningPerformance,60,2021-10-07 15:23:26.799000
reasoningPerformance,70,2021-10-07 15:23:26.869000
reasoningPerformance,71,2021-10-07 15:23:26.939000
reasoningPerformance,66,2021-10-07 15:23:27.006000
reasoningPerformance,68,2021-10-07 15:23:27.073000
reasoningPerformance,64,2021-10-07 15:23:27.138000
reasoningPerformance,67,2021-10-07 15:23:27.204000
reasoningPerformance,70,2021-10-07 15:23:27.274000
reasoningPerformance,60,2021-10-07 15:23:27.334000
reasoningPerformance,64,2021-10-07 15:23:27.398000
reasoningPerformance,68,2021-10-07 15:23:27.467000
reasoningPerformance,70,2021-10-07 15:23:27.536000
reasoningPerformance,56,2021-10-07 15:23:27.592000
reasoningPerformance,63,2021-10-07 15:23:27.656000
reasoningPerformance,74,2021-10-07 15:23:27.731000
