Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:09.149000
outbox,"<mid2,0,tell,BROADCAST,compassSteer(steering(0.006420078927118094),bearing(0.3540925236112571))>",2021-10-12 11:54:09.366000
outbox,"<mid3,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-12 11:54:09.514000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:09.883000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering(0.001983113607082945),bearing(0.35409085424493014))>",2021-10-12 11:54:10.082000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:54:10.233000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:10.376000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.008476800797169462),bearing(0.3540914103105024))>",2021-10-12 11:54:10.596000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:54:10.739000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:10.881000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering((-0.002728292995225439)),bearing(0.3543906020494205))>",2021-10-12 11:54:11.100000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:54:11.242000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:11.405000
outbox,"<mid14,0,tell,BROADCAST,lkaSteer(steering(0.632661544262994),bearing(0.35520777549197646))>",2021-10-12 11:54:11.603000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:54:11.746000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:11.895000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.17582998168858185),bearing(0.35823295821427337))>",2021-10-12 11:54:12.105000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:54:12.243000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:12.431000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering((-0.19813968272852314)),bearing(0.1534951484619569))>",2021-10-12 11:54:12.628000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:54:12.792000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:12.931000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.4223515531870311)),bearing((-0.17070551206478513)))>",2021-10-12 11:54:13.147000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:54:13.281000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:13.422000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.28376214580877773)),bearing((-0.4809877515095309)))>",2021-10-12 11:54:13.632000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:54:13.783000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:13.923000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering(0.10395437597282059),bearing((-0.5484101196924485)))>",2021-10-12 11:54:14.117000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:54:14.246000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:14.398000
outbox,"<mid32,0,tell,BROADCAST,lkaSteer(steering(0.2066478220885593),bearing((-0.4548299242595135)))>",2021-10-12 11:54:14.596000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:54:14.731000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:14.865000
outbox,"<mid35,0,tell,BROADCAST,lkaSteer(steering(0.006544161528086202),bearing((-0.360026251354725)))>",2021-10-12 11:54:15.036000
outbox,"<mid36,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:54:15.172000
outbox,"<mid37,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:15.284000
outbox,"<mid38,0,tell,BROADCAST,lkaSteer(steering((-0.0992367341415757)),bearing((-0.40656040573861674)))>",2021-10-12 11:54:15.468000
outbox,"<mid39,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:54:15.586000
outbox,"<mid40,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:15.724000
outbox,"<mid41,0,tell,BROADCAST,lkaSteer(steering((-0.11094958517690942)),bearing((-0.5141282388654531)))>",2021-10-12 11:54:15.897000
outbox,"<mid42,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:54:16.027000
outbox,"<mid43,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:16.152000
outbox,"<mid44,0,tell,BROADCAST,lkaSteer(steering(0.07043935203606727),bearing((-0.5526285363975489)))>",2021-10-12 11:54:16.303000
outbox,"<mid45,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:54:16.428000
outbox,"<mid46,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:54:16.522000
