Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:26.176000
outbox,"<mid2,0,tell,BROADCAST,compassSteer(steering((-9.846498678154447E-4)),bearing(0.35407930950322))>",2021-10-12 11:58:26.390000
outbox,"<mid3,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-12 11:58:26.536000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:26.901000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering(0.0027949873742735645),bearing(0.3540946976092414))>",2021-10-12 11:58:27.117000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:58:27.256000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:27.410000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.00998717250962254),bearing(0.35409525271205666))>",2021-10-12 11:58:27.634000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:58:27.775000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:27.940000
outbox,"<mid11,0,tell,BROADCAST,compassSteer(steering(0.006103783920438508),bearing(0.3543827274689306))>",2021-10-12 11:58:28.154000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:58:28.300000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:28.458000
outbox,"<mid14,0,tell,BROADCAST,lkaSteer(steering(0.6057549913862259),bearing(0.35451439056964773))>",2021-10-12 11:58:28.657000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:58:28.808000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:28.946000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering(0.23879369295260833),bearing(0.3539867032403663))>",2021-10-12 11:58:29.170000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:58:29.324000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:29.479000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering((-0.3944937231890672)),bearing(0.1554731880649456))>",2021-10-12 11:58:29.748000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:58:29.901000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:30.059000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.3527597136541716)),bearing((-0.19023641636294997)))>",2021-10-12 11:58:30.274000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:58:30.420000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:30.560000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.1342130190686621)),bearing((-0.41656586423420094)))>",2021-10-12 11:58:30.773000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:58:30.921000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:31.066000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering((-0.002432775436415161)),bearing((-0.4480480448659705)))>",2021-10-12 11:58:31.259000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:58:31.410000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:31.510000
outbox,"<mid32,0,tell,BROADCAST,lkaSteer(steering(0.06258617113983089),bearing((-0.4284410392855307)))>",2021-10-12 11:58:31.731000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:58:31.865000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:32.002000
outbox,"<mid35,0,tell,BROADCAST,lkaSteer(steering(0.011510305011168002),bearing((-0.4054194640715423)))>",2021-10-12 11:58:32.189000
outbox,"<mid36,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:58:32.298000
outbox,"<mid37,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:32.422000
outbox,"<mid38,0,tell,BROADCAST,lkaSteer(steering((-0.018935402982969952)),bearing((-0.4212841578769826)))>",2021-10-12 11:58:32.618000
outbox,"<mid39,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:58:32.736000
outbox,"<mid40,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:32.850000
outbox,"<mid41,0,tell,BROADCAST,lkaSteer(steering((-0.0041837858092961585)),bearing((-0.45355596729638137)))>",2021-10-12 11:58:33.045000
outbox,"<mid42,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-12 11:58:33.182000
outbox,"<mid43,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-12 11:58:33.276000
outbox,"<mid44,0,tell,BROADCAST,lkaSteer(steering((-0.0028867483228872722)),bearing((-0.4789010410908645)))>",2021-10-12 11:58:33.424000
