Topic,Data,TimeStamp
actions,steering(-0.00482404581943353),2021-10-12 12:06:14.458000
actions,setSpeed(8),2021-10-12 12:06:14.897000
actions,steering(0.0035334180748219555),2021-10-12 12:06:15.207000
actions,steering(0.008368348693159049),2021-10-12 12:06:15.693000
actions,steering(0.6735849596919506),2021-10-12 12:06:16.255000
actions,steering(0.3035282860120565),2021-10-12 12:06:16.774000
actions,steering(-0.033150535174611896),2021-10-12 12:06:17.311000
actions,steering(-0.22858383593582018),2021-10-12 12:06:17.844000
actions,steering(-0.6047595609185014),2021-10-12 12:06:18.365000
actions,steering(-0.12205426640637076),2021-10-12 12:06:18.865000
actions,steering(0.16872493110295073),2021-10-12 12:06:19.371000
actions,steering(0.1811775431058579),2021-10-12 12:06:19.862000
actions,steering(-0.05221492280345509),2021-10-12 12:06:20.407000
actions,steering(-0.16571783171316162),2021-10-12 12:06:20.871000
actions,steering(0.07811109255314772),2021-10-12 12:06:21.371000
actions,steering(0.17493330331482945),2021-10-12 12:06:21.863000
actions,steering(0.004895457311561767),2021-10-12 12:06:22.271000
actions,steering(-0.016583744554364864),2021-10-12 12:06:22.590000
actions,steering(-0.033373581765926336),2021-10-12 12:06:22.912000
actions,steering(-0.06606741618108787),2021-10-12 12:06:23.305000
actions,steering(-0.03529878870208907),2021-10-12 12:06:23.758000
actions,steering(0.01915328642980168),2021-10-12 12:06:24.186000
actions,setSpeed(0),2021-10-12 12:06:24.828000
