Topic,Data,TimeStamp
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-7.44137532564) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(72.9164896011)",2021-10-12 12:06:07.780000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-7.88764738095) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.2205600739)",2021-10-12 12:06:07.846000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-6.30281428456) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.2205600739)",2021-10-12 12:06:07.920000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-7.87794916603) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7151050568)",2021-10-12 12:06:07.997000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-7.29502411954) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.9241762161)",2021-10-12 12:06:08.072000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-8.16605514574) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.9241762161)",2021-10-12 12:06:08.147000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-6.66649066582) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5082349777)",2021-10-12 12:06:08.227000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-8.05702218356) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.7800979614)",2021-10-12 12:06:08.303000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-7.02638464779) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.6070308685)",2021-10-12 12:06:08.377000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-8.30608092829) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.6070308685)",2021-10-12 12:06:08.453000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-6.8715781881) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(63.4598941803)",2021-10-12 12:06:08.519000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-8.5981094069) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(63.4598941803)",2021-10-12 12:06:08.590000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-9.30897598114) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.954665184)",2021-10-12 12:06:08.669000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-7.87918265637) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.954665184)",2021-10-12 12:06:08.740000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-7.38448468425) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(48.1378650665)",2021-10-12 12:06:08.804000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-8.60538522406) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.2792320251)",2021-10-12 12:06:08.875000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-6.08028373431) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.2792320251)",2021-10-12 12:06:08.953000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-5.8996399672) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.2774877548)",2021-10-12 12:06:09.016000
perceptions,"gps(47.64148237147739, -122.14036499135256) compass(-7.39304784092) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.2774877548)",2021-10-12 12:06:09.091000
