Topic,Data,TimeStamp
reasoningPerformance,66,2021-10-12 12:06:07.789000
reasoningPerformance,74,2021-10-12 12:06:07.868000
reasoningPerformance,73,2021-10-12 12:06:07.937000
reasoningPerformance,74,2021-10-12 12:06:08.011000
reasoningPerformance,72,2021-10-12 12:06:08.086000
reasoningPerformance,69,2021-10-12 12:06:08.162000
reasoningPerformance,80,2021-10-12 12:06:08.243000
reasoningPerformance,78,2021-10-12 12:06:08.320000
reasoningPerformance,72,2021-10-12 12:06:08.395000
reasoningPerformance,64,2021-10-12 12:06:08.461000
reasoningPerformance,70,2021-10-12 12:06:08.533000
reasoningPerformance,65,2021-10-12 12:06:08.604000
reasoningPerformance,78,2021-10-12 12:06:08.681000
reasoningPerformance,75,2021-10-12 12:06:08.758000
reasoningPerformance,52,2021-10-12 12:06:08.818000
reasoningPerformance,64,2021-10-12 12:06:08.883000
reasoningPerformance,75,2021-10-12 12:06:08.957000
reasoningPerformance,62,2021-10-12 12:06:09.026000
reasoningPerformance,101,2021-10-12 12:06:09.132000
reasoningPerformance,58,2021-10-12 12:06:09.201000
reasoningPerformance,52,2021-10-12 12:06:09.265000
reasoningPerformance,77,2021-10-12 12:06:09.353000
reasoningPerformance,52,2021-10-12 12:06:09.415000
reasoningPerformance,79,2021-10-12 12:06:09.501000
reasoningPerformance,60,2021-10-12 12:06:09.559000
reasoningPerformance,58,2021-10-12 12:06:09.612000
reasoningPerformance,73,2021-10-12 12:06:09.687000
reasoningPerformance,73,2021-10-12 12:06:09.763000
reasoningPerformance,87,2021-10-12 12:06:09.856000
reasoningPerformance,57,2021-10-12 12:06:09.913000
reasoningPerformance,69,2021-10-12 12:06:09.986000
reasoningPerformance,70,2021-10-12 12:06:10.057000
reasoningPerformance,67,2021-10-12 12:06:10.125000
reasoningPerformance,81,2021-10-12 12:06:10.207000
reasoningPerformance,64,2021-10-12 12:06:10.275000
reasoningPerformance,69,2021-10-12 12:06:10.345000
reasoningPerformance,72,2021-10-12 12:06:10.417000
reasoningPerformance,66,2021-10-12 12:06:10.486000
reasoningPerformance,82,2021-10-12 12:06:10.567000
reasoningPerformance,56,2021-10-12 12:06:10.632000
reasoningPerformance,85,2021-10-12 12:06:10.710000
reasoningPerformance,69,2021-10-12 12:06:10.783000
reasoningPerformance,63,2021-10-12 12:06:10.846000
reasoningPerformance,74,2021-10-12 12:06:10.921000
reasoningPerformance,69,2021-10-12 12:06:10.992000
reasoningPerformance,83,2021-10-12 12:06:11.073000
reasoningPerformance,59,2021-10-12 12:06:11.132000
reasoningPerformance,69,2021-10-12 12:06:11.202000
reasoningPerformance,82,2021-10-12 12:06:11.285000
reasoningPerformance,61,2021-10-12 12:06:11.347000
reasoningPerformance,81,2021-10-12 12:06:11.431000
reasoningPerformance,67,2021-10-12 12:06:11.499000
reasoningPerformance,76,2021-10-12 12:06:11.576000
reasoningPerformance,75,2021-10-12 12:06:11.664000
reasoningPerformance,58,2021-10-12 12:06:11.715000
reasoningPerformance,76,2021-10-12 12:06:11.791000
reasoningPerformance,62,2021-10-12 12:06:11.861000
reasoningPerformance,71,2021-10-12 12:06:11.936000
reasoningPerformance,76,2021-10-12 12:06:12.007000
reasoningPerformance,71,2021-10-12 12:06:12.079000
reasoningPerformance,79,2021-10-12 12:06:12.158000
reasoningPerformance,61,2021-10-12 12:06:12.220000
reasoningPerformance,73,2021-10-12 12:06:12.293000
reasoningPerformance,72,2021-10-12 12:06:12.366000
reasoningPerformance,67,2021-10-12 12:06:12.438000
reasoningPerformance,69,2021-10-12 12:06:12.506000
reasoningPerformance,67,2021-10-12 12:06:12.581000
reasoningPerformance,69,2021-10-12 12:06:12.660000
reasoningPerformance,66,2021-10-12 12:06:12.730000
reasoningPerformance,71,2021-10-12 12:06:12.796000
reasoningPerformance,74,2021-10-12 12:06:12.872000
reasoningPerformance,76,2021-10-12 12:06:12.948000
reasoningPerformance,75,2021-10-12 12:06:13.025000
reasoningPerformance,68,2021-10-12 12:06:13.096000
reasoningPerformance,53,2021-10-12 12:06:13.150000
reasoningPerformance,79,2021-10-12 12:06:13.230000
reasoningPerformance,71,2021-10-12 12:06:13.302000
reasoningPerformance,72,2021-10-12 12:06:13.375000
reasoningPerformance,66,2021-10-12 12:06:13.446000
reasoningPerformance,74,2021-10-12 12:06:13.515000
reasoningPerformance,71,2021-10-12 12:06:13.587000
reasoningPerformance,63,2021-10-12 12:06:13.651000
reasoningPerformance,74,2021-10-12 12:06:13.725000
reasoningPerformance,88,2021-10-12 12:06:13.814000
reasoningPerformance,60,2021-10-12 12:06:13.875000
reasoningPerformance,77,2021-10-12 12:06:13.953000
reasoningPerformance,64,2021-10-12 12:06:14.017000
reasoningPerformance,75,2021-10-12 12:06:14.094000
reasoningPerformance,63,2021-10-12 12:06:14.163000
reasoningPerformance,80,2021-10-12 12:06:14.238000
reasoningPerformance,83,2021-10-12 12:06:14.324000
reasoningPerformance,57,2021-10-12 12:06:14.382000
reasoningPerformance,76,2021-10-12 12:06:14.459000
reasoningPerformance,70,2021-10-12 12:06:14.533000
reasoningPerformance,65,2021-10-12 12:06:14.610000
reasoningPerformance,77,2021-10-12 12:06:14.684000
reasoningPerformance,67,2021-10-12 12:06:14.754000
reasoningPerformance,72,2021-10-12 12:06:14.824000
reasoningPerformance,72,2021-10-12 12:06:14.898000
reasoningPerformance,73,2021-10-12 12:06:14.973000
reasoningPerformance,82,2021-10-12 12:06:15.055000
reasoningPerformance,56,2021-10-12 12:06:15.124000
reasoningPerformance,83,2021-10-12 12:06:15.207000
reasoningPerformance,60,2021-10-12 12:06:15.268000
reasoningPerformance,84,2021-10-12 12:06:15.356000
reasoningPerformance,61,2021-10-12 12:06:15.417000
reasoningPerformance,63,2021-10-12 12:06:15.481000
reasoningPerformance,78,2021-10-12 12:06:15.560000
reasoningPerformance,53,2021-10-12 12:06:15.629000
reasoningPerformance,66,2021-10-12 12:06:15.694000
reasoningPerformance,87,2021-10-12 12:06:15.785000
reasoningPerformance,90,2021-10-12 12:06:15.877000
reasoningPerformance,72,2021-10-12 12:06:15.950000
reasoningPerformance,66,2021-10-12 12:06:16.016000
reasoningPerformance,95,2021-10-12 12:06:16.116000
reasoningPerformance,56,2021-10-12 12:06:16.175000
reasoningPerformance,81,2021-10-12 12:06:16.255000
reasoningPerformance,62,2021-10-12 12:06:16.319000
reasoningPerformance,74,2021-10-12 12:06:16.395000
reasoningPerformance,69,2021-10-12 12:06:16.468000
reasoningPerformance,63,2021-10-12 12:06:16.534000
reasoningPerformance,91,2021-10-12 12:06:16.625000
reasoningPerformance,67,2021-10-12 12:06:16.694000
reasoningPerformance,80,2021-10-12 12:06:16.775000
reasoningPerformance,79,2021-10-12 12:06:16.853000
reasoningPerformance,73,2021-10-12 12:06:16.928000
reasoningPerformance,76,2021-10-12 12:06:17.005000
reasoningPerformance,91,2021-10-12 12:06:17.097000
reasoningPerformance,80,2021-10-12 12:06:17.177000
reasoningPerformance,59,2021-10-12 12:06:17.236000
reasoningPerformance,76,2021-10-12 12:06:17.312000
reasoningPerformance,72,2021-10-12 12:06:17.388000
reasoningPerformance,73,2021-10-12 12:06:17.461000
reasoningPerformance,77,2021-10-12 12:06:17.538000
reasoningPerformance,80,2021-10-12 12:06:17.625000
reasoningPerformance,82,2021-10-12 12:06:17.708000
reasoningPerformance,69,2021-10-12 12:06:17.779000
reasoningPerformance,65,2021-10-12 12:06:17.844000
reasoningPerformance,90,2021-10-12 12:06:17.937000
reasoningPerformance,58,2021-10-12 12:06:17.997000
reasoningPerformance,80,2021-10-12 12:06:18.076000
reasoningPerformance,64,2021-10-12 12:06:18.146000
reasoningPerformance,79,2021-10-12 12:06:18.227000
reasoningPerformance,76,2021-10-12 12:06:18.302000
reasoningPerformance,64,2021-10-12 12:06:18.366000
reasoningPerformance,72,2021-10-12 12:06:18.443000
reasoningPerformance,57,2021-10-12 12:06:18.511000
reasoningPerformance,65,2021-10-12 12:06:18.577000
reasoningPerformance,72,2021-10-12 12:06:18.653000
reasoningPerformance,66,2021-10-12 12:06:18.723000
reasoningPerformance,74,2021-10-12 12:06:18.805000
reasoningPerformance,61,2021-10-12 12:06:18.866000
reasoningPerformance,70,2021-10-12 12:06:18.942000
reasoningPerformance,79,2021-10-12 12:06:19.020000
reasoningPerformance,60,2021-10-12 12:06:19.080000
reasoningPerformance,76,2021-10-12 12:06:19.160000
reasoningPerformance,73,2021-10-12 12:06:19.233000
reasoningPerformance,57,2021-10-12 12:06:19.294000
reasoningPerformance,77,2021-10-12 12:06:19.372000
reasoningPerformance,62,2021-10-12 12:06:19.443000
reasoningPerformance,62,2021-10-12 12:06:19.509000
reasoningPerformance,69,2021-10-12 12:06:19.579000
reasoningPerformance,73,2021-10-12 12:06:19.662000
reasoningPerformance,80,2021-10-12 12:06:19.742000
reasoningPerformance,58,2021-10-12 12:06:19.799000
reasoningPerformance,63,2021-10-12 12:06:19.863000
reasoningPerformance,72,2021-10-12 12:06:19.938000
reasoningPerformance,68,2021-10-12 12:06:20.012000
reasoningPerformance,66,2021-10-12 12:06:20.076000
reasoningPerformance,91,2021-10-12 12:06:20.188000
reasoningPerformance,84,2021-10-12 12:06:20.284000
reasoningPerformance,70,2021-10-12 12:06:20.360000
reasoningPerformance,46,2021-10-12 12:06:20.414000
reasoningPerformance,57,2021-10-12 12:06:20.468000
reasoningPerformance,72,2021-10-12 12:06:20.547000
reasoningPerformance,26,2021-10-12 12:06:20.581000
reasoningPerformance,64,2021-10-12 12:06:20.660000
reasoningPerformance,73,2021-10-12 12:06:20.740000
