Topic,Data,TimeStamp
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-7.58690934443) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.7264552116)",2021-10-13 10:29:54.897000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-8.30604749421) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.2961702347)",2021-10-13 10:29:54.966000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-6.87154496918) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(74.1680316925)",2021-10-13 10:29:55.046000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-8.59807666557) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(74.1680316925)",2021-10-13 10:29:55.130000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-8.46684463843) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.4102106094)",2021-10-13 10:29:55.217000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-7.87914918582) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.4102106094)",2021-10-13 10:29:55.272000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-7.38445285074) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7254219055)",2021-10-13 10:29:55.348000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-8.60535026627) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5942974091)",2021-10-13 10:29:55.423000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-6.08025188533) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5942974091)",2021-10-13 10:29:55.502000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-5.89960735496) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.3075847626)",2021-10-13 10:29:55.564000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-7.39301507197) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.3075847626)",2021-10-13 10:29:55.634000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-8.12653786473) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(68.6770057678)",2021-10-13 10:29:55.700000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-6.95493992159) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.88971138)",2021-10-13 10:29:55.776000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-7.77186625024) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5214586258)",2021-10-13 10:29:55.851000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-7.89676842212) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5214586258)",2021-10-13 10:29:55.927000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-7.65809417052) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.8751516342)",2021-10-13 10:29:56.005000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-7.49970619172) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.2725372314)",2021-10-13 10:29:56.080000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-7.32550797686) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.2725372314)",2021-10-13 10:29:56.158000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-8.69107483363) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.8444871902)",2021-10-13 10:29:56.233000
perceptions,"gps(47.641482371370465, -122.1403649908643) compass(-5.65485371208) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.0635051727)",2021-10-13 10:29:56.296000
