Topic,Data,TimeStamp
reasoningPerformance,70,2021-10-13 10:33:48.947000
reasoningPerformance,65,2021-10-13 10:33:49.017000
reasoningPerformance,80,2021-10-13 10:33:49.098000
reasoningPerformance,71,2021-10-13 10:33:49.172000
reasoningPerformance,79,2021-10-13 10:33:49.251000
reasoningPerformance,67,2021-10-13 10:33:49.324000
reasoningPerformance,74,2021-10-13 10:33:49.400000
reasoningPerformance,64,2021-10-13 10:33:49.462000
reasoningPerformance,89,2021-10-13 10:33:49.567000
reasoningPerformance,61,2021-10-13 10:33:49.636000
reasoningPerformance,79,2021-10-13 10:33:49.717000
reasoningPerformance,53,2021-10-13 10:33:49.787000
reasoningPerformance,67,2021-10-13 10:33:49.871000
reasoningPerformance,79,2021-10-13 10:33:49.940000
reasoningPerformance,61,2021-10-13 10:33:50.017000
reasoningPerformance,47,2021-10-13 10:33:50.065000
reasoningPerformance,71,2021-10-13 10:33:50.145000
reasoningPerformance,92,2021-10-13 10:33:50.236000
reasoningPerformance,38,2021-10-13 10:33:50.286000
reasoningPerformance,75,2021-10-13 10:33:50.351000
reasoningPerformance,86,2021-10-13 10:33:50.444000
reasoningPerformance,57,2021-10-13 10:33:50.499000
reasoningPerformance,72,2021-10-13 10:33:50.578000
reasoningPerformance,84,2021-10-13 10:33:50.671000
reasoningPerformance,50,2021-10-13 10:33:50.719000
reasoningPerformance,71,2021-10-13 10:33:50.792000
reasoningPerformance,66,2021-10-13 10:33:50.863000
reasoningPerformance,67,2021-10-13 10:33:50.930000
reasoningPerformance,74,2021-10-13 10:33:51.005000
reasoningPerformance,80,2021-10-13 10:33:51.092000
reasoningPerformance,55,2021-10-13 10:33:51.144000
reasoningPerformance,87,2021-10-13 10:33:51.235000
reasoningPerformance,55,2021-10-13 10:33:51.294000
reasoningPerformance,65,2021-10-13 10:33:51.359000
reasoningPerformance,73,2021-10-13 10:33:51.432000
reasoningPerformance,84,2021-10-13 10:33:51.527000
reasoningPerformance,75,2021-10-13 10:33:51.602000
reasoningPerformance,58,2021-10-13 10:33:51.661000
reasoningPerformance,67,2021-10-13 10:33:51.736000
reasoningPerformance,75,2021-10-13 10:33:51.810000
reasoningPerformance,67,2021-10-13 10:33:51.877000
reasoningPerformance,90,2021-10-13 10:33:51.967000
reasoningPerformance,58,2021-10-13 10:33:52.026000
reasoningPerformance,74,2021-10-13 10:33:52.103000
reasoningPerformance,52,2021-10-13 10:33:52.159000
reasoningPerformance,81,2021-10-13 10:33:52.242000
reasoningPerformance,63,2021-10-13 10:33:52.305000
reasoningPerformance,71,2021-10-13 10:33:52.377000
reasoningPerformance,73,2021-10-13 10:33:52.453000
reasoningPerformance,65,2021-10-13 10:33:52.518000
reasoningPerformance,80,2021-10-13 10:33:52.596000
reasoningPerformance,62,2021-10-13 10:33:52.658000
reasoningPerformance,76,2021-10-13 10:33:52.739000
reasoningPerformance,68,2021-10-13 10:33:52.806000
reasoningPerformance,73,2021-10-13 10:33:52.880000
reasoningPerformance,77,2021-10-13 10:33:52.958000
reasoningPerformance,76,2021-10-13 10:33:53.035000
reasoningPerformance,49,2021-10-13 10:33:53.083000
reasoningPerformance,83,2021-10-13 10:33:53.169000
reasoningPerformance,73,2021-10-13 10:33:53.243000
reasoningPerformance,57,2021-10-13 10:33:53.305000
reasoningPerformance,81,2021-10-13 10:33:53.386000
reasoningPerformance,48,2021-10-13 10:33:53.434000
reasoningPerformance,78,2021-10-13 10:33:53.512000
reasoningPerformance,76,2021-10-13 10:33:53.588000
reasoningPerformance,58,2021-10-13 10:33:53.647000
reasoningPerformance,76,2021-10-13 10:33:53.723000
reasoningPerformance,63,2021-10-13 10:33:53.791000
reasoningPerformance,76,2021-10-13 10:33:53.871000
reasoningPerformance,75,2021-10-13 10:33:53.950000
reasoningPerformance,66,2021-10-13 10:33:54.020000
reasoningPerformance,71,2021-10-13 10:33:54.087000
reasoningPerformance,67,2021-10-13 10:33:54.155000
reasoningPerformance,68,2021-10-13 10:33:54.222000
reasoningPerformance,80,2021-10-13 10:33:54.303000
reasoningPerformance,63,2021-10-13 10:33:54.370000
reasoningPerformance,74,2021-10-13 10:33:54.440000
reasoningPerformance,65,2021-10-13 10:33:54.512000
reasoningPerformance,64,2021-10-13 10:33:54.577000
reasoningPerformance,73,2021-10-13 10:33:54.650000
reasoningPerformance,73,2021-10-13 10:33:54.726000
reasoningPerformance,77,2021-10-13 10:33:54.804000
reasoningPerformance,62,2021-10-13 10:33:54.876000
reasoningPerformance,73,2021-10-13 10:33:54.940000
reasoningPerformance,75,2021-10-13 10:33:55.016000
reasoningPerformance,76,2021-10-13 10:33:55.101000
reasoningPerformance,57,2021-10-13 10:33:55.162000
reasoningPerformance,76,2021-10-13 10:33:55.238000
reasoningPerformance,76,2021-10-13 10:33:55.319000
reasoningPerformance,58,2021-10-13 10:33:55.380000
reasoningPerformance,66,2021-10-13 10:33:55.450000
reasoningPerformance,69,2021-10-13 10:33:55.519000
reasoningPerformance,73,2021-10-13 10:33:55.603000
reasoningPerformance,63,2021-10-13 10:33:55.666000
reasoningPerformance,68,2021-10-13 10:33:55.743000
reasoningPerformance,68,2021-10-13 10:33:55.820000
reasoningPerformance,64,2021-10-13 10:33:55.885000
reasoningPerformance,87,2021-10-13 10:33:55.972000
reasoningPerformance,62,2021-10-13 10:33:56.036000
reasoningPerformance,73,2021-10-13 10:33:56.111000
reasoningPerformance,69,2021-10-13 10:33:56.184000
reasoningPerformance,71,2021-10-13 10:33:56.259000
reasoningPerformance,83,2021-10-13 10:33:56.342000
reasoningPerformance,70,2021-10-13 10:33:56.415000
reasoningPerformance,64,2021-10-13 10:33:56.478000
reasoningPerformance,77,2021-10-13 10:33:56.555000
reasoningPerformance,72,2021-10-13 10:33:56.628000
reasoningPerformance,74,2021-10-13 10:33:56.706000
reasoningPerformance,76,2021-10-13 10:33:56.785000
reasoningPerformance,73,2021-10-13 10:33:56.857000
reasoningPerformance,61,2021-10-13 10:33:56.922000
reasoningPerformance,76,2021-10-13 10:33:56.997000
reasoningPerformance,80,2021-10-13 10:33:57.088000
reasoningPerformance,61,2021-10-13 10:33:57.152000
reasoningPerformance,63,2021-10-13 10:33:57.220000
reasoningPerformance,81,2021-10-13 10:33:57.304000
reasoningPerformance,61,2021-10-13 10:33:57.364000
reasoningPerformance,71,2021-10-13 10:33:57.437000
reasoningPerformance,74,2021-10-13 10:33:57.515000
reasoningPerformance,61,2021-10-13 10:33:57.577000
reasoningPerformance,62,2021-10-13 10:33:57.642000
reasoningPerformance,71,2021-10-13 10:33:57.714000
reasoningPerformance,65,2021-10-13 10:33:57.789000
reasoningPerformance,81,2021-10-13 10:33:57.870000
reasoningPerformance,47,2021-10-13 10:33:57.928000
reasoningPerformance,68,2021-10-13 10:33:57.993000
reasoningPerformance,62,2021-10-13 10:33:58.063000
reasoningPerformance,60,2021-10-13 10:33:58.126000
reasoningPerformance,76,2021-10-13 10:33:58.203000
reasoningPerformance,58,2021-10-13 10:33:58.263000
reasoningPerformance,74,2021-10-13 10:33:58.338000
reasoningPerformance,67,2021-10-13 10:33:58.410000
reasoningPerformance,63,2021-10-13 10:33:58.475000
reasoningPerformance,62,2021-10-13 10:33:58.539000
reasoningPerformance,61,2021-10-13 10:33:58.603000
reasoningPerformance,72,2021-10-13 10:33:58.675000
reasoningPerformance,72,2021-10-13 10:33:58.751000
reasoningPerformance,77,2021-10-13 10:33:58.829000
reasoningPerformance,60,2021-10-13 10:33:58.890000
reasoningPerformance,63,2021-10-13 10:33:58.953000
reasoningPerformance,66,2021-10-13 10:33:59.026000
reasoningPerformance,76,2021-10-13 10:33:59.105000
reasoningPerformance,56,2021-10-13 10:33:59.162000
reasoningPerformance,63,2021-10-13 10:33:59.228000
reasoningPerformance,85,2021-10-13 10:33:59.314000
reasoningPerformance,45,2021-10-13 10:33:59.362000
reasoningPerformance,76,2021-10-13 10:33:59.438000
reasoningPerformance,58,2021-10-13 10:33:59.499000
reasoningPerformance,67,2021-10-13 10:33:59.570000
