Topic,Data,TimeStamp
actions,steering(0.011092198867485524),2021-10-13 10:35:57.330000
actions,setSpeed(8),2021-10-13 10:35:57.760000
actions,steering(0.012165325192444095),2021-10-13 10:35:58.061000
actions,steering(0.002143565080584188),2021-10-13 10:35:58.568000
actions,steering(0.6058607142857159),2021-10-13 10:35:59.092000
actions,steering(0.3159003993352123),2021-10-13 10:35:59.611000
actions,steering(-0.12197739174473403),2021-10-13 10:36:00.175000
actions,steering(-0.279553739883201),2021-10-13 10:36:00.750000
actions,steering(-0.3247746957953781),2021-10-13 10:36:01.287000
actions,steering(-0.049266491479101254),2021-10-13 10:36:01.773000
actions,steering(0.07905171548518804),2021-10-13 10:36:02.203000
actions,steering(0.0380445138039126),2021-10-13 10:36:02.643000
actions,steering(0.012894921113414823),2021-10-13 10:36:03.117000
actions,steering(0.05984094003832882),2021-10-13 10:36:03.540000
actions,steering(-0.10378967447257685),2021-10-13 10:36:03.978000
actions,steering(-0.053820632079425404),2021-10-13 10:36:04.400000
actions,steering(0.06142918853090961),2021-10-13 10:36:04.795000
actions,steering(-0.03412835417947315),2021-10-13 10:36:05.164000
actions,steering(0.047880356341943105),2021-10-13 10:36:05.620000
actions,steering(0.03875929321341713),2021-10-13 10:36:05.938000
actions,steering(-0.020529905240051483),2021-10-13 10:36:06.290000
actions,steering(-0.003816400135053159),2021-10-13 10:36:06.610000
actions,steering(-0.054281711650196234),2021-10-13 10:36:06.955000
actions,setSpeed(0),2021-10-13 10:36:07.460000
