Topic,Data,TimeStamp
outbox,"<mid1,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:35:57.186000
outbox,"<mid2,0,tell,BROADCAST,compassSteer(steering(0.011092198867485524),bearing(0.35408593552739376))>",2021-10-13 10:35:57.401000
outbox,"<mid3,0,tell,BROADCAST,controlSpeed(speedSetting(8),oldSpeedSetting(0))>",2021-10-13 10:35:57.548000
outbox,"<mid4,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:35:57.912000
outbox,"<mid5,0,tell,BROADCAST,compassSteer(steering(0.012165325192444095),bearing(0.3540996729699373))>",2021-10-13 10:35:58.131000
outbox,"<mid6,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:35:58.269000
outbox,"<mid7,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:35:58.430000
outbox,"<mid8,0,tell,BROADCAST,compassSteer(steering(0.002143565080584188),bearing(0.3540996793451541))>",2021-10-13 10:35:58.645000
outbox,"<mid9,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:35:58.796000
outbox,"<mid10,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:35:58.949000
outbox,"<mid11,0,tell,BROADCAST,lkaSteer(steering(0.6058607142857159),bearing(0.354176203980785))>",2021-10-13 10:35:59.160000
outbox,"<mid12,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:35:59.313000
outbox,"<mid13,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:35:59.459000
outbox,"<mid14,0,tell,BROADCAST,lkaSteer(steering(0.3159003993352123),bearing(0.35471654069340275))>",2021-10-13 10:35:59.679000
outbox,"<mid15,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:35:59.828000
outbox,"<mid16,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:36:00.001000
outbox,"<mid17,0,tell,BROADCAST,lkaSteer(steering((-0.12197739174473403)),bearing(0.205137200338811))>",2021-10-13 10:36:00.250000
outbox,"<mid18,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:36:00.431000
outbox,"<mid19,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:36:00.587000
outbox,"<mid20,0,tell,BROADCAST,lkaSteer(steering((-0.279553739883201)),bearing((-0.06456552530625004)))>",2021-10-13 10:36:00.836000
outbox,"<mid21,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:36:00.978000
outbox,"<mid22,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:36:01.133000
outbox,"<mid23,0,tell,BROADCAST,lkaSteer(steering((-0.3247746957953781)),bearing((-0.3265043838294446)))>",2021-10-13 10:36:01.362000
outbox,"<mid24,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:36:01.510000
outbox,"<mid25,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:36:01.653000
outbox,"<mid26,0,tell,BROADCAST,lkaSteer(steering((-0.049266491479101254)),bearing((-0.4958359940284822)))>",2021-10-13 10:36:01.834000
outbox,"<mid27,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:36:01.958000
outbox,"<mid28,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:36:02.096000
outbox,"<mid29,0,tell,BROADCAST,lkaSteer(steering(0.07905171548518804),bearing((-0.48216667851619377)))>",2021-10-13 10:36:02.277000
outbox,"<mid30,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:36:02.402000
outbox,"<mid31,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:36:02.534000
outbox,"<mid32,0,tell,BROADCAST,lkaSteer(steering(0.0380445138039126),bearing((-0.4359740223649169)))>",2021-10-13 10:36:02.693000
outbox,"<mid33,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:36:02.841000
outbox,"<mid34,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:36:02.983000
outbox,"<mid35,0,tell,BROADCAST,lkaSteer(steering(0.012894921113414823),bearing((-0.4157538590117724)))>",2021-10-13 10:36:03.178000
outbox,"<mid36,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:36:03.309000
outbox,"<mid37,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:36:03.409000
outbox,"<mid38,0,tell,BROADCAST,lkaSteer(steering(0.05984094003832882),bearing((-0.4235819223960675)))>",2021-10-13 10:36:03.612000
outbox,"<mid39,0,tell,BROADCAST,controlSpeed(speedSetting(8),default)>",2021-10-13 10:36:03.729000
outbox,"<mid40,0,tell,BROADCAST,driveToward(main,post2)>",2021-10-13 10:36:03.855000
outbox,"<mid41,0,tell,BROADCAST,lkaSteer(steering((-0.10378967447257685)),bearing((-0.4511282811225783)))>",2021-10-13 10:36:04.040000
