Topic,Data,TimeStamp
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.88763121973) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.6885089874)",2021-10-13 10:35:48.962000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-6.30279914302) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.2264375687)",2021-10-13 10:35:49.050000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-9.89023563204) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.2264375687)",2021-10-13 10:35:49.116000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.29500812797) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.6020488739)",2021-10-13 10:35:49.209000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.73033614712) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.6020488739)",2021-10-13 10:35:49.288000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-6.66647510027) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.6053361893)",2021-10-13 10:35:49.346000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.05700541063) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.8625330925)",2021-10-13 10:35:49.425000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.5869264022) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(32.8625330925)",2021-10-13 10:35:49.500000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.01083178092) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.2025842667)",2021-10-13 10:35:49.572000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.35189624563) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.1914873123)",2021-10-13 10:35:49.644000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.59809301658) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.1914873123)",2021-10-13 10:35:49.711000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.46686112619) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.5196075439)",2021-10-13 10:35:49.799000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.87916611765) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.695646286)",2021-10-13 10:35:49.882000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.38446909892) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(33.695646286)",2021-10-13 10:35:49.945000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.60536772191) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.3526563644)",2021-10-13 10:35:50.028000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-6.08026853367) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.3526563644)",2021-10-13 10:35:50.097000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-5.89962445928) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.2650690079)",2021-10-13 10:35:50.168000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.39303179502) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.8476791382)",2021-10-13 10:35:50.242000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.12655510189) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.8476791382)",2021-10-13 10:35:50.310000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-6.95495701909) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.1165904999)",2021-10-13 10:35:50.386000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.77188298191) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.2984104156)",2021-10-13 10:35:50.464000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-9.06089366888) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(61.2984104156)",2021-10-13 10:35:50.535000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.65811103165) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(65.4869499207)",2021-10-13 10:35:50.618000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.49972244029) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.4316596985)",2021-10-13 10:35:50.678000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.45601510645) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(71.4316596985)",2021-10-13 10:35:50.754000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.69109132915) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.7694091797)",2021-10-13 10:35:50.829000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-6.15939778734) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7671470642)",2021-10-13 10:35:50.904000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.09430935718) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7671470642)",2021-10-13 10:35:50.979000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.51985158045) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.7671470642)",2021-10-13 10:35:51.047000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.0929750902) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7234268188)",2021-10-13 10:35:51.117000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.91214471212) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.7234268188)",2021-10-13 10:35:51.190000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-5.77133733076) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.7369251251)",2021-10-13 10:35:51.274000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.20028251721) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.2380867004)",2021-10-13 10:35:51.346000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.74184008431) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.2380867004)",2021-10-13 10:35:51.413000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.04612167274) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.8015403748)",2021-10-13 10:35:51.485000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-6.16015811477) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.8015403748)",2021-10-13 10:35:51.563000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-6.59219810483) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.8231592178)",2021-10-13 10:35:51.653000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-6.16599860665) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.468870163)",2021-10-13 10:35:51.722000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.04339427495) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.2087917328)",2021-10-13 10:35:51.806000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-9.30209402833) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.2087917328)",2021-10-13 10:35:51.870000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-5.41221540789) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.2641000748)",2021-10-13 10:35:51.953000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.1004810173) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.2641000748)",2021-10-13 10:35:52.019000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-9.46110786087) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.1011428833)",2021-10-13 10:35:52.106000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.99607176779) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.8470516205)",2021-10-13 10:35:52.184000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.64212358216) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.0792284012)",2021-10-13 10:35:52.262000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.98462315266) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(58.0792284012)",2021-10-13 10:35:52.335000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-8.35580075742) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(60.6198701859)",2021-10-13 10:35:52.413000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.96257466971) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(56.5749673843)",2021-10-13 10:35:52.486000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.54629163755) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.1752586365)",2021-10-13 10:35:52.565000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-6.65043549237) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.1752586365)",2021-10-13 10:35:52.640000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-7.4423674328) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(57.6895418167)",2021-10-13 10:35:52.712000
perceptions,"gps(47.641482371432154, -122.14036499101078) compass(-6.67573947865) speed(0.0) lane(0.0,0.0,0.0,0.0,0.0) obstacle(59.0259828568)",2021-10-13 10:35:52.791000
